"","date","WFC"
"420","2008-09-02",31.209999
"421","2008-09-03",31.01
"422","2008-09-04",29.67
"423","2008-09-05",31.200001
"424","2008-09-08",33.560001
"425","2008-09-09",31.17
"426","2008-09-10",31.700001
"427","2008-09-11",33.849998
"428","2008-09-12",34.290001
"429","2008-09-15",31
"430","2008-09-16",34.93
"431","2008-09-17",33.43
"432","2008-09-18",37
"433","2008-09-19",39.799999
"434","2008-09-22",35.18
"435","2008-09-23",34.169998
"436","2008-09-24",34.27
"437","2008-09-25",34.119999
"438","2008-09-26",37.310001
"439","2008-09-29",33.25
"440","2008-09-30",37.529999
"441","2008-10-01",36.700001
"442","2008-10-02",35.16
"443","2008-10-03",34.560001
"444","2008-10-06",33.639999
"445","2008-10-07",30.6
"446","2008-10-08",31.9
"447","2008-10-09",27.25
"448","2008-10-10",28.309999
"449","2008-10-13",30.4
"450","2008-10-14",33.52
"451","2008-10-15",33.349998
"452","2008-10-16",33.900002
"453","2008-10-17",32.060001
"454","2008-10-20",32.23
"455","2008-10-21",32.639999
"456","2008-10-22",31.299999
"457","2008-10-23",31.33
"458","2008-10-24",30.91
"459","2008-10-27",30.83
"460","2008-10-28",34.459999
"461","2008-10-29",32.110001
"462","2008-10-30",31.84
"463","2008-10-31",34.049999
"464","2008-11-03",33.799999
"465","2008-11-04",35.110001
"466","2008-11-05",31.68
"467","2008-11-06",28.77
"468","2008-11-07",29.5
"469","2008-11-10",28.620001
"470","2008-11-11",28.83
"471","2008-11-12",27.299999
"472","2008-11-13",29.09
"473","2008-11-14",28.73
"474","2008-11-17",27.83
"475","2008-11-18",27.200001
"476","2008-11-19",24.4
"477","2008-11-20",22.530001
"478","2008-11-21",21.76
"479","2008-11-24",26.02
"480","2008-11-25",26.950001
"481","2008-11-26",28.65
"482","2008-11-28",28.889999
"483","2008-12-01",23.41
"484","2008-12-02",25.889999
"485","2008-12-03",28.1
"486","2008-12-04",27.549999
"487","2008-12-05",29.940001
"488","2008-12-08",32.66
"489","2008-12-09",30.5
"490","2008-12-10",29.190001
"491","2008-12-11",25.9
"492","2008-12-12",26.719999
"493","2008-12-15",26.07
"494","2008-12-16",29.780001
"495","2008-12-17",29.98
"496","2008-12-18",29.65
"497","2008-12-19",29.360001
"498","2008-12-22",27.42
"499","2008-12-23",26.99
"500","2008-12-24",27.48
"501","2008-12-26",27.51
"502","2008-12-29",27.83
"503","2008-12-30",28.799999
"504","2008-12-31",29.48
"505","2009-01-02",30
"506","2009-01-05",28.059999
"507","2009-01-06",27.540001
