"","date","KFRC"
"292","2008-02-29",8.55
"293","2008-03-03",8.31
"294","2008-03-04",8.28
"295","2008-03-05",8.33
"296","2008-03-06",7.92
"297","2008-03-07",7.95
"298","2008-03-10",7.8
"299","2008-03-11",8.46
"300","2008-03-12",8.38
"301","2008-03-13",8.48
"302","2008-03-14",7.97
"303","2008-03-17",8.17
"304","2008-03-18",8.47
"305","2008-03-19",8.49
"306","2008-03-20",8.8
"307","2008-03-24",9
"308","2008-03-25",9
"309","2008-03-26",8.98
"310","2008-03-27",8.74
"311","2008-03-28",8.72
"312","2008-03-31",8.84
"313","2008-04-01",8.9
"314","2008-04-02",9.05
"315","2008-04-03",9.05
"316","2008-04-04",8.89
"317","2008-04-07",8.94
"318","2008-04-08",8.92
"319","2008-04-09",8.39
"320","2008-04-10",8.4
"321","2008-04-11",8.14
"322","2008-04-14",8.27
"323","2008-04-15",8.34
"324","2008-04-16",8.62
"325","2008-04-17",8.21
"326","2008-04-18",8.68
"327","2008-04-21",8.75
"328","2008-04-22",8.73
"329","2008-04-23",8.65
"330","2008-04-24",8.88
"331","2008-04-25",8.84
"332","2008-04-28",8.89
"333","2008-04-29",8.87
"334","2008-04-30",8.23
"335","2008-05-01",8.44
"336","2008-05-02",8.25
"337","2008-05-05",8.26
"338","2008-05-06",8.35
"339","2008-05-07",8.27
"340","2008-05-08",8.02
"341","2008-05-09",8.17
"342","2008-05-12",8.32
"343","2008-05-13",8.3
"344","2008-05-14",8.42
"345","2008-05-15",8.53
"346","2008-05-16",8.31
"347","2008-05-19",8.32
"348","2008-05-20",8.29
"349","2008-05-21",8.29
"350","2008-05-22",8.45
"351","2008-05-23",8.73
"352","2008-05-27",8.81
"353","2008-05-28",8.79
"354","2008-05-29",9.08
"355","2008-05-30",9.25
"356","2008-06-02",8.98
"357","2008-06-03",8.88
"358","2008-06-04",9.07
"359","2008-06-05",9.2
"360","2008-06-06",8.76
"361","2008-06-09",8.74
"362","2008-06-10",9.01
"363","2008-06-11",8.89
"364","2008-06-12",9.08
"365","2008-06-13",9.39
"366","2008-06-16",9.59
"367","2008-06-17",9.44
"368","2008-06-18",9.15
"369","2008-06-19",9.27
"370","2008-06-20",8.93
"371","2008-06-23",8.82
"372","2008-06-24",8.71
"373","2008-06-25",9.07
"374","2008-06-26",8.47
"375","2008-06-27",8.42
"376","2008-06-30",8.49
"377","2008-07-01",8.29
"378","2008-07-02",7.94
"379","2008-07-03",7.87
"380","2008-07-07",7.76
"381","2008-07-08",7.99
"382","2008-07-09",7.72
"383","2008-07-10",7.7
"384","2008-07-11",7.6
"385","2008-07-14",7.57
"386","2008-07-15",7.49
"387","2008-07-16",8.25
"388","2008-07-17",8.49
"389","2008-07-18",8.19
"390","2008-07-21",8.28
"391","2008-07-22",8.58
"392","2008-07-23",8.94
"393","2008-07-24",8.96
"394","2008-07-25",9.13
"395","2008-07-28",9
"396","2008-07-29",8.99
"397","2008-07-30",9.3
"398","2008-07-31",9.88
"399","2008-08-01",10.04
"400","2008-08-04",9.94
"401","2008-08-05",10.38
"402","2008-08-06",10.8
"403","2008-08-07",10.72
"404","2008-08-08",11.01
"405","2008-08-11",10.95
"406","2008-08-12",10.91
"407","2008-08-13",10.96
"408","2008-08-14",11.02
"409","2008-08-15",11.03
"410","2008-08-18",10.76
