"","date","GEL"
"307","2008-03-24",20.25
"308","2008-03-25",19.860001
"309","2008-03-26",20.200001
"310","2008-03-27",20.18
"311","2008-03-28",19.450001
"312","2008-03-31",18.84
"313","2008-04-01",19.450001
"314","2008-04-02",19.34
"315","2008-04-03",19.85
"316","2008-04-04",19.940001
"317","2008-04-07",20.309999
"318","2008-04-08",20.370001
"319","2008-04-09",20.08
"320","2008-04-10",19.9
"321","2008-04-11",19.57
"322","2008-04-14",19.32
"323","2008-04-15",19
"324","2008-04-16",19.200001
"325","2008-04-17",19.65
"326","2008-04-18",20.25
"327","2008-04-21",20.389999
"328","2008-04-22",20.469999
"329","2008-04-23",20.049999
"330","2008-04-24",20.040001
"331","2008-04-25",20
"332","2008-04-28",19.780001
"333","2008-04-29",19.6
"334","2008-04-30",19.24
"335","2008-05-01",19.16
"336","2008-05-02",19.059999
"337","2008-05-05",18.99
"338","2008-05-06",19.75
"339","2008-05-07",19.25
"340","2008-05-08",19.299999
"341","2008-05-09",19.200001
"342","2008-05-12",19.26
"343","2008-05-13",18.76
"344","2008-05-14",18.049999
"345","2008-05-15",18.059999
"346","2008-05-16",18.6
"347","2008-05-19",19.200001
"348","2008-05-20",20.040001
"349","2008-05-21",19.809999
"350","2008-05-22",19.1
"351","2008-05-23",19.360001
"352","2008-05-27",19.620001
"353","2008-05-28",20.360001
"354","2008-05-29",20.75
"355","2008-05-30",21.09
"356","2008-06-02",20.75
"357","2008-06-03",21.299999
"358","2008-06-04",21.129999
"359","2008-06-05",21.469999
"360","2008-06-06",21.27
"361","2008-06-09",20.959999
"362","2008-06-10",19.959999
"363","2008-06-11",19.799999
"364","2008-06-12",19.18
"365","2008-06-13",19.58
"366","2008-06-16",20.1
"367","2008-06-17",20.030001
"368","2008-06-18",19.879999
"369","2008-06-19",19.360001
"370","2008-06-20",19.15
"371","2008-06-23",19.4
"372","2008-06-24",19.34
"373","2008-06-25",19.219999
"374","2008-06-26",18.91
"375","2008-06-27",18.690001
"376","2008-06-30",18.450001
"377","2008-07-01",18.700001
"378","2008-07-02",18.559999
"379","2008-07-03",17.75
"380","2008-07-07",17.709999
"381","2008-07-08",17.25
"382","2008-07-09",17.34
"383","2008-07-10",17.43
"384","2008-07-11",17.65
"385","2008-07-14",17.51
"386","2008-07-15",16.93
"387","2008-07-16",16.700001
"388","2008-07-17",16.049999
"389","2008-07-18",15.6
"390","2008-07-21",16.200001
"391","2008-07-22",16.25
"392","2008-07-23",16.540001
"393","2008-07-24",16.549999
"394","2008-07-25",16.549999
"395","2008-07-28",17.299999
"396","2008-07-29",17.84
"397","2008-07-30",18.559999
"398","2008-07-31",18.48
"399","2008-08-01",18.629999
"400","2008-08-04",18.370001
"401","2008-08-05",18.4
"402","2008-08-06",18.75
"403","2008-08-07",18.84
"404","2008-08-08",18.469999
"405","2008-08-11",17.9
"406","2008-08-12",18.01
"407","2008-08-13",18.5
"408","2008-08-14",18.9
"409","2008-08-15",19.09
"410","2008-08-18",19
"411","2008-08-19",18.6
"412","2008-08-20",18.379999
"413","2008-08-21",18.459999
"414","2008-08-22",18.360001
"415","2008-08-25",18.24
"416","2008-08-26",18.23
"417","2008-08-27",18.02
"418","2008-08-28",18.139999
"419","2008-08-29",18.200001
"420","2008-09-02",17.57
"421","2008-09-03",17.17
"422","2008-09-04",16.66
"423","2008-09-05",16.6
"424","2008-09-08",16.209999
"425","2008-09-09",15.84
"426","2008-09-10",15.74
"427","2008-09-11",15.52
"428","2008-09-12",15.97
"429","2008-09-15",14.52
"430","2008-09-16",13.86
"431","2008-09-17",12.41
