"","date","RUSHB"
"318","2008-04-08",10.22
"319","2008-04-09",9.826667
"320","2008-04-10",9.846666
"321","2008-04-11",9.426666
"322","2008-04-14",9.56
"323","2008-04-15",9.566667
"324","2008-04-16",9.713333
"325","2008-04-17",9.486667
"326","2008-04-18",9.3
"327","2008-04-21",9.146667
"328","2008-04-22",9.193334
"329","2008-04-23",9.06
"330","2008-04-24",9.34
"331","2008-04-25",9.693334
"332","2008-04-28",9.666667
"333","2008-04-29",9.806666
"334","2008-04-30",10.02
"335","2008-05-01",10.26
"336","2008-05-02",10.24
"337","2008-05-05",10.046667
"338","2008-05-06",10.453333
"339","2008-05-07",9.826667
"340","2008-05-08",9.766666
"341","2008-05-09",10.02
"342","2008-05-12",10.313334
"343","2008-05-13",10.206667
"344","2008-05-14",10.033334
"345","2008-05-15",10.353333
"346","2008-05-16",10.18
"347","2008-05-19",10.2
"348","2008-05-20",10.146667
"349","2008-05-21",9.72
"350","2008-05-22",10.066667
"351","2008-05-23",9.753333
"352","2008-05-27",9.613334
"353","2008-05-28",9.386666
"354","2008-05-29",9.573334
"355","2008-05-30",10.026667
"356","2008-06-02",9.826667
"357","2008-06-03",10.046667
"358","2008-06-04",9.846666
"359","2008-06-05",10.08
"360","2008-06-06",9.513333
"361","2008-06-09",9.333333
"362","2008-06-10",9.253333
"363","2008-06-11",8.666667
"364","2008-06-12",8.666667
"365","2008-06-13",8.786667
"366","2008-06-16",8.8
"367","2008-06-17",8.533334
"368","2008-06-18",7.993333
"369","2008-06-19",8.04
"370","2008-06-20",8
"371","2008-06-23",7.946667
"372","2008-06-24",7.68
"373","2008-06-25",7.693333
"374","2008-06-26",7.333333
"375","2008-06-27",7.373333
"376","2008-06-30",7.24
"377","2008-07-01",7.146667
"378","2008-07-02",7.246666
"379","2008-07-03",6.96
"380","2008-07-07",6.773334
"381","2008-07-08",7
"382","2008-07-09",6.993333
"383","2008-07-10",6.96
"384","2008-07-11",7.066667
"385","2008-07-14",6.666667
"386","2008-07-15",6.506667
"387","2008-07-16",6.96
"388","2008-07-17",7.24
"389","2008-07-18",7.533333
"390","2008-07-21",7.426667
"391","2008-07-22",7.84
"392","2008-07-23",7.906667
"393","2008-07-24",7.36
"394","2008-07-25",7.1
"395","2008-07-28",7.02
"396","2008-07-29",7.12
"397","2008-07-30",7.153333
"398","2008-07-31",7.246666
"399","2008-08-01",7.233333
"400","2008-08-04",7.333333
"401","2008-08-05",7.46
"402","2008-08-06",7.653333
"403","2008-08-07",7.36
"404","2008-08-08",7.92
"405","2008-08-11",8.253333
"406","2008-08-12",8.08
"407","2008-08-13",8.226666
"408","2008-08-14",8.34
"409","2008-08-15",8.466666
"410","2008-08-18",8.5
"411","2008-08-19",8.34
"412","2008-08-20",8.313334
"413","2008-08-21",8.426666
"414","2008-08-22",8.58
"415","2008-08-25",8.52
"416","2008-08-26",8.58
"417","2008-08-27",8.633333
"418","2008-08-28",8.64
"419","2008-08-29",8.66
"420","2008-09-02",8.506667
"421","2008-09-03",8.56
"422","2008-09-04",8.366667
"423","2008-09-05",8.446667
"424","2008-09-08",8.7
"425","2008-09-09",8.76
"426","2008-09-10",8.72
"427","2008-09-11",8.88
