"","date","EH"
"85","2020-04-16",13.33
"86","2020-04-17",12.99
"87","2020-04-20",12.421
"88","2020-04-21",12.76
"89","2020-04-22",12.4
"90","2020-04-23",12.32
"91","2020-04-24",12.8
"92","2020-04-27",12.73
"93","2020-04-28",13.6
"94","2020-04-29",13.11
"95","2020-04-30",11.77
"96","2020-05-01",11
"97","2020-05-04",11.5
"98","2020-05-05",12.02
"99","2020-05-06",11.73
"100","2020-05-07",11.91
"101","2020-05-08",11.91
"102","2020-05-11",11.96
"103","2020-05-12",11.8
"104","2020-05-13",11.69
"105","2020-05-14",11.49
"106","2020-05-15",11.37
"107","2020-05-18",11.95
"108","2020-05-19",12.01
"109","2020-05-20",11.535
"110","2020-05-21",11.9
"111","2020-05-22",11.65
"112","2020-05-26",11.71
"113","2020-05-27",11.74
"114","2020-05-28",12.11
"115","2020-05-29",12.12
"116","2020-06-01",11.88
"117","2020-06-02",11.75
"118","2020-06-03",11.77
"119","2020-06-04",11.67
"120","2020-06-05",11.79
"121","2020-06-08",13.38
"122","2020-06-09",12.67
"123","2020-06-10",12.4
"124","2020-06-11",12.5
"125","2020-06-12",12
"126","2020-06-15",12.85
"127","2020-06-16",12.5
"128","2020-06-17",12.28
"129","2020-06-18",12
"130","2020-06-19",11.8
"131","2020-06-22",11.44
"132","2020-06-23",11.449
"133","2020-06-24",11.51
"134","2020-06-25",11.32
"135","2020-06-26",11.15
"136","2020-06-29",10.86
"137","2020-06-30",10.484
"138","2020-07-01",10.76
"139","2020-07-02",10.39
"140","2020-07-06",12
"141","2020-07-07",12.14
"142","2020-07-08",11.71
"143","2020-07-09",11.36
"144","2020-07-10",11.79
"145","2020-07-13",10.94
"146","2020-07-14",10.6
"147","2020-07-15",10.85
"148","2020-07-16",10.85
"149","2020-07-17",10.45
"150","2020-07-20",10.38
"151","2020-07-21",10.3
"152","2020-07-22",10
"153","2020-07-23",9.97
"154","2020-07-24",8.53
"155","2020-07-27",8.15
"156","2020-07-28",7.7
"157","2020-07-29",8.04
"158","2020-07-30",7.99
"159","2020-07-31",8.32
"160","2020-08-03",9.64
"161","2020-08-04",9.99
"162","2020-08-05",9.9
"163","2020-08-06",9.44
"164","2020-08-07",9.21
"165","2020-08-10",9.69
"166","2020-08-11",9.72
"167","2020-08-12",9.7
"168","2020-08-13",9.2
"169","2020-08-14",8.99
"170","2020-08-17",8.94
"171","2020-08-18",8.8
"172","2020-08-19",8.32
"173","2020-08-20",8.02
"174","2020-08-21",8.05
"175","2020-08-24",7.88
"176","2020-08-25",8.42
"177","2020-08-26",8.6
"178","2020-08-27",8.21
"179","2020-08-28",8.36
"180","2020-08-31",9.2
"181","2020-09-01",9.11
"182","2020-09-02",9.08
"183","2020-09-03",9.19
"184","2020-09-04",8.53
"185","2020-09-08",8.6
"186","2020-09-09",8.65
"187","2020-09-10",9.11
"188","2020-09-11",9.12
"189","2020-09-14",9.06
"190","2020-09-15",9.74
"191","2020-09-16",10
"192","2020-09-17",9.66
"193","2020-09-18",9.59
"194","2020-09-21",8.92
"195","2020-09-22",9.25
"196","2020-09-23",8.68
"197","2020-09-24",8
"198","2020-09-25",8
"199","2020-09-28",7.99
"200","2020-09-29",7.95
"201","2020-09-30",7.978
"202","2020-10-01",8.04
"203","2020-10-02",8
"204","2020-10-05",8
"205","2020-10-06",8.1
"206","2020-10-07",8.29
"207","2020-10-08",8.79
"208","2020-10-09",9.24
"209","2020-10-12",8.8
"210","2020-10-13",8.75
"211","2020-10-14",9.1
"212","2020-10-15",9.02
"213","2020-10-16",8.98
"214","2020-10-19",9.04
"215","2020-10-20",9.05
"216","2020-10-21",9.08
"217","2020-10-22",8.96
"218","2020-10-23",8.65
"219","2020-10-26",8.53
"220","2020-10-27",8.36
"221","2020-10-28",7.97
"222","2020-10-29",8.19
"223","2020-10-30",7.945
"224","2020-11-02",8.05
"225","2020-11-03",8.12
"226","2020-11-04",8.3
"227","2020-11-05",8.79
"228","2020-11-06",8.88
"229","2020-11-09",9.29
"230","2020-11-10",9.08
"231","2020-11-11",9.29
"232","2020-11-12",9.41
"233","2020-11-13",10.48
"234","2020-11-16",11.23
"235","2020-11-17",11.27
"236","2020-11-18",11.13
"237","2020-11-19",11.25
"238","2020-11-20",11.07
"239","2020-11-23",12.67
"240","2020-11-24",14.82
"241","2020-11-25",13.5
"242","2020-11-27",14.93
