"","date","GHSI"
"376","2020-09-30",0.2
"377","2020-10-01",0.21
"378","2020-10-02",0.232
"379","2020-10-05",0.226
"380","2020-10-06",0.211
"381","2020-10-07",0.212
"382","2020-10-08",0.215
"383","2020-10-09",0.201
"384","2020-10-12",0.213
"385","2020-10-13",0.212
"386","2020-10-14",0.211
"387","2020-10-15",0.205
"388","2020-10-16",0.202
"389","2020-10-19",0.206
"390","2020-10-20",0.2
"391","2020-10-21",0.202
"392","2020-10-22",0.197
"393","2020-10-23",0.197
"394","2020-10-26",0.218
"395","2020-10-27",0.181
"396","2020-10-28",0.181
"397","2020-10-29",0.19
"398","2020-10-30",0.179
"399","2020-11-02",0.177
"400","2020-11-03",0.174
"401","2020-11-04",0.171
"402","2020-11-05",0.171
"403","2020-11-06",0.167
"404","2020-11-09",0.171
"405","2020-11-10",0.189
"406","2020-11-11",0.202
"407","2020-11-12",0.189
"408","2020-11-13",0.192
"409","2020-11-16",0.191
"410","2020-11-17",0.188
"411","2020-11-18",0.204
"412","2020-11-19",0.209
"413","2020-11-20",0.226
"414","2020-11-23",0.247
"415","2020-11-24",0.235
"416","2020-11-25",0.249
"417","2020-11-27",0.245
