"","date","BEAM"
"192","2020-11-06",36.130001
"193","2020-11-09",36.93
"194","2020-11-10",37.68
"195","2020-11-11",37.860001
"196","2020-11-12",34.34
"197","2020-11-13",36.419998
"198","2020-11-16",36.880001
"199","2020-11-17",38.290001
"200","2020-11-18",37.82
"201","2020-11-19",39.52
"202","2020-11-20",41.630001
"203","2020-11-23",42.470001
"204","2020-11-24",41.560001
"205","2020-11-25",44.689999
"206","2020-11-27",47.66
