"","date","CABA"
"72","2020-02-07",15.46
"73","2020-02-10",15.05
"74","2020-02-11",15.42
"75","2020-02-12",15.26
"76","2020-02-13",15.74
"77","2020-02-14",15.86
"78","2020-02-18",18.549999
"79","2020-02-19",16.83
"80","2020-02-20",16.49
"81","2020-02-21",15.97
"82","2020-02-24",14.33
"83","2020-02-25",14.6
"84","2020-02-26",16.440001
"85","2020-02-27",15.4
"86","2020-02-28",14.94
"87","2020-03-02",14.99
"88","2020-03-03",15.49
"89","2020-03-04",16.41
"90","2020-03-05",15.22
"91","2020-03-06",14.35
"92","2020-03-09",12.73
"93","2020-03-10",12.66
"94","2020-03-11",11.23
"95","2020-03-12",8.91
"96","2020-03-13",8
"97","2020-03-16",7.01
"98","2020-03-17",7.31
"99","2020-03-18",6
"100","2020-03-19",6.24
"101","2020-03-20",7.33
"102","2020-03-23",7.12
"103","2020-03-24",7.06
"104","2020-03-25",7.45
"105","2020-03-26",7.98
"106","2020-03-27",7.28
"107","2020-03-30",7.25
"108","2020-03-31",7.3
"109","2020-04-01",6.76
"110","2020-04-02",6.82
"111","2020-04-03",6.73
"112","2020-04-06",7.3
"113","2020-04-07",6.65
"114","2020-04-08",7.18
"115","2020-04-09",7.48
"116","2020-04-13",7.28
"117","2020-04-14",7.38
"118","2020-04-15",6.94
"119","2020-04-16",6.69
"120","2020-04-17",6.85
"121","2020-04-20",6.65
"122","2020-04-21",6.46
"123","2020-04-22",6.75
"124","2020-04-23",6.45
"125","2020-04-24",6.39
"126","2020-04-27",7.1
"127","2020-04-28",7.18
"128","2020-04-29",8.06
"129","2020-04-30",7.25
"130","2020-05-01",7.2
"131","2020-05-04",6.9
"132","2020-05-05",7.21
"133","2020-05-06",7.43
"134","2020-05-07",7.43
"135","2020-05-08",7.66
"136","2020-05-11",7.66
"137","2020-05-12",6.91
"138","2020-05-13",6.95
"139","2020-05-14",6.96
"140","2020-05-15",7.05
"141","2020-05-18",7.12
"142","2020-05-19",7.08
"143","2020-05-20",7.47
"144","2020-05-21",7.46
"145","2020-05-22",7.38
"146","2020-05-26",7.51
"147","2020-05-27",8.18
"148","2020-05-28",8.32
"149","2020-05-29",8.55
"150","2020-06-01",8.61
"151","2020-06-02",8.4
"152","2020-06-03",7.9
"153","2020-06-04",8.13
"154","2020-06-05",8.47
"155","2020-06-08",8.75
"156","2020-06-09",8.46
"157","2020-06-10",8.56
"158","2020-06-11",7.05
"159","2020-06-12",7.81
"160","2020-06-15",7.48
"161","2020-06-16",7.61
"162","2020-06-17",7.32
"163","2020-06-18",7.31
"164","2020-06-19",8.57
"165","2020-06-22",7.87
"166","2020-06-23",8.07
"167","2020-06-24",8.19
"168","2020-06-25",9.78
"169","2020-06-26",10.92
"170","2020-06-29",11.28
"171","2020-06-30",11.14
"172","2020-07-01",11.28
"173","2020-07-02",11.31
"174","2020-07-06",11.35
"175","2020-07-07",11.21
"176","2020-07-08",11.23
"177","2020-07-09",11.45
"178","2020-07-10",11.33
"179","2020-07-13",10.92
"180","2020-07-14",10.97
"181","2020-07-15",11.9
"182","2020-07-16",11.95
"183","2020-07-17",13.24
"184","2020-07-20",14.41
"185","2020-07-21",12.97
"186","2020-07-22",12.82
"187","2020-07-23",12.89
"188","2020-07-24",12.34
"189","2020-07-27",12.6
"190","2020-07-28",13.03
"191","2020-07-29",12.135
"192","2020-07-30",11.4
"193","2020-07-31",11.43
"194","2020-08-03",12.13
"195","2020-08-04",12.27
"196","2020-08-05",11.77
"197","2020-08-06",12.55
"198","2020-08-07",12.52
"199","2020-08-10",13.09
"200","2020-08-11",12.31
"201","2020-08-12",11.67
"202","2020-08-13",11.48
"203","2020-08-14",11.46
"204","2020-08-17",12.15
"205","2020-08-18",12.09
"206","2020-08-19",11.65
"207","2020-08-20",11.69
"208","2020-08-21",11.99
"209","2020-08-24",11.24
"210","2020-08-25",11.35
"211","2020-08-26",11.06
"212","2020-08-27",10.79
"213","2020-08-28",11
"214","2020-08-31",10.55
"215","2020-09-01",9.8
"216","2020-09-02",10.15
"217","2020-09-03",10.07
"218","2020-09-04",9.91
"219","2020-09-08",10.69
"220","2020-09-09",10.65
"221","2020-09-10",10.33
"222","2020-09-11",10.65
"223","2020-09-14",12.01
"224","2020-09-15",11.6
"225","2020-09-16",12.01
"226","2020-09-17",11.77
"227","2020-09-18",11.68
"228","2020-09-21",10.78
"229","2020-09-22",10.87
"230","2020-09-23",9.75
"231","2020-09-24",9.71
"232","2020-09-25",10.44
"233","2020-09-28",10.44
"234","2020-09-29",10.47
"235","2020-09-30",10.84
"236","2020-10-01",10.04
"237","2020-10-02",9.81
"238","2020-10-05",11.2
"239","2020-10-06",10.91
"240","2020-10-07",10.99
"241","2020-10-08",11
"242","2020-10-09",10.81
"243","2020-10-12",11.28
"244","2020-10-13",11.7
"245","2020-10-14",10.97
"246","2020-10-15",11.11
"247","2020-10-16",12.15
"248","2020-10-19",12.05
"249","2020-10-20",11.97
"250","2020-10-21",11.55
"251","2020-10-22",11.59
"252","2020-10-23",12.06
"253","2020-10-26",11.95
"254","2020-10-27",11.84
"255","2020-10-28",11.82
"256","2020-10-29",12.22
"257","2020-10-30",11.57
"258","2020-11-02",11.45
"259","2020-11-03",12.32
"260","2020-11-04",12.14
"261","2020-11-05",12.54
"262","2020-11-06",13.29
"263","2020-11-09",13.08
"264","2020-11-10",13.49
"265","2020-11-11",13.95
"266","2020-11-12",13.75
"267","2020-11-13",14.01
"268","2020-11-16",14.02
"269","2020-11-17",13.53
"270","2020-11-18",12.64
"271","2020-11-19",13.43
"272","2020-11-20",14.11
"273","2020-11-23",14.35
"274","2020-11-24",14.4
"275","2020-11-25",14.09
"276","2020-11-27",15.03
