"","date","SCPL"
"168","2019-12-31",12.29
"169","2020-01-02",12.41
"170","2020-01-03",12.4
"171","2020-01-06",12.48
"172","2020-01-07",12.44
"173","2020-01-08",12.47
"174","2020-01-09",12.06
"175","2020-01-10",12.01
"176","2020-01-13",11.92
"177","2020-01-14",12.51
"178","2020-01-15",12.39
"179","2020-01-16",12.13
"180","2020-01-17",12.13
"181","2020-01-21",12.07
"182","2020-01-22",12.18
"183","2020-01-23",12.16
"184","2020-01-24",11.85
"185","2020-01-27",11.59
"186","2020-01-28",11.56
"187","2020-01-29",11.27
"188","2020-01-30",10.89
"189","2020-01-31",10.6
"190","2020-02-03",10.27
"191","2020-02-04",10.38
"192","2020-02-05",10.69
"193","2020-02-06",10.71
"194","2020-02-07",10.98
"195","2020-02-10",10.675
"196","2020-02-11",10.53
"197","2020-02-12",10.72
"198","2020-02-13",10.54
"199","2020-02-14",10.55
"200","2020-02-18",10.36
"201","2020-02-19",9.83
"202","2020-02-20",9.56
"203","2020-02-21",9.34
"204","2020-02-24",9.05
"205","2020-02-25",8.85
"206","2020-02-26",8.88
"207","2020-02-27",8.76
"208","2020-02-28",9.04
"209","2020-03-02",9.45
"210","2020-03-03",9.155
"211","2020-03-04",9.48
"212","2020-03-05",9.15
"213","2020-03-06",9.15
"214","2020-03-09",8.61
"215","2020-03-10",8.87
"216","2020-03-11",9.35
"217","2020-03-12",7.81
"218","2020-03-13",7.715
"219","2020-03-16",7.34
"220","2020-03-17",6.8
"221","2020-03-18",6.34
"222","2020-03-19",7.64
"223","2020-03-20",8.47
"224","2020-03-23",8.17
"225","2020-03-24",8.49
"226","2020-03-25",8.57
"227","2020-03-26",9.09
"228","2020-03-27",8.48
"229","2020-03-30",9.16
"230","2020-03-31",9.525
"231","2020-04-01",9.11
"232","2020-04-02",9.24
"233","2020-04-03",9.4
"234","2020-04-06",8.96
"235","2020-04-07",8.81
"236","2020-04-08",8.89
"237","2020-04-09",8.5
"238","2020-04-13",8.72
"239","2020-04-14",8.98
"240","2020-04-15",8.65
"241","2020-04-16",9
"242","2020-04-17",10.45
"243","2020-04-20",10.49
"244","2020-04-21",10.395
"245","2020-04-22",10.44
"246","2020-04-23",10.47
"247","2020-04-24",10.805
"248","2020-04-27",10.83
"249","2020-04-28",10.63
"250","2020-04-29",10.91
"251","2020-04-30",10.55
"252","2020-05-01",10.86
"253","2020-05-04",11.54
"254","2020-05-05",11.89
"255","2020-05-06",11.42
"256","2020-05-07",11.88
"257","2020-05-08",11.9
"258","2020-05-11",12.21
"259","2020-05-12",12.57
"260","2020-05-13",12.12
"261","2020-05-14",12.5
"262","2020-05-15",13.6
"263","2020-05-18",13.22
"264","2020-05-19",13.44
"265","2020-05-20",13.7
"266","2020-05-21",13.35
"267","2020-05-22",13.87
"268","2020-05-26",13.15
"269","2020-05-27",13.03
"270","2020-05-28",13.27
"271","2020-05-29",14.02
"272","2020-06-01",14.57
"273","2020-06-02",14.23
"274","2020-06-03",14.12
"275","2020-06-04",13.97
"276","2020-06-05",14.5
"277","2020-06-08",15.02
"278","2020-06-09",14.91
"279","2020-06-10",14
"280","2020-06-11",13.4
"281","2020-06-12",13.35
"282","2020-06-15",13.93
"283","2020-06-16",13.9
"284","2020-06-17",14.46
"285","2020-06-18",14.32
"286","2020-06-19",13.96
"287","2020-06-22",14.25
"288","2020-06-23",14.37
"289","2020-06-24",14.54
"290","2020-06-25",14.66
"291","2020-06-26",14.67
"292","2020-06-29",15.29
"293","2020-06-30",14.83
"294","2020-07-01",14.94
"295","2020-07-02",15.35
"296","2020-07-06",15.09
"297","2020-07-07",15.39
"298","2020-07-08",15.47
"299","2020-07-09",15.74
"300","2020-07-10",15.41
"301","2020-07-13",14.63
"302","2020-07-14",14.62
"303","2020-07-15",14.92
"304","2020-07-16",15.01
"305","2020-07-17",14.93
"306","2020-07-20",15.24
"307","2020-07-21",15.7
"308","2020-07-22",15.49
"309","2020-07-23",14.84
"310","2020-07-24",14.99
"311","2020-07-27",14.71
"312","2020-07-28",14.23
"313","2020-07-29",14.11
"314","2020-07-30",14.24
"315","2020-07-31",14.62
"316","2020-08-03",15.49
"317","2020-08-04",16.6
"318","2020-08-05",15.77
"319","2020-08-06",15.41
"320","2020-08-07",14.91
"321","2020-08-10",14.23
"322","2020-08-11",13.31
"323","2020-08-12",13.84
"324","2020-08-13",13.83
"325","2020-08-14",13.54
"326","2020-08-17",14.45
"327","2020-08-18",14.27
"328","2020-08-19",13.88
"329","2020-08-20",13.99
"330","2020-08-21",13.7
"331","2020-08-24",13.63
"332","2020-08-25",13.36
"333","2020-08-26",13.15
"334","2020-08-27",13.01
"335","2020-08-28",12.8
"336","2020-08-31",13.185
"337","2020-09-01",13.35
"338","2020-09-02",13.55
"339","2020-09-03",12.96
"340","2020-09-04",13.03
"341","2020-09-08",12.34
"342","2020-09-09",13
"343","2020-09-10",13.01
"344","2020-09-11",12.94
"345","2020-09-14",14.27
"346","2020-09-15",15.17
"347","2020-09-16",14.69
"348","2020-09-17",14.64
"349","2020-09-18",15.4
"350","2020-09-21",16
"351","2020-09-22",16.459999
"352","2020-09-23",15.28
"353","2020-09-24",15.25
"354","2020-09-25",15.9
"355","2020-09-28",16.139999
"356","2020-09-29",16.33
"357","2020-09-30",16.219999
"358","2020-10-01",16.26
"359","2020-10-02",15.7
"360","2020-10-05",17.309999
"361","2020-10-06",17.24
"362","2020-10-07",18.030001
"363","2020-10-08",16.65
"364","2020-10-09",16.66
"365","2020-10-12",15.49
"366","2020-10-13",15.43
"367","2020-10-14",15.43
"368","2020-10-15",15.5
"369","2020-10-16",15.1
"370","2020-10-19",14.27
"371","2020-10-20",14.11
"372","2020-10-21",14.22
"373","2020-10-22",14.61
"374","2020-10-23",14.84
"375","2020-10-26",14.96
"376","2020-10-27",15.2
"377","2020-10-28",14.86
"378","2020-10-29",14.23
"379","2020-10-30",13.35
"380","2020-11-02",13.495
"381","2020-11-03",13.64
"382","2020-11-04",14.09
"383","2020-11-05",14.64
"384","2020-11-06",14.25
"385","2020-11-09",12.4
"386","2020-11-10",12
"387","2020-11-11",12.21
"388","2020-11-12",12.13
"389","2020-11-13",12.5
"390","2020-11-16",13.24
"391","2020-11-17",13.22
"392","2020-11-18",13.09
"393","2020-11-19",13.85
"394","2020-11-20",14.51
"395","2020-11-23",14.62
"396","2020-11-24",14.82
"397","2020-11-25",14.64
"398","2020-11-27",14.65
