"","date","LATN"
"118","2020-05-28",9.8
"119","2020-05-29",9.89
"120","2020-06-01",9.89
"121","2020-06-02",9.84
"122","2020-06-03",9.84
"123","2020-06-04",9.84
"124","2020-06-05",9.84
"125","2020-06-08",9.84
"126","2020-06-09",9.84
"127","2020-06-10",9.87
"128","2020-06-11",9.87
"129","2020-06-12",9.86
"130","2020-06-15",9.88
"131","2020-06-16",9.89
"132","2020-06-17",9.93
"133","2020-06-18",9.93
"134","2020-06-19",9.96
"135","2020-06-22",10.1
"136","2020-06-23",10.02
"137","2020-06-24",10.02
"138","2020-06-25",9.95
"139","2020-06-26",9.95
"140","2020-06-29",9.94
"141","2020-06-30",10
"142","2020-07-01",9.94
"143","2020-07-02",9.95
"144","2020-07-06",9.95
"145","2020-07-07",9.95
"146","2020-07-08",9.95
"147","2020-07-09",9.95
"148","2020-07-10",9.98
"149","2020-07-13",9.99
"150","2020-07-14",10
"151","2020-07-15",10
"152","2020-07-16",9.98
"153","2020-07-17",9.98
"154","2020-07-20",10
"155","2020-07-21",10
"156","2020-07-22",10
"157","2020-07-23",10
"158","2020-07-24",10
"159","2020-07-27",9.98
"160","2020-07-28",9.98
"161","2020-07-29",9.97
"162","2020-07-30",10.1
"163","2020-07-31",9.98
"164","2020-08-03",10.1
"165","2020-08-04",9.98
"166","2020-08-05",9.98
"167","2020-08-06",9.98
"168","2020-08-07",9.98
"169","2020-08-10",9.98
"170","2020-08-11",10.035
"171","2020-08-12",9.95
"172","2020-08-13",9.95
"173","2020-08-14",9.95
"174","2020-08-17",9.95
"175","2020-08-18",9.95
"176","2020-08-19",9.94
"177","2020-08-20",9.9
"178","2020-08-21",9.9
"179","2020-08-24",9.9
"180","2020-08-25",9.9
"181","2020-08-26",9.9
"182","2020-08-27",9.9
"183","2020-08-28",9.9
"184","2020-08-31",9.89
"185","2020-09-01",9.89
"186","2020-09-02",9.89
"187","2020-09-03",9.89
"188","2020-09-04",9.89
"189","2020-09-08",9.92
"190","2020-09-09",9.92
"191","2020-09-10",9.9
"192","2020-09-11",9.963
"193","2020-09-14",9.98
"194","2020-09-15",9.95
"195","2020-09-16",10.05
"196","2020-09-17",10.05
"197","2020-09-18",10.01
"198","2020-09-21",10.01
"199","2020-09-22",9.95
"200","2020-09-23",9.96
"201","2020-09-24",9.96
"202","2020-09-25",9.92
"203","2020-09-28",9.9
"204","2020-09-29",9.98
"205","2020-09-30",9.93
"206","2020-10-01",9.94
"207","2020-10-02",9.94
"208","2020-10-05",9.94
"209","2020-10-06",9.97
"210","2020-10-07",9.94
"211","2020-10-08",9.92
"212","2020-10-09",9.92
"213","2020-10-12",9.9
"214","2020-10-13",9.95
"215","2020-10-14",9.95
"216","2020-10-15",9.94
"217","2020-10-16",9.94
"218","2020-10-19",9.94
"219","2020-10-20",9.94
"220","2020-10-21",9.94
"221","2020-10-22",9.93
"222","2020-10-23",9.93
"223","2020-10-26",9.93
"224","2020-10-27",9.93
"225","2020-10-28",9.9
"226","2020-10-29",9.9
"227","2020-10-30",9.91
"228","2020-11-02",9.91
"229","2020-11-03",9.93
"230","2020-11-04",9.98
"231","2020-11-05",9.94
"232","2020-11-06",9.94
"233","2020-11-09",9.99
"234","2020-11-10",9.99
"235","2020-11-11",9.99
"236","2020-11-12",9.99
"237","2020-11-13",9.93
"238","2020-11-16",9.93
"239","2020-11-17",9.93
"240","2020-11-18",9.93
"241","2020-11-19",9.94
"242","2020-11-20",10
"243","2020-11-23",9.95
"244","2020-11-24",10
"245","2020-11-25",10.03
"246","2020-11-27",10.03
