"","date","MREO"
"254","2020-04-24",1.31
"255","2020-04-27",1.25
"256","2020-04-28",1.2
"257","2020-04-29",1.23
"258","2020-04-30",1.37
"259","2020-05-01",1.15
"260","2020-05-04",1.26
"261","2020-05-05",1.22
"262","2020-05-06",1.18
"263","2020-05-07",1.17
"264","2020-05-08",1.22
"265","2020-05-11",1.25
"266","2020-05-12",1.37
"267","2020-05-13",1.28
"268","2020-05-14",1.29
"269","2020-05-15",1.36
"270","2020-05-18",1.35
"271","2020-05-19",1.35
"272","2020-05-20",1.273
"273","2020-05-21",1.231
"274","2020-05-22",1.21
"275","2020-05-26",1.26
"276","2020-05-27",1.23
"277","2020-05-28",1.25
"278","2020-05-29",1.27
"279","2020-06-01",1.27
"280","2020-06-02",1.9
"281","2020-06-03",1.96
"282","2020-06-04",3.05
"283","2020-06-05",2.81
"284","2020-06-08",2.69
"285","2020-06-09",2.6
"286","2020-06-10",2.45
"287","2020-06-11",2.78
"288","2020-06-12",2.8
"289","2020-06-15",2.88
"290","2020-06-16",2.77
"291","2020-06-17",2.8
"292","2020-06-18",2.75
"293","2020-06-19",3.4
"294","2020-06-22",3.38
"295","2020-06-23",3.14
"296","2020-06-24",3.06
"297","2020-06-25",3
"298","2020-06-26",3.1
"299","2020-06-29",2.94
"300","2020-06-30",3.06
"301","2020-07-01",3.25
"302","2020-07-02",3.08
"303","2020-07-06",2.97
"304","2020-07-07",2.96
"305","2020-07-08",2.94
"306","2020-07-09",2.935
"307","2020-07-10",3
"308","2020-07-13",3
"309","2020-07-14",2.99
"310","2020-07-15",3.09
"311","2020-07-16",3
"312","2020-07-17",2.97
"313","2020-07-20",3.01
"314","2020-07-21",3.17
"315","2020-07-22",3.27
"316","2020-07-23",3.16
"317","2020-07-24",3.1
"318","2020-07-27",3
"319","2020-07-28",2.95
"320","2020-07-29",2.79
"321","2020-07-30",2.72
"322","2020-07-31",2.85
"323","2020-08-03",2.94
"324","2020-08-04",2.98
"325","2020-08-05",2.9
"326","2020-08-06",2.74
"327","2020-08-07",2.83
"328","2020-08-10",2.9
"329","2020-08-11",2.77
"330","2020-08-12",2.76
"331","2020-08-13",2.8
"332","2020-08-14",2.83
"333","2020-08-17",2.97
"334","2020-08-18",3.19
"335","2020-08-19",3.15
"336","2020-08-20",3.29
"337","2020-08-21",3.23
"338","2020-08-24",3
"339","2020-08-25",2.94
"340","2020-08-26",2.91
"341","2020-08-27",2.82
"342","2020-08-28",2.9
"343","2020-08-31",2.99
"344","2020-09-01",2.95
"345","2020-09-02",2.94
"346","2020-09-03",2.84
"347","2020-09-04",2.74
"348","2020-09-08",2.67
"349","2020-09-09",2.75
"350","2020-09-10",2.71
"351","2020-09-11",2.96
"352","2020-09-14",3
"353","2020-09-15",2.94
"354","2020-09-16",3.02
"355","2020-09-17",3
"356","2020-09-18",2.98
"357","2020-09-21",2.86
"358","2020-09-22",2.87
"359","2020-09-23",2.77
"360","2020-09-24",2.64
"361","2020-09-25",2.62
"362","2020-09-28",2.57
"363","2020-09-29",2.55
"364","2020-09-30",2.62
"365","2020-10-01",2.55
"366","2020-10-02",2.45
"367","2020-10-05",2.44
"368","2020-10-06",2.28
"369","2020-10-07",2.27
"370","2020-10-08",2.3
"371","2020-10-09",2.22
"372","2020-10-12",2.14
"373","2020-10-13",2.2
"374","2020-10-14",2.3
"375","2020-10-15",2.4
"376","2020-10-16",2.42
"377","2020-10-19",2.55
"378","2020-10-20",2.61
"379","2020-10-21",2.6
"380","2020-10-22",2.56
"381","2020-10-23",2.59
"382","2020-10-26",2.48
"383","2020-10-27",2.47
"384","2020-10-28",2.38
"385","2020-10-29",2.41
"386","2020-10-30",2.37
"387","2020-11-02",2.43
"388","2020-11-03",2.47
"389","2020-11-04",2.44
"390","2020-11-05",2.48
"391","2020-11-06",2.45
"392","2020-11-09",2.41
"393","2020-11-10",2.42
"394","2020-11-11",2.37
"395","2020-11-12",2.32
"396","2020-11-13",2.32
"397","2020-11-16",2.36
"398","2020-11-17",2.37
"399","2020-11-18",2.43
"400","2020-11-19",2.46
"401","2020-11-20",2.4
"402","2020-11-23",2.33
"403","2020-11-24",2.36
"404","2020-11-25",2.37
"405","2020-11-27",2.435
