"","date","PROF"
"176","2020-07-10",17.879999
"177","2020-07-13",16.870001
"178","2020-07-14",16.59
"179","2020-07-15",16.23
"180","2020-07-16",14.95
"181","2020-07-17",15.88
"182","2020-07-20",16.24
"183","2020-07-21",15.88
"184","2020-07-22",16.35
"185","2020-07-23",15.87
"186","2020-07-24",15.74
"187","2020-07-27",16.059999
"188","2020-07-28",15.8
"189","2020-07-29",15.66
"190","2020-07-30",15.15
"191","2020-07-31",15.78
"192","2020-08-03",16.059999
"193","2020-08-04",15.66
"194","2020-08-05",15.74
"195","2020-08-06",15.15
"196","2020-08-07",15.56
"197","2020-08-10",14.93
"198","2020-08-11",14.45
"199","2020-08-12",14.83
"200","2020-08-13",15.58
"201","2020-08-14",15.85
"202","2020-08-17",15.75
"203","2020-08-18",15.7
"204","2020-08-19",15.48
"205","2020-08-20",15.47
"206","2020-08-21",15.15
"207","2020-08-24",14.45
"208","2020-08-25",14.5
"209","2020-08-26",14.94
"210","2020-08-27",14.66
"211","2020-08-28",14.71
"212","2020-08-31",14.7
"213","2020-09-01",14.92
"214","2020-09-02",14.8
"215","2020-09-03",14.23
"216","2020-09-04",14.84
"217","2020-09-08",14.72
"218","2020-09-09",15.11
"219","2020-09-10",14.6
"220","2020-09-11",14.37
"221","2020-09-14",14.05
"222","2020-09-15",15.93
"223","2020-09-16",16.67
"224","2020-09-17",17.459999
"225","2020-09-18",16.99
"226","2020-09-21",17.15
"227","2020-09-22",17.66
"228","2020-09-23",16.17
"229","2020-09-24",16.33
"230","2020-09-25",16.67
"231","2020-09-28",17.34
"232","2020-09-29",17.35
"233","2020-09-30",17.639999
"234","2020-10-01",17.110001
"235","2020-10-02",16.4
"236","2020-10-05",16.629999
"237","2020-10-06",16.709999
"238","2020-10-07",16.879999
"239","2020-10-08",17.85
"240","2020-10-09",17.459999
"241","2020-10-12",17.379999
"242","2020-10-13",17.1
"243","2020-10-14",17.26
"244","2020-10-15",17.09
"245","2020-10-16",17.620001
"246","2020-10-19",17.59
"247","2020-10-20",17.870001
"248","2020-10-21",17.639999
"249","2020-10-22",18.139999
"250","2020-10-23",17.6
"251","2020-10-26",17.450001
"252","2020-10-27",17.85
"253","2020-10-28",17.27
"254","2020-10-29",17.559999
"255","2020-10-30",16.889999
"256","2020-11-02",17.129999
"257","2020-11-03",17.860001
"258","2020-11-04",17.91
"259","2020-11-05",18.17
"260","2020-11-06",17.91
"261","2020-11-09",18.85
"262","2020-11-10",18.33
"263","2020-11-11",18.76
"264","2020-11-12",17.959999
"265","2020-11-13",18.610001
"266","2020-11-16",19.23
"267","2020-11-17",19.25
"268","2020-11-18",18.83
"269","2020-11-19",18.639999
"270","2020-11-20",18.58
"271","2020-11-23",17.98
"272","2020-11-24",18.26
"273","2020-11-25",18.65
"274","2020-11-27",19
