"","date","SAGE"
"286","2015-09-03",53.34
"287","2015-09-04",54.619999
"288","2015-09-08",55.91
"289","2015-09-09",55.580002
"290","2015-09-10",56.299999
"291","2015-09-11",58.810001
"292","2015-09-14",56.5
"293","2015-09-15",58.470001
"294","2015-09-16",56.27
"295","2015-09-17",58.98
"296","2015-09-18",58.880001
"297","2015-09-21",53.639999
"298","2015-09-22",52.279999
"299","2015-09-23",51.560001
"300","2015-09-24",53.009998
"301","2015-09-25",47.580002
"302","2015-09-28",43.040001
"303","2015-09-29",40.75
"304","2015-09-30",42.32
"305","2015-10-01",41.09
"306","2015-10-02",46.009998
"307","2015-10-05",45.470001
"308","2015-10-06",41.98
"309","2015-10-07",43.419998
"310","2015-10-08",42.099998
"311","2015-10-09",43.240002
"312","2015-10-12",46.110001
"313","2015-10-13",45.009998
"314","2015-10-14",43.73
"315","2015-10-15",46.919998
"316","2015-10-16",45.599998
"317","2015-10-19",46.84
"318","2015-10-20",44.07
"319","2015-10-21",44.43
"320","2015-10-22",44.48
"321","2015-10-23",45.049999
"322","2015-10-26",45.57
"323","2015-10-27",49.540001
"324","2015-10-28",51.5
"325","2015-10-29",51.490002
"326","2015-10-30",50.23
"327","2015-11-02",53.93
"328","2015-11-03",54.240002
"329","2015-11-04",54.560001
"330","2015-11-05",53.029999
"331","2015-11-06",52.049999
"332","2015-11-09",50.549999
"333","2015-11-10",47.57
"334","2015-11-11",45.630001
"335","2015-11-12",43.349998
"336","2015-11-13",43.779999
"337","2015-11-16",42.77
"338","2015-11-17",45.450001
"339","2015-11-18",46.139999
"340","2015-11-19",44.68
"341","2015-11-20",43.209999
"342","2015-11-23",44.330002
"343","2015-11-24",44.150002
"344","2015-11-25",48.09
"345","2015-11-27",48.060001
"346","2015-11-30",47.919998
"347","2015-12-01",47.689999
"348","2015-12-02",48.669998
"349","2015-12-03",48.25
"350","2015-12-04",51.389999
"351","2015-12-07",51.610001
"352","2015-12-08",53.459999
"353","2015-12-09",52.779999
"354","2015-12-10",53.259998
"355","2015-12-11",48.75
"356","2015-12-14",51.400002
"357","2015-12-15",56.099998
"358","2015-12-16",57.490002
"359","2015-12-17",59.23
"360","2015-12-18",60.950001
"361","2015-12-21",59
"362","2015-12-22",59.34
"363","2015-12-23",58.639999
"364","2015-12-24",59.689999
"365","2015-12-28",58.900002
"366","2015-12-29",59.68
"367","2015-12-30",58.59
"368","2015-12-31",58.299999
"369","2016-01-04",55.720001
"370","2016-01-05",56.509998
"371","2016-01-06",49.34
"372","2016-01-07",46.389999
"373","2016-01-08",44.349998
"374","2016-01-11",42.419998
"375","2016-01-12",42.810001
"376","2016-01-13",39.509998
"377","2016-01-14",41.220001
"378","2016-01-15",38.919998
"379","2016-01-19",38.09
"380","2016-01-20",38.349998
"381","2016-01-21",38.880001
"382","2016-01-22",39.849998
"383","2016-01-25",38.869999
"384","2016-01-26",37.349998
"385","2016-01-27",35.029999
"386","2016-01-28",33.549999
"387","2016-01-29",33.580002
"388","2016-02-01",34.389999
"389","2016-02-02",33.130001
"390","2016-02-03",34.43
"391","2016-02-04",35.130001
"392","2016-02-05",31.49
"393","2016-02-08",28.629999
"394","2016-02-09",30.040001
"395","2016-02-10",29.51
"396","2016-02-11",30.66
"397","2016-02-12",32.049999
"398","2016-02-16",32.689999
"399","2016-02-17",33.82
"400","2016-02-18",31.309999
"401","2016-02-19",31.870001
"402","2016-02-22",33.139999
"403","2016-02-23",32.110001
"404","2016-02-24",30.75
"405","2016-02-25",30.58
"406","2016-02-26",30.92
"407","2016-02-29",29.4
"408","2016-03-01",30.17
"409","2016-03-02",34.299999
"410","2016-03-03",33.650002
"411","2016-03-04",34.009998
"412","2016-03-07",36.09
"413","2016-03-08",34.25
"414","2016-03-09",32.84
"415","2016-03-10",33.009998
"416","2016-03-11",34.470001
"417","2016-03-14",37.029999
"418","2016-03-15",34.18
"419","2016-03-16",32.869999
"420","2016-03-17",31.5
"421","2016-03-18",31.58
"422","2016-03-21",32.540001
"423","2016-03-22",33.400002
"424","2016-03-23",29.1
"425","2016-03-24",30.610001
"426","2016-03-28",30.790001
"427","2016-03-29",30.889999
"428","2016-03-30",31.190001
"429","2016-03-31",32.060001
"430","2016-04-01",32.290001
"431","2016-04-04",34.759998
"432","2016-04-05",34.5
"433","2016-04-06",37.669998
"434","2016-04-07",38.509998
"435","2016-04-08",36.459999
"436","2016-04-11",34.490002
"437","2016-04-12",34.849998
"438","2016-04-13",35.59
"439","2016-04-14",36.77
"440","2016-04-15",36.810001
"441","2016-04-18",37.16
"442","2016-04-19",37.310001
"443","2016-04-20",37.77
"444","2016-04-21",39.419998
"445","2016-04-22",39.18
"446","2016-04-25",37.779999
"447","2016-04-26",36.959999
"448","2016-04-27",36.740002
"449","2016-04-28",37.919998
"450","2016-04-29",37.689999
"451","2016-05-02",38.220001
"452","2016-05-03",36.200001
"453","2016-05-04",35.16
"454","2016-05-05",34.790001
"455","2016-05-06",33.830002
"456","2016-05-09",34.869999
