"","date","VMD"
"204","2020-06-01",8.77
"205","2020-06-02",8.42
"206","2020-06-03",8.82
"207","2020-06-04",8.63
"208","2020-06-05",8.63
"209","2020-06-08",9.16
"210","2020-06-09",9.54
"211","2020-06-10",9.48
"212","2020-06-11",8.79
"213","2020-06-12",9.3
"214","2020-06-15",9.57
"215","2020-06-16",10.5
"216","2020-06-17",10.48
"217","2020-06-18",11.21
"218","2020-06-19",11.29
"219","2020-06-22",11.68
"220","2020-06-23",10.81
"221","2020-06-24",10.69
"222","2020-06-25",10.75
"223","2020-06-26",10.26
"224","2020-06-29",10.22
"225","2020-06-30",9.6
"226","2020-07-01",8.98
"227","2020-07-02",9.44
"228","2020-07-06",9.85
"229","2020-07-07",10.21
"230","2020-07-08",10.44
"231","2020-07-09",10.62
"232","2020-07-10",10.49
"233","2020-07-13",9.67
"234","2020-07-14",10.3
"235","2020-07-15",10.565
"236","2020-07-16",10.26
"237","2020-07-17",10.39
"238","2020-07-20",10.64
"239","2020-07-21",10.41
"240","2020-07-22",10.31
"241","2020-07-23",10.38
"242","2020-07-24",10.24
"243","2020-07-27",10.8
"244","2020-07-28",10.82
"245","2020-07-29",11.02
"246","2020-07-30",11
"247","2020-07-31",10.84
"248","2020-08-03",11.04
"249","2020-08-04",11.16
"250","2020-08-05",10.52
"251","2020-08-06",10.04
"252","2020-08-07",10.11
"253","2020-08-10",10.4
"254","2020-08-11",10.26
"255","2020-08-12",10.01
"256","2020-08-13",10.67
"257","2020-08-14",10.42
"258","2020-08-17",10.96
"259","2020-08-18",10.78
"260","2020-08-19",10.44
"261","2020-08-20",10.82
"262","2020-08-21",11.21
"263","2020-08-24",10.91
"264","2020-08-25",11.22
"265","2020-08-26",11.08
"266","2020-08-27",10.72
"267","2020-08-28",10.94
"268","2020-08-31",10.87
"269","2020-09-01",10.875
"270","2020-09-02",11
"271","2020-09-03",10.46
"272","2020-09-04",9.81
"273","2020-09-08",9.62
"274","2020-09-09",9.43
"275","2020-09-10",8.915
"276","2020-09-11",8.72
"277","2020-09-14",8.72
"278","2020-09-15",8.16
"279","2020-09-16",9.14
"280","2020-09-17",9.11
"281","2020-09-18",9.47
"282","2020-09-21",9.21
"283","2020-09-22",8.81
"284","2020-09-23",8.365
"285","2020-09-24",8.36
"286","2020-09-25",8.78
"287","2020-09-28",8.74
"288","2020-09-29",9.04
"289","2020-09-30",8.64
"290","2020-10-01",8.56
"291","2020-10-02",8.49
"292","2020-10-05",8.75
"293","2020-10-06",8.44
"294","2020-10-07",8.72
"295","2020-10-08",8.8
"296","2020-10-09",8.74
"297","2020-10-12",9.15
"298","2020-10-13",8.92
"299","2020-10-14",8.91
"300","2020-10-15",8.92
"301","2020-10-16",8.87
"302","2020-10-19",9.26
"303","2020-10-20",10.07
"304","2020-10-21",9.52
"305","2020-10-22",9.65
"306","2020-10-23",9.52
"307","2020-10-26",8.79
"308","2020-10-27",8.72
"309","2020-10-28",8.11
"310","2020-10-29",8.325
"311","2020-10-30",8.01
"312","2020-11-02",8.24
"313","2020-11-03",8.77
"314","2020-11-04",8.55
"315","2020-11-05",8.8
"316","2020-11-06",9.16
"317","2020-11-09",8.59
"318","2020-11-10",8.655
"319","2020-11-11",8.81
"320","2020-11-12",8.39
"321","2020-11-13",8.47
"322","2020-11-16",8.69
"323","2020-11-17",8.63
"324","2020-11-18",8.76
"325","2020-11-19",8.94
"326","2020-11-20",9.16
"327","2020-11-23",9.15
"328","2020-11-24",9.11
"329","2020-11-25",9.32
"330","2020-11-27",9.51
