"","date","YJ"
"94","2019-09-16",7.71
"95","2019-09-17",7.68
"96","2019-09-18",7.85
"97","2019-09-19",7.93
"98","2019-09-20",7.62
"99","2019-09-23",7.75
"100","2019-09-24",6.94
"101","2019-09-25",7.13
"102","2019-09-26",7.15
"103","2019-09-27",6.86
"104","2019-09-30",6.87
"105","2019-10-01",6.94
"106","2019-10-02",6.9
"107","2019-10-03",6.88
"108","2019-10-04",6.94
"109","2019-10-07",6.9
"110","2019-10-08",6.91
"111","2019-10-09",6.96
"112","2019-10-10",6.97
"113","2019-10-11",6.99
"114","2019-10-14",6.88
"115","2019-10-15",6.82
"116","2019-10-16",6.49
"117","2019-10-17",6.08
"118","2019-10-18",5.47
"119","2019-10-21",5.05
"120","2019-10-22",5.17
"121","2019-10-23",5.01
"122","2019-10-24",4.97
"123","2019-10-25",5.01
"124","2019-10-28",5.05
"125","2019-10-29",4.95
"126","2019-10-30",5.14
"127","2019-10-31",5.04
"128","2019-11-01",5.09
"129","2019-11-04",4.88
"130","2019-11-05",5.1
"131","2019-11-06",4.91
"132","2019-11-07",4.95
"133","2019-11-08",4.58
"134","2019-11-11",4.4
"135","2019-11-12",4.37
"136","2019-11-13",4.27
"137","2019-11-14",4.11
"138","2019-11-15",4.13
"139","2019-11-18",4.07
"140","2019-11-19",4.05
"141","2019-11-20",3.97
"142","2019-11-21",3.95
"143","2019-11-22",3.9
"144","2019-11-25",4
"145","2019-11-26",3.89
"146","2019-11-27",3.99
"147","2019-11-29",3.95
"148","2019-12-02",4.16
"149","2019-12-03",4.7
"150","2019-12-04",4.6
"151","2019-12-05",4.83
"152","2019-12-06",4.97
"153","2019-12-09",4.72
"154","2019-12-10",5.36
"155","2019-12-11",5.62
"156","2019-12-12",5.81
"157","2019-12-13",5.58
"158","2019-12-16",5.65
"159","2019-12-17",5.7
"160","2019-12-18",5.44
"161","2019-12-19",5.25
"162","2019-12-20",5.14
"163","2019-12-23",4.86
"164","2019-12-24",4.7
"165","2019-12-26",4.7
"166","2019-12-27",4.71
"167","2019-12-30",4.46
"168","2019-12-31",4.58
"169","2020-01-02",4.48
"170","2020-01-03",5.05
"171","2020-01-06",5.27
"172","2020-01-07",5.21
"173","2020-01-08",5.15
"174","2020-01-09",5.31
"175","2020-01-10",5.46
"176","2020-01-13",5.54
"177","2020-01-14",5.64
"178","2020-01-15",5.55
"179","2020-01-16",5.81
"180","2020-01-17",5.66
"181","2020-01-21",5.21
"182","2020-01-22",5.22
"183","2020-01-23",5.16
"184","2020-01-24",5.14
"185","2020-01-27",5.34
"186","2020-01-28",5.29
"187","2020-01-29",5.58
"188","2020-01-30",5.51
"189","2020-01-31",5.14
"190","2020-02-03",5.14
"191","2020-02-04",5.09
"192","2020-02-05",5.17
"193","2020-02-06",4.93
"194","2020-02-07",4.84
"195","2020-02-10",4.86
"196","2020-02-11",4.95
"197","2020-02-12",5
"198","2020-02-13",4.85
"199","2020-02-14",4.5
"200","2020-02-18",4.32
"201","2020-02-19",4.18
"202","2020-02-20",4.17
"203","2020-02-21",4.2
"204","2020-02-24",4.24
"205","2020-02-25",4.03
"206","2020-02-26",4.19
"207","2020-02-27",4.1
"208","2020-02-28",4.15
"209","2020-03-02",4.52
"210","2020-03-03",4.45
"211","2020-03-04",4.3
"212","2020-03-05",4.38
"213","2020-03-06",4.27
"214","2020-03-09",4.12
"215","2020-03-10",3.67
"216","2020-03-11",3.85
"217","2020-03-12",3.44
"218","2020-03-13",3.52
"219","2020-03-16",3.65
"220","2020-03-17",3.7
"221","2020-03-18",3.29
"222","2020-03-19",3.3
"223","2020-03-20",3.19
"224","2020-03-23",3.15
"225","2020-03-24",3.57
"226","2020-03-25",3.7
"227","2020-03-26",3.61
"228","2020-03-27",3.71
"229","2020-03-30",3.45
"230","2020-03-31",3.66
"231","2020-04-01",3.43
"232","2020-04-02",3.54
"233","2020-04-03",3.43
"234","2020-04-06",3.31
"235","2020-04-07",3.25
"236","2020-04-08",3.11
"237","2020-04-09",3.29
"238","2020-04-13",3.29
"239","2020-04-14",3.22
"240","2020-04-15",3.06
"241","2020-04-16",3.1
"242","2020-04-17",3.04
"243","2020-04-20",2.93
"244","2020-04-21",2.83
"245","2020-04-22",3.21
"246","2020-04-23",3.44
"247","2020-04-24",3.73
"248","2020-04-27",4.13
"249","2020-04-28",4.1
"250","2020-04-29",4.11
"251","2020-04-30",4.31
"252","2020-05-01",3.81
"253","2020-05-04",3.61
"254","2020-05-05",3.51
"255","2020-05-06",3.68
"256","2020-05-07",3.69
"257","2020-05-08",3.89
"258","2020-05-11",3.98
"259","2020-05-12",3.92
"260","2020-05-13",3.94
"261","2020-05-14",3.9
"262","2020-05-15",4.043
"263","2020-05-18",3.85
"264","2020-05-19",3.85
"265","2020-05-20",3.88
"266","2020-05-21",3.86
"267","2020-05-22",3.4
"268","2020-05-26",3.52
"269","2020-05-27",3.15
"270","2020-05-28",3.31
"271","2020-05-29",3.4
"272","2020-06-01",3.38
"273","2020-06-02",3.69
"274","2020-06-03",3.61
"275","2020-06-04",3.52
"276","2020-06-05",3.35
"277","2020-06-08",3.26
"278","2020-06-09",3.09
"279","2020-06-10",2.97
"280","2020-06-11",2.72
"281","2020-06-12",2.56
"282","2020-06-15",2.77
"283","2020-06-16",2.99
"284","2020-06-17",2.91
"285","2020-06-18",2.8
"286","2020-06-19",2.68
"287","2020-06-22",2.71
"288","2020-06-23",2.8
"289","2020-06-24",2.84
"290","2020-06-25",2.88
"291","2020-06-26",2.8
"292","2020-06-29",2.8
"293","2020-06-30",2.69
"294","2020-07-01",2.695
"295","2020-07-02",2.56
"296","2020-07-06",2.68
"297","2020-07-07",2.74
"298","2020-07-08",2.82
"299","2020-07-09",2.96
"300","2020-07-10",3.24
"301","2020-07-13",2.78
"302","2020-07-14",2.81
"303","2020-07-15",2.71
"304","2020-07-16",2.69
"305","2020-07-17",2.69
"306","2020-07-20",2.78
"307","2020-07-21",2.78
"308","2020-07-22",2.69
"309","2020-07-23",2.65
"310","2020-07-24",2.7
"311","2020-07-27",2.66
"312","2020-07-28",2.67
"313","2020-07-29",2.63
"314","2020-07-30",2.64
"315","2020-07-31",2.73
"316","2020-08-03",2.83
"317","2020-08-04",2.79
"318","2020-08-05",2.85
"319","2020-08-06",2.74
"320","2020-08-07",2.67
"321","2020-08-10",2.7
"322","2020-08-11",2.68
"323","2020-08-12",2.675
"324","2020-08-13",2.77
"325","2020-08-14",2.76
"326","2020-08-17",2.83
"327","2020-08-18",3.13
"328","2020-08-19",2.85
"329","2020-08-20",2.7
"330","2020-08-21",2.75
"331","2020-08-24",2.81
"332","2020-08-25",2.62
"333","2020-08-26",2.58
"334","2020-08-27",2.51
"335","2020-08-28",2.57
"336","2020-08-31",2.51
"337","2020-09-01",2.5
"338","2020-09-02",2.49
"339","2020-09-03",2.42
"340","2020-09-04",2.26
"341","2020-09-08",2.25
"342","2020-09-09",2.25
"343","2020-09-10",1.97
"344","2020-09-11",2.07
"345","2020-09-14",2
"346","2020-09-15",1.97
"347","2020-09-16",1.98
"348","2020-09-17",1.95
"349","2020-09-18",1.8
"350","2020-09-21",1.84
"351","2020-09-22",1.9
"352","2020-09-23",1.92
"353","2020-09-24",1.75
"354","2020-09-25",1.76
"355","2020-09-28",1.78
"356","2020-09-29",1.75
"357","2020-09-30",1.84
"358","2020-10-01",1.83
"359","2020-10-02",1.81
"360","2020-10-05",1.83
"361","2020-10-06",1.8
"362","2020-10-07",1.77
"363","2020-10-08",1.76
"364","2020-10-09",1.7
"365","2020-10-12",1.85
"366","2020-10-13",1.88
"367","2020-10-14",1.9
"368","2020-10-15",1.84
"369","2020-10-16",1.83
"370","2020-10-19",1.83
"371","2020-10-20",1.8
"372","2020-10-21",1.84
"373","2020-10-22",1.87
"374","2020-10-23",1.88
"375","2020-10-26",2.02
"376","2020-10-27",1.95
"377","2020-10-28",1.88
"378","2020-10-29",1.99
"379","2020-10-30",1.95
"380","2020-11-02",2
"381","2020-11-03",1.95
"382","2020-11-04",1.85
"383","2020-11-05",1.87
"384","2020-11-06",1.84
"385","2020-11-09",1.85
"386","2020-11-10",1.87
"387","2020-11-11",1.88
"388","2020-11-12",1.97
"389","2020-11-13",1.87
"390","2020-11-16",1.9
"391","2020-11-17",1.85
"392","2020-11-18",1.86
"393","2020-11-19",1.85
"394","2020-11-20",1.89
"395","2020-11-23",2.25
"396","2020-11-24",4.29
"397","2020-11-25",4.93
"398","2020-11-27",3.81
