"","date","DTIL"
"322","2020-07-07",8.28
"323","2020-07-08",8.29
"324","2020-07-09",8.23
"325","2020-07-10",8.08
"326","2020-07-13",7.615
"327","2020-07-14",7.78
"328","2020-07-15",8.315
"329","2020-07-16",8.25
"330","2020-07-17",8.225
"331","2020-07-20",8.73
"332","2020-07-21",8.48
"333","2020-07-22",8.27
"334","2020-07-23",7.85
"335","2020-07-24",7.41
"336","2020-07-27",7.86
"337","2020-07-28",7.49
"338","2020-07-29",7.2
"339","2020-07-30",7.01
"340","2020-07-31",6.36
"341","2020-08-03",6.57
"342","2020-08-04",6.75
"343","2020-08-05",6.79
"344","2020-08-06",6.93
"345","2020-08-07",6.92
"346","2020-08-10",6.85
"347","2020-08-11",6.74
"348","2020-08-12",6.67
"349","2020-08-13",6.3
"350","2020-08-14",6.16
"351","2020-08-17",6.24
"352","2020-08-18",6.04
"353","2020-08-19",6.11
"354","2020-08-20",5.98
"355","2020-08-21",5.83
"356","2020-08-24",5.73
"357","2020-08-25",5.74
"358","2020-08-26",5.58
"359","2020-08-27",5.5
"360","2020-08-28",5.6
"361","2020-08-31",5.64
"362","2020-09-01",5.42
"363","2020-09-02",5.46
"364","2020-09-03",4.94
"365","2020-09-04",4.65
"366","2020-09-08",5.33
"367","2020-09-09",5.41
"368","2020-09-10",5.38
"369","2020-09-11",5.24
"370","2020-09-14",5.66
"371","2020-09-15",5.95
"372","2020-09-16",5.925
"373","2020-09-17",5.95
"374","2020-09-18",5.95
"375","2020-09-21",5.92
"376","2020-09-22",5.45
"377","2020-09-23",5.225
"378","2020-09-24",5.9
"379","2020-09-25",6.13
"380","2020-09-28",6.48
"381","2020-09-29",6.37
"382","2020-09-30",6.16
"383","2020-10-01",6.21
"384","2020-10-02",5.98
"385","2020-10-05",6.34
"386","2020-10-06",6.59
"387","2020-10-07",7
"388","2020-10-08",6.92
"389","2020-10-09",6.94
"390","2020-10-12",7.01
"391","2020-10-13",6.98
"392","2020-10-14",6.52
"393","2020-10-15",6.63
"394","2020-10-16",6.82
"395","2020-10-19",6.58
"396","2020-10-20",6.36
"397","2020-10-21",6.5
"398","2020-10-22",6.85
"399","2020-10-23",6.98
"400","2020-10-26",6.49
"401","2020-10-27",6.45
"402","2020-10-28",6.52
"403","2020-10-29",6.7
"404","2020-10-30",6.31
"405","2020-11-02",6.15
"406","2020-11-03",6.45
"407","2020-11-04",6.7
"408","2020-11-05",7.01
"409","2020-11-06",6.705
"410","2020-11-09",7.27
"411","2020-11-10",8.37
"412","2020-11-11",8.46
"413","2020-11-12",8.86
"414","2020-11-13",9.63
"415","2020-11-16",9.54
"416","2020-11-17",9.67
"417","2020-11-18",9.475
"418","2020-11-19",9.68
"419","2020-11-20",10.72
"420","2020-11-23",11.86
"421","2020-11-24",11.74
"422","2020-11-25",11.51
"423","2020-11-27",11.93
