"","date","HOOK"
"224","2020-03-09",10.69
"225","2020-03-10",10.24
"226","2020-03-11",9.25
"227","2020-03-12",6.57
"228","2020-03-13",7.47
"229","2020-03-16",5.9
"230","2020-03-17",7.64
"231","2020-03-18",8.11
"232","2020-03-19",7.38
"233","2020-03-20",8.24
"234","2020-03-23",7.51
"235","2020-03-24",8.54
"236","2020-03-25",8.26
"237","2020-03-26",8.78
"238","2020-03-27",7.905
"239","2020-03-30",8.35
"240","2020-03-31",8.25
"241","2020-04-01",7.39
"242","2020-04-02",7.7
"243","2020-04-03",7.85
"244","2020-04-06",8.3
"245","2020-04-07",7.95
"246","2020-04-08",7.83
"247","2020-04-09",7.98
"248","2020-04-13",7.86
"249","2020-04-14",8
"250","2020-04-15",7.63
"251","2020-04-16",7.23
"252","2020-04-17",8.05
"253","2020-04-20",8.03
"254","2020-04-21",7.58
"255","2020-04-22",7.52
"256","2020-04-23",7.5
"257","2020-04-24",8.15
"258","2020-04-27",8.75
"259","2020-04-28",8.55
"260","2020-04-29",8.91
"261","2020-04-30",8.86
"262","2020-05-01",7.97
"263","2020-05-04",8.42
"264","2020-05-05",8.91
"265","2020-05-06",9
"266","2020-05-07",9.25
"267","2020-05-08",9.58
"268","2020-05-11",10.24
"269","2020-05-12",9.38
"270","2020-05-13",9.05
"271","2020-05-14",9.43
"272","2020-05-15",9.45
"273","2020-05-18",10.13
"274","2020-05-19",9.34
"275","2020-05-20",9.74
"276","2020-05-21",10.4
"277","2020-05-22",10.27
"278","2020-05-26",10.52
"279","2020-05-27",11.27
"280","2020-05-28",10.84
"281","2020-05-29",10.91
"282","2020-06-01",10.8
"283","2020-06-02",11.61
"284","2020-06-03",11.65
"285","2020-06-04",11.44
"286","2020-06-05",11.56
"287","2020-06-08",12.1
"288","2020-06-09",11.93
"289","2020-06-10",11.81
"290","2020-06-11",10.52
"291","2020-06-12",11.47
"292","2020-06-15",11.68
"293","2020-06-16",11.51
"294","2020-06-17",11.15
"295","2020-06-18",11.45
"296","2020-06-19",11.99
"297","2020-06-22",11.8
"298","2020-06-23",11.31
"299","2020-06-24",11.29
"300","2020-06-25",11.35
"301","2020-06-26",10.58
"302","2020-06-29",11.75
"303","2020-06-30",11.62
"304","2020-07-01",11.22
"305","2020-07-02",10.78
"306","2020-07-06",10.88
"307","2020-07-07",10.71
"308","2020-07-08",10.3
"309","2020-07-09",10.3
"310","2020-07-10",10.32
"311","2020-07-13",9.62
"312","2020-07-14",9.83
"313","2020-07-15",10.59
"314","2020-07-16",10.49
"315","2020-07-17",11.35
"316","2020-07-20",11.89
"317","2020-07-21",11.41
"318","2020-07-22",11.81
"319","2020-07-23",11.56
"320","2020-07-24",10.95
"321","2020-07-27",10.95
"322","2020-07-28",10.73
"323","2020-07-29",10.55
"324","2020-07-30",10.28
"325","2020-07-31",9.66
"326","2020-08-03",10.11
"327","2020-08-04",10.3
"328","2020-08-05",10.51
"329","2020-08-06",10.69
"330","2020-08-07",10.76
"331","2020-08-10",11.03
"332","2020-08-11",10.91
"333","2020-08-12",10.73
"334","2020-08-13",10.73
"335","2020-08-14",10.19
"336","2020-08-17",10.1
"337","2020-08-18",9.98
"338","2020-08-19",9.97
"339","2020-08-20",9.93
"340","2020-08-21",9
"341","2020-08-24",8.82
"342","2020-08-25",9.21
"343","2020-08-26",9.24
"344","2020-08-27",8.82
"345","2020-08-28",9.22
"346","2020-08-31",8.94
"347","2020-09-01",8.65
"348","2020-09-02",9.07
"349","2020-09-03",9.08
"350","2020-09-04",8.59
"351","2020-09-08",10.22
"352","2020-09-09",9.96
"353","2020-09-10",9.56
"354","2020-09-11",9.53
"355","2020-09-14",11.19
"356","2020-09-15",10.49
"357","2020-09-16",11.11
"358","2020-09-17",11.12
"359","2020-09-18",11.01
"360","2020-09-21",9.92
"361","2020-09-22",9.53
"362","2020-09-23",9.55
"363","2020-09-24",9.69
"364","2020-09-25",9.95
"365","2020-09-28",9.94
"366","2020-09-29",9.66
"367","2020-09-30",9.47
"368","2020-10-01",9.57
"369","2020-10-02",9.74
"370","2020-10-05",9.69
"371","2020-10-06",9.71
"372","2020-10-07",9.86
"373","2020-10-08",9.7
"374","2020-10-09",9.42
"375","2020-10-12",9.98
"376","2020-10-13",9.94
"377","2020-10-14",9.8
"378","2020-10-15",9.69
"379","2020-10-16",9.77
"380","2020-10-19",9.58
"381","2020-10-20",9.56
"382","2020-10-21",9.69
"383","2020-10-22",9.73
"384","2020-10-23",9.6
"385","2020-10-26",9.58
"386","2020-10-27",9.55
"387","2020-10-28",9.32
"388","2020-10-29",9.91
"389","2020-10-30",9.4
"390","2020-11-02",9.82
"391","2020-11-03",11.03
"392","2020-11-04",10.9
"393","2020-11-05",10.91
"394","2020-11-06",10.38
"395","2020-11-09",10.93
"396","2020-11-10",11.06
"397","2020-11-11",11.09
"398","2020-11-12",10.71
"399","2020-11-13",11
"400","2020-11-16",11.09
"401","2020-11-17",10.82
"402","2020-11-18",10.78
"403","2020-11-19",10.91
"404","2020-11-20",11.24
"405","2020-11-23",10.9
"406","2020-11-24",11.14
"407","2020-11-25",11.1
"408","2020-11-27",11.07
