"","date","INSP"
"321","2019-08-12",64.290001
"322","2019-08-13",66.050003
"323","2019-08-14",64.370003
"324","2019-08-15",65.169998
"325","2019-08-16",65.480003
"326","2019-08-19",67.529999
"327","2019-08-20",68.389999
"328","2019-08-21",67.529999
"329","2019-08-22",65.510002
"330","2019-08-23",64.019997
"331","2019-08-26",66.349998
"332","2019-08-27",65.290001
"333","2019-08-28",66.529999
"334","2019-08-29",70.190002
"335","2019-08-30",69.510002
"336","2019-09-03",66.93
"337","2019-09-04",66.620003
"338","2019-09-05",68.019997
"339","2019-09-06",68.059998
"340","2019-09-09",66.110001
"341","2019-09-10",63.889999
"342","2019-09-11",62.77
"343","2019-09-12",62.68
"344","2019-09-13",62.509998
"345","2019-09-16",63.110001
"346","2019-09-17",64.379997
"347","2019-09-18",64.459999
"348","2019-09-19",65.32
"349","2019-09-20",66.809998
"350","2019-09-23",67
"351","2019-09-24",65.550003
"352","2019-09-25",62.900002
"353","2019-09-26",62.650002
"354","2019-09-27",61.57
"355","2019-09-30",61.02
"356","2019-10-01",58.130001
"357","2019-10-02",56.150002
"358","2019-10-03",57.91
"359","2019-10-04",58.779999
"360","2019-10-07",56.470001
"361","2019-10-08",55.119999
"362","2019-10-09",54.880001
"363","2019-10-10",54.84
"364","2019-10-11",52.119999
"365","2019-10-14",52.75
"366","2019-10-15",55.049999
"367","2019-10-16",54.369999
"368","2019-10-17",55.900002
"369","2019-10-18",54.889999
"370","2019-10-21",56.43
"371","2019-10-22",54.720001
"372","2019-10-23",55.990002
"373","2019-10-24",56.490002
"374","2019-10-25",58.16
"375","2019-10-28",58.619999
"376","2019-10-29",59.82
"377","2019-10-30",59.189999
"378","2019-10-31",60.98
"379","2019-11-01",61.57
"380","2019-11-04",61.09
"381","2019-11-05",60.560001
"382","2019-11-06",63.720001
"383","2019-11-07",59.740002
"384","2019-11-08",64.050003
"385","2019-11-11",62.639999
"386","2019-11-12",63
"387","2019-11-13",63.110001
"388","2019-11-14",63.029999
"389","2019-11-15",63.990002
"390","2019-11-18",63.389999
"391","2019-11-19",64.050003
"392","2019-11-20",65.32
"393","2019-11-21",66.080002
"394","2019-11-22",65.68
"395","2019-11-25",68.309998
"396","2019-11-26",70.75
"397","2019-11-27",71.5
"398","2019-11-29",70.959999
"399","2019-12-02",70.830002
"400","2019-12-03",72.220001
"401","2019-12-04",72.269997
"402","2019-12-05",74.330002
"403","2019-12-06",75
"404","2019-12-09",73.349998
"405","2019-12-10",72.870003
"406","2019-12-11",71.550003
"407","2019-12-12",72.139999
"408","2019-12-13",71.75
"409","2019-12-16",71
"410","2019-12-17",69.959999
"411","2019-12-18",71.93
"412","2019-12-19",70.580002
"413","2019-12-20",72.129997
"414","2019-12-23",72.709999
"415","2019-12-24",73.519997
"416","2019-12-26",73.360001
"417","2019-12-27",74.230003
"418","2019-12-30",73.529999
"419","2019-12-31",74.209999
"420","2020-01-02",74.489998
"421","2020-01-03",73.620003
"422","2020-01-06",75.480003
"423","2020-01-07",76.139999
"424","2020-01-08",77.220001
"425","2020-01-09",79
"426","2020-01-10",80.629997
"427","2020-01-13",79.730003
"428","2020-01-14",80.099998
"429","2020-01-15",81.25
"430","2020-01-16",82.379997
"431","2020-01-17",82.470001
"432","2020-01-21",81
"433","2020-01-22",80.610001
"434","2020-01-23",80.25
"435","2020-01-24",80.629997
"436","2020-01-27",78.559998
"437","2020-01-28",75.629997
"438","2020-01-29",77.300003
"439","2020-01-30",77.93
"440","2020-01-31",74.800003
"441","2020-02-03",76
"442","2020-02-04",75.480003
"443","2020-02-05",76.230003
"444","2020-02-06",76.160004
"445","2020-02-07",77.230003
"446","2020-02-10",77.849998
"447","2020-02-11",78.650002
"448","2020-02-12",79.410004
"449","2020-02-13",80.379997
"450","2020-02-14",81.169998
"451","2020-02-18",80.57
"452","2020-02-19",81.910004
"453","2020-02-20",80.959999
"454","2020-02-21",81.25
"455","2020-02-24",79.75
"456","2020-02-25",78.529999
"457","2020-02-26",84.830002
"458","2020-02-27",88.510002
"459","2020-02-28",85.870003
"460","2020-03-02",89.919998
"461","2020-03-03",82.910004
"462","2020-03-04",88.980003
"463","2020-03-05",86.150002
"464","2020-03-06",84.209999
"465","2020-03-09",78.629997
"466","2020-03-10",82.459999
"467","2020-03-11",75.650002
"468","2020-03-12",67.510002
"469","2020-03-13",65.300003
"470","2020-03-16",51.509998
"471","2020-03-17",50.560001
"472","2020-03-18",45.419998
"473","2020-03-19",48.049999
"474","2020-03-20",45.849998
"475","2020-03-23",41.619999
"476","2020-03-24",47.049999
"477","2020-03-25",51.990002
"478","2020-03-26",58.02
"479","2020-03-27",56.029999
"480","2020-03-30",60.150002
"481","2020-03-31",60.279999
"482","2020-04-01",51.610001
"483","2020-04-02",52.040001
"484","2020-04-03",49.5
"485","2020-04-06",54.919998
"486","2020-04-07",57.279999
"487","2020-04-08",62.18
"488","2020-04-09",64.610001
"489","2020-04-13",63.389999
"490","2020-04-14",70.059998
"491","2020-04-15",69.309998
"492","2020-04-16",73.169998
"493","2020-04-17",76.25
"494","2020-04-20",74.169998
"495","2020-04-21",69.68
