"","date","HDS"
"358","2014-11-25",29.48
"359","2014-11-26",29.24
"360","2014-11-28",29.08
"361","2014-12-01",28.299999
"362","2014-12-02",29.23
"363","2014-12-03",29.940001
"364","2014-12-04",30.110001
"365","2014-12-05",30.18
"366","2014-12-08",29.76
"367","2014-12-09",28.709999
"368","2014-12-10",28.23
"369","2014-12-11",27.4
"370","2014-12-12",27.379999
"371","2014-12-15",27.440001
"372","2014-12-16",27.24
"373","2014-12-17",27.440001
"374","2014-12-18",28.639999
"375","2014-12-19",29.280001
"376","2014-12-22",29.540001
"377","2014-12-23",29.709999
"378","2014-12-24",29.719999
"379","2014-12-26",29.940001
"380","2014-12-29",29.969999
"381","2014-12-30",29.59
"382","2014-12-31",29.49
"383","2015-01-02",29.459999
"384","2015-01-05",28.629999
"385","2015-01-06",28.200001
"386","2015-01-07",28.33
"387","2015-01-08",28.51
"388","2015-01-09",28.610001
"389","2015-01-12",28.34
"390","2015-01-13",28.379999
"391","2015-01-14",27.75
"392","2015-01-15",27.02
"393","2015-01-16",27.23
"394","2015-01-20",27.58
"395","2015-01-21",28.040001
"396","2015-01-22",28.5
"397","2015-01-23",28.459999
"398","2015-01-26",28.92
"399","2015-01-27",28.700001
"400","2015-01-28",28.41
"401","2015-01-29",28.99
"402","2015-01-30",28.83
"403","2015-02-02",29.139999
"404","2015-02-03",29.549999
"405","2015-02-04",28.51
"406","2015-02-05",28.26
"407","2015-02-06",28.190001
"408","2015-02-09",28.15
"409","2015-02-10",28.059999
"410","2015-02-11",28.059999
"411","2015-02-12",28.379999
"412","2015-02-13",28.620001
"413","2015-02-17",28.129999
"414","2015-02-18",28.639999
"415","2015-02-19",28.450001
"416","2015-02-20",29.620001
"417","2015-02-23",29.610001
"418","2015-02-24",30.43
"419","2015-02-25",29.74
"420","2015-02-26",29.6
"421","2015-02-27",29.51
"422","2015-03-02",29.969999
"423","2015-03-03",29.459999
"424","2015-03-04",29.440001
"425","2015-03-05",29.68
"426","2015-03-06",29.02
"427","2015-03-09",29.299999
"428","2015-03-10",28.74
"429","2015-03-11",29.360001
"430","2015-03-12",30
"431","2015-03-13",29.870001
"432","2015-03-16",30.32
"433","2015-03-17",30.309999
"434","2015-03-18",30.73
"435","2015-03-19",30.209999
"436","2015-03-20",29.690001
"437","2015-03-23",29.4
"438","2015-03-24",30.77
"439","2015-03-25",30.08
"440","2015-03-26",29.74
"441","2015-03-27",30.23
"442","2015-03-30",31.41
"443","2015-03-31",31.16
"444","2015-04-01",31.209999
"445","2015-04-02",31.51
"446","2015-04-06",31.940001
"447","2015-04-07",32.139999
"448","2015-04-08",31.93
"449","2015-04-09",31.66
"450","2015-04-10",31.76
"451","2015-04-13",31.67
"452","2015-04-14",31.84
"453","2015-04-15",32.68
"454","2015-04-16",32.959999
"455","2015-04-17",32.400002
"456","2015-04-20",32.599998
"457","2015-04-21",33.139999
"458","2015-04-22",33.330002
"459","2015-04-23",33.650002
"460","2015-04-24",33.5
"461","2015-04-27",33.580002
"462","2015-04-28",33.689999
"463","2015-04-29",33.740002
"464","2015-04-30",33
