"","date","ALUS"
"75","2020-04-28",9.67
"76","2020-04-29",9.7
"77","2020-04-30",9.66
"78","2020-05-01",9.65
"79","2020-05-04",9.7
"80","2020-05-05",9.72
"81","2020-05-06",9.68
"82","2020-05-07",9.68
"83","2020-05-08",9.68
"84","2020-05-11",9.68
"85","2020-05-12",9.69
"86","2020-05-13",9.67
"87","2020-05-14",9.71
"88","2020-05-15",9.66
"89","2020-05-18",9.66
"90","2020-05-19",9.66
"91","2020-05-20",9.66
"92","2020-05-21",9.65
"93","2020-05-22",9.65
"94","2020-05-26",9.65
"95","2020-05-27",9.8
"96","2020-05-28",9.72
"97","2020-05-29",9.73
"98","2020-06-01",9.76
"99","2020-06-02",9.73
"100","2020-06-03",9.76
"101","2020-06-04",9.76
"102","2020-06-05",9.77
"103","2020-06-08",9.77
"104","2020-06-09",9.75
"105","2020-06-10",9.75
"106","2020-06-11",9.785
"107","2020-06-12",9.79
"108","2020-06-15",9.82
"109","2020-06-16",9.82
"110","2020-06-17",9.81
"111","2020-06-18",9.81
"112","2020-06-19",9.81
"113","2020-06-22",9.88
"114","2020-06-23",9.82
"115","2020-06-24",9.82
"116","2020-06-25",9.83
"117","2020-06-26",9.8
"118","2020-06-29",9.82
"119","2020-06-30",9.85
"120","2020-07-01",9.81
"121","2020-07-02",9.94
"122","2020-07-06",9.89
"123","2020-07-07",9.9
"124","2020-07-08",9.89
"125","2020-07-09",9.95
"126","2020-07-10",10.03
"127","2020-07-13",10
"128","2020-07-14",10.15
"129","2020-07-15",10.13
"130","2020-07-16",10.09
"131","2020-07-17",10.06
"132","2020-07-20",10.05
"133","2020-07-21",10.08
"134","2020-07-22",10.05
"135","2020-07-23",10.08
"136","2020-07-24",10.05
"137","2020-07-27",10.1
"138","2020-07-28",10.11
"139","2020-07-29",10.12
"140","2020-07-30",10.05
"141","2020-07-31",10.08
"142","2020-08-03",10.01
"143","2020-08-04",10.05
"144","2020-08-05",9.97
"145","2020-08-06",9.97
"146","2020-08-07",9.97
"147","2020-08-10",9.98
"148","2020-08-11",9.98
"149","2020-08-12",9.95
"150","2020-08-13",9.98
"151","2020-08-14",9.99
"152","2020-08-17",9.94
"153","2020-08-18",9.98
"154","2020-08-19",9.98
"155","2020-08-20",9.95
"156","2020-08-21",9.925
"157","2020-08-24",9.925
"158","2020-08-25",9.9
"159","2020-08-26",9.85
"160","2020-08-27",9.91
"161","2020-08-28",9.85
"162","2020-08-31",9.85
"163","2020-09-01",9.97
"164","2020-09-02",9.86
"165","2020-09-03",9.92
"166","2020-09-04",9.9
"167","2020-09-08",9.88
"168","2020-09-09",9.9
"169","2020-09-10",9.88
"170","2020-09-11",9.92
"171","2020-09-14",9.9
"172","2020-09-15",9.93
"173","2020-09-16",9.93
"174","2020-09-17",9.93
"175","2020-09-18",10
"176","2020-09-21",10.05
"177","2020-09-22",10.05
"178","2020-09-23",10.05
"179","2020-09-24",9.94
"180","2020-09-25",10.06
"181","2020-09-28",10.025
"182","2020-09-29",9.97
"183","2020-09-30",9.93
"184","2020-10-01",10.025
"185","2020-10-02",9.95
"186","2020-10-05",9.95
"187","2020-10-06",9.96
"188","2020-10-07",9.95
"189","2020-10-08",9.94
"190","2020-10-09",9.925
"191","2020-10-12",9.94
"192","2020-10-13",9.94
"193","2020-10-14",9.92
"194","2020-10-15",9.93
"195","2020-10-16",9.92
"196","2020-10-19",9.96
"197","2020-10-20",9.9
"198","2020-10-21",9.88
"199","2020-10-22",9.93
"200","2020-10-23",9.91
"201","2020-10-26",9.9
"202","2020-10-27",9.88
"203","2020-10-28",9.82
"204","2020-10-29",9.85
"205","2020-10-30",9.85
"206","2020-11-02",9.92
"207","2020-11-03",9.92
"208","2020-11-04",9.95
"209","2020-11-05",9.88
"210","2020-11-06",9.93
"211","2020-11-09",9.88
"212","2020-11-10",9.89
"213","2020-11-11",9.89
"214","2020-11-12",9.85
"215","2020-11-13",9.85
"216","2020-11-16",9.86
"217","2020-11-17",9.86
"218","2020-11-18",9.9
"219","2020-11-19",9.88
"220","2020-11-20",9.887
"221","2020-11-23",9.9
"222","2020-11-24",9.91
"223","2020-11-25",9.91
"224","2020-11-27",9.91
