"","date","PHAS"
"386","2020-05-01",3.85
"387","2020-05-04",4
"388","2020-05-05",4.65
"389","2020-05-06",4.79
"390","2020-05-07",5.07
"391","2020-05-08",4.81
"392","2020-05-11",4.92
"393","2020-05-12",4.67
"394","2020-05-13",4.27
"395","2020-05-14",4.03
"396","2020-05-15",4.25
"397","2020-05-18",4.45
"398","2020-05-19",4.42
"399","2020-05-20",4.58
"400","2020-05-21",4.28
"401","2020-05-22",4.44
"402","2020-05-26",4.49
"403","2020-05-27",4.42
"404","2020-05-28",6.02
"405","2020-05-29",6.01
"406","2020-06-01",5.92
"407","2020-06-02",5.3
"408","2020-06-03",4.86
"409","2020-06-04",5.04
"410","2020-06-05",5.07
"411","2020-06-08",5
"412","2020-06-09",5.13
"413","2020-06-10",5.3
"414","2020-06-11",4.76
"415","2020-06-12",4.83
"416","2020-06-15",5.08
"417","2020-06-16",5.11
"418","2020-06-17",4.91
"419","2020-06-18",4.98
"420","2020-06-19",5.09
"421","2020-06-22",4.99
"422","2020-06-23",4.95
"423","2020-06-24",4.81
"424","2020-06-25",4.8
"425","2020-06-26",4.71
"426","2020-06-29",4.6
"427","2020-06-30",4.6
"428","2020-07-01",4.55
"429","2020-07-02",4.39
"430","2020-07-06",4.55
"431","2020-07-07",4.73
"432","2020-07-08",4.65
"433","2020-07-09",4.57
"434","2020-07-10",4.73
"435","2020-07-13",4.34
"436","2020-07-14",4.73
"437","2020-07-15",4.87
"438","2020-07-16",4.7
"439","2020-07-17",5.49
"440","2020-07-20",5.05
"441","2020-07-21",5.22
"442","2020-07-22",5.08
"443","2020-07-23",5.06
"444","2020-07-24",4.68
"445","2020-07-27",4.58
"446","2020-07-28",4.38
"447","2020-07-29",4.04
"448","2020-07-30",4.14
"449","2020-07-31",4
"450","2020-08-03",4.28
"451","2020-08-04",4.11
"452","2020-08-05",4.32
"453","2020-08-06",4.24
"454","2020-08-07",4.05
"455","2020-08-10",4.23
"456","2020-08-11",3.91
"457","2020-08-12",4.08
"458","2020-08-13",4.12
"459","2020-08-14",4.02
"460","2020-08-17",3.88
"461","2020-08-18",3.9
"462","2020-08-19",3.91
"463","2020-08-20",3.87
"464","2020-08-21",3.79
"465","2020-08-24",3.52
"466","2020-08-25",3.8
"467","2020-08-26",4.06
"468","2020-08-27",3.77
"469","2020-08-28",3.85
"470","2020-08-31",3.86
"471","2020-09-01",3.72
"472","2020-09-02",3.63
"473","2020-09-03",3.35
"474","2020-09-04",3.28
"475","2020-09-08",3.4
"476","2020-09-09",3.22
"477","2020-09-10",3.32
"478","2020-09-11",3.17
"479","2020-09-14",3.45
"480","2020-09-15",3.53
"481","2020-09-16",3.49
"482","2020-09-17",3.52
"483","2020-09-18",3.65
"484","2020-09-21",3.41
"485","2020-09-22",3.41
"486","2020-09-23",3.29
"487","2020-09-24",3.18
"488","2020-09-25",3.42
"489","2020-09-28",3.36
"490","2020-09-29",3.48
"491","2020-09-30",3.51
"492","2020-10-01",3.49
"493","2020-10-02",3.36
"494","2020-10-05",3.38
"495","2020-10-06",3.34
"496","2020-10-07",3.48
"497","2020-10-08",3.61
"498","2020-10-09",3.72
"499","2020-10-12",3.61
"500","2020-10-13",3.69
"501","2020-10-14",3.45
"502","2020-10-15",3.4
"503","2020-10-16",3.44
"504","2020-10-19",3.66
"505","2020-10-20",3.53
"506","2020-10-21",3.45
"507","2020-10-22",3.42
"508","2020-10-23",3.1
"509","2020-10-26",2.93
"510","2020-10-27",2.85
"511","2020-10-28",2.74
"512","2020-10-29",2.9
"513","2020-10-30",2.73
"514","2020-11-02",2.84
"515","2020-11-03",3.01
"516","2020-11-04",3.17
"517","2020-11-05",3.3
"518","2020-11-06",3.35
"519","2020-11-09",3.37
"520","2020-11-10",3.41
"521","2020-11-11",3.58
"522","2020-11-12",3.67
"523","2020-11-13",3.66
"524","2020-11-16",3.56
"525","2020-11-17",3.62
"526","2020-11-18",3.57
"527","2020-11-19",3.68
"528","2020-11-20",3.53
"529","2020-11-23",3.68
"530","2020-11-24",3.57
"531","2020-11-25",3.69
"532","2020-11-27",3.78
