"","date","BBCP"
"477","2019-07-15",5.27
"478","2019-07-16",5.23
"479","2019-07-17",5.04
"480","2019-07-18",4.43
"481","2019-07-19",4.44
"482","2019-07-22",4.27
"483","2019-07-23",4.35
"484","2019-07-24",4.34
"485","2019-07-25",4.02
"486","2019-07-26",3.95
"487","2019-07-29",4.12
"488","2019-07-30",4.04
"489","2019-07-31",4.05
"490","2019-08-01",3.84
"491","2019-08-02",3.79
"492","2019-08-05",3.83
"493","2019-08-06",3.5
"494","2019-08-07",3.42
"495","2019-08-08",3.33
"496","2019-08-09",3.45
"497","2019-08-12",3.36
"498","2019-08-13",3.58
"499","2019-08-14",3.27
"500","2019-08-15",3.37
"501","2019-08-16",3.48
"502","2019-08-19",3.74
"503","2019-08-20",4.11
"504","2019-08-21",4.24
"505","2019-08-22",4.02
"506","2019-08-23",3.79
"507","2019-08-26",4.15
"508","2019-08-27",3.85
"509","2019-08-28",4.28
"510","2019-08-29",4.45
"511","2019-08-30",4.42
"512","2019-09-03",4.1
"513","2019-09-04",4.26
"514","2019-09-05",4.3
"515","2019-09-06",4.4
"516","2019-09-09",4.13
"517","2019-09-10",3.98
"518","2019-09-11",4.16
"519","2019-09-12",3.96
"520","2019-09-13",4.16
"521","2019-09-16",4.35
"522","2019-09-17",3.87
"523","2019-09-18",4.04
"524","2019-09-19",4.05
"525","2019-09-20",4.09
"526","2019-09-23",4.06
"527","2019-09-24",3.72
"528","2019-09-25",3.88
"529","2019-09-26",3.89
"530","2019-09-27",3.82
"531","2019-09-30",3.97
"532","2019-10-01",3.67
"533","2019-10-02",3.67
"534","2019-10-03",3.5
"535","2019-10-04",3.55
"536","2019-10-07",3.57
"537","2019-10-08",3.37
"538","2019-10-09",3.52
"539","2019-10-10",3.48
"540","2019-10-11",3.57
"541","2019-10-14",3.43
"542","2019-10-15",3.56
"543","2019-10-16",3.5
"544","2019-10-17",3.5
"545","2019-10-18",3.48
"546","2019-10-21",3.54
"547","2019-10-22",3.45
"548","2019-10-23",3.36
"549","2019-10-24",3.31
"550","2019-10-25",3.33
"551","2019-10-28",3.32
"552","2019-10-29",3.29
"553","2019-10-30",3.41
"554","2019-10-31",3.44
"555","2019-11-01",3.37
"556","2019-11-04",3.25
"557","2019-11-05",3.25
"558","2019-11-06",3.28
"559","2019-11-07",3.3
"560","2019-11-08",3.39
"561","2019-11-11",3.49
"562","2019-11-12",3.63
"563","2019-11-13",3.73
"564","2019-11-14",3.73
"565","2019-11-15",3.75
"566","2019-11-18",3.71
"567","2019-11-19",3.9
"568","2019-11-20",4.05
"569","2019-11-21",4.23
"570","2019-11-22",4.56
"571","2019-11-25",4.615
"572","2019-11-26",4.58
"573","2019-11-27",4.81
"574","2019-11-29",4.8
"575","2019-12-02",4.51
"576","2019-12-03",4.56
"577","2019-12-04",4.6
"578","2019-12-05",4.55
"579","2019-12-06",4.65
"580","2019-12-09",4.555
"581","2019-12-10",4.45
"582","2019-12-11",4.5
"583","2019-12-12",4.51
"584","2019-12-13",4.53
"585","2019-12-16",4.58
"586","2019-12-17",4.815
"587","2019-12-18",5.18
"588","2019-12-19",5.14
"589","2019-12-20",5.6
"590","2019-12-23",5.53
"591","2019-12-24",5.42
"592","2019-12-26",5.32
"593","2019-12-27",5.48
"594","2019-12-30",5.44
"595","2019-12-31",5.47
"596","2020-01-02",5.49
"597","2020-01-03",5.31
"598","2020-01-06",5.03
"599","2020-01-07",5.04
"600","2020-01-08",4.88
"601","2020-01-09",5.2
"602","2020-01-10",5.23
"603","2020-01-13",5.42
"604","2020-01-14",5.6
"605","2020-01-15",5.18
"606","2020-01-16",5.12
"607","2020-01-17",4.845
"608","2020-01-21",5.055
"609","2020-01-22",5.05
"610","2020-01-23",5.195
"611","2020-01-24",5.14
"612","2020-01-27",5.04
"613","2020-01-28",5.05
"614","2020-01-29",5.09
"615","2020-01-30",5.08
"616","2020-01-31",5.1
"617","2020-02-03",5.12
"618","2020-02-04",5.1
"619","2020-02-05",5.44
"620","2020-02-06",5.43
"621","2020-02-07",5.36
"622","2020-02-10",5.42
"623","2020-02-11",5.42
"624","2020-02-12",5.61
"625","2020-02-13",5.4
"626","2020-02-14",5.51
"627","2020-02-18",5.6
"628","2020-02-19",5.73
"629","2020-02-20",5.94
"630","2020-02-21",5.94
"631","2020-02-24",5.42
"632","2020-02-25",5.06
"633","2020-02-26",5.35
"634","2020-02-27",5.21
"635","2020-02-28",5.16
"636","2020-03-02",5.72
"637","2020-03-03",5.69
"638","2020-03-04",5.74
"639","2020-03-05",5.69
"640","2020-03-06",5.53
"641","2020-03-09",4.87
"642","2020-03-10",4.51
"643","2020-03-11",4.37
"644","2020-03-12",3.37
"645","2020-03-13",4.16
"646","2020-03-16",3.26
"647","2020-03-17",3.26
"648","2020-03-18",2.71
"649","2020-03-19",3.35
"650","2020-03-20",3.49
"651","2020-03-23",3.35
"652","2020-03-24",3.55
"653","2020-03-25",3.51
"654","2020-03-26",3.5
"655","2020-03-27",3.08
"656","2020-03-30",2.82
"657","2020-03-31",2.86
"658","2020-04-01",2.17
"659","2020-04-02",2.31
"660","2020-04-03",2.31
"661","2020-04-06",2.59
"662","2020-04-07",2.56
"663","2020-04-08",2.56
"664","2020-04-09",2.8
"665","2020-04-13",2.49
"666","2020-04-14",2.35
"667","2020-04-15",2.11
"668","2020-04-16",2.04
"669","2020-04-17",1.9
"670","2020-04-20",1.99
"671","2020-04-21",2
"672","2020-04-22",2.03
"673","2020-04-23",2.48
"674","2020-04-24",2.65
"675","2020-04-27",3
"676","2020-04-28",3.22
"677","2020-04-29",3.52
"678","2020-04-30",2.84
"679","2020-05-01",2.57
"680","2020-05-04",2.4
"681","2020-05-05",2.28
"682","2020-05-06",2.45
"683","2020-05-07",2.53
"684","2020-05-08",2.62
"685","2020-05-11",2.74
"686","2020-05-12",2.8
"687","2020-05-13",2.61
"688","2020-05-14",2.65
"689","2020-05-15",2.71
"690","2020-05-18",2.9
"691","2020-05-19",2.79
"692","2020-05-20",2.93
"693","2020-05-21",2.99
"694","2020-05-22",3.03
"695","2020-05-26",3.25
"696","2020-05-27",3.56
"697","2020-05-28",3.49
"698","2020-05-29",3.33
"699","2020-06-01",3.22
"700","2020-06-02",3.16
"701","2020-06-03",3.49
"702","2020-06-04",3.4
"703","2020-06-05",3.68
"704","2020-06-08",4.03
"705","2020-06-09",3.66
"706","2020-06-10",4.29
"707","2020-06-11",3.725
"708","2020-06-12",3.75
"709","2020-06-15",3.75
"710","2020-06-16",3.9
"711","2020-06-17",3.81
"712","2020-06-18",3.9
"713","2020-06-19",4
"714","2020-06-22",3.89
"715","2020-06-23",3.91
"716","2020-06-24",3.65
"717","2020-06-25",3.65
"718","2020-06-26",5.48
"719","2020-06-29",3.66
"720","2020-06-30",3.48
"721","2020-07-01",3.36
"722","2020-07-02",3.44
"723","2020-07-06",3.31
"724","2020-07-07",3.22
"725","2020-07-08",3.2
"726","2020-07-09",3.01
"727","2020-07-10",3.1
"728","2020-07-13",3.06
"729","2020-07-14",3.18
"730","2020-07-15",3.4
"731","2020-07-16",3.45
"732","2020-07-17",3.77
"733","2020-07-20",3.53
"734","2020-07-21",3.7
"735","2020-07-22",3.68
"736","2020-07-23",3.71
"737","2020-07-24",3.59
"738","2020-07-27",3.72
"739","2020-07-28",3.55
"740","2020-07-29",3.64
"741","2020-07-30",3.88
"742","2020-07-31",3.74
"743","2020-08-03",3.87
"744","2020-08-04",3.83
"745","2020-08-05",3.91
"746","2020-08-06",3.96
"747","2020-08-07",4.18
"748","2020-08-10",3.94
"749","2020-08-11",4.19
"750","2020-08-12",4.12
"751","2020-08-13",4.08
"752","2020-08-14",3.87
"753","2020-08-17",3.99
"754","2020-08-18",4.13
"755","2020-08-19",3.84
"756","2020-08-20",3.72
"757","2020-08-21",3.77
"758","2020-08-24",3.68
"759","2020-08-25",3.65
"760","2020-08-26",3.67
"761","2020-08-27",3.7
"762","2020-08-28",3.71
"763","2020-08-31",3.63
"764","2020-09-01",4
"765","2020-09-02",4.13
"766","2020-09-03",4.19
"767","2020-09-04",4.42
"768","2020-09-08",3.96
"769","2020-09-09",3.8
"770","2020-09-10",3.68
"771","2020-09-11",3.51
"772","2020-09-14",3.62
"773","2020-09-15",3.72
"774","2020-09-16",3.76
"775","2020-09-17",3.69
"776","2020-09-18",3.78
"777","2020-09-21",3.43
"778","2020-09-22",3.46
"779","2020-09-23",3.37
"780","2020-09-24",3.22
"781","2020-09-25",3.41
"782","2020-09-28",3.75
"783","2020-09-29",3.65
"784","2020-09-30",3.57
"785","2020-10-01",3.75
"786","2020-10-02",3.66
"787","2020-10-05",3.8
"788","2020-10-06",3.72
"789","2020-10-07",3.77
"790","2020-10-08",3.83
"791","2020-10-09",4
"792","2020-10-12",3.99
"793","2020-10-13",3.8
"794","2020-10-14",3.87
"795","2020-10-15",3.93
"796","2020-10-16",3.88
"797","2020-10-19",3.81
"798","2020-10-20",3.86
"799","2020-10-21",3.71
"800","2020-10-22",3.78
"801","2020-10-23",3.76
"802","2020-10-26",3.72
"803","2020-10-27",3.7
"804","2020-10-28",3.42
"805","2020-10-29",3.48
"806","2020-10-30",3.23
"807","2020-11-02",3.41
"808","2020-11-03",3.57
"809","2020-11-04",3.54
"810","2020-11-05",3.41
"811","2020-11-06",3.4
"812","2020-11-09",3.51
"813","2020-11-10",3.48
"814","2020-11-11",3.65
"815","2020-11-12",3.47
"816","2020-11-13",3.57
"817","2020-11-16",3.74
"818","2020-11-17",3.71
"819","2020-11-18",3.6
"820","2020-11-19",3.61
"821","2020-11-20",3.5
"822","2020-11-23",3.49
"823","2020-11-24",3.54
"824","2020-11-25",3.6
"825","2020-11-27",3.5
