"","date","PFSI"
"573","2015-08-17",17.84
"574","2015-08-18",17.83
"575","2015-08-19",17.59
"576","2015-08-20",17.629999
"577","2015-08-21",17.98
"578","2015-08-24",17.66
"579","2015-08-25",17.379999
"580","2015-08-26",17.57
"581","2015-08-27",17.32
"582","2015-08-28",17.030001
"583","2015-08-31",17.17
"584","2015-09-01",16.6
"585","2015-09-02",16.66
"586","2015-09-03",16.66
"587","2015-09-04",16.6
"588","2015-09-08",16.41
"589","2015-09-09",16.299999
"590","2015-09-10",16.200001
"591","2015-09-11",16.32
"592","2015-09-14",16.120001
"593","2015-09-15",16.540001
"594","2015-09-16",16.51
"595","2015-09-17",16.33
"596","2015-09-18",16.799999
"597","2015-09-21",17.030001
"598","2015-09-22",17.030001
"599","2015-09-23",16.940001
"600","2015-09-24",16.65
"601","2015-09-25",16.48
"602","2015-09-28",16.17
"603","2015-09-29",16.1
"604","2015-09-30",16
"605","2015-10-01",15.93
"606","2015-10-02",16
"607","2015-10-05",15.9
"608","2015-10-06",15.71
"609","2015-10-07",15.94
"610","2015-10-08",16.5
"611","2015-10-09",15.96
"612","2015-10-12",15.99
"613","2015-10-13",15.5
"614","2015-10-14",15.5
"615","2015-10-15",15.77
"616","2015-10-16",15.91
"617","2015-10-19",16
"618","2015-10-20",16
"619","2015-10-21",15.99
"620","2015-10-22",16
"621","2015-10-23",16.6
"622","2015-10-26",16
"623","2015-10-27",16.530001
"624","2015-10-28",17.040001
"625","2015-10-29",17.09
"626","2015-10-30",16.540001
"627","2015-11-02",16.68
"628","2015-11-03",16.690001
"629","2015-11-04",17.08
"630","2015-11-05",16.530001
"631","2015-11-06",16.879999
"632","2015-11-09",16.389999
"633","2015-11-10",16.4
"634","2015-11-11",16.68
"635","2015-11-12",16.290001
"636","2015-11-13",16.15
"637","2015-11-16",16.18
"638","2015-11-17",16.1
"639","2015-11-18",16.190001
"640","2015-11-19",16.34
"641","2015-11-20",16.139999
"642","2015-11-23",16.139999
"643","2015-11-24",16.1
"644","2015-11-25",16.18
"645","2015-11-27",16.32
"646","2015-11-30",16.23
"647","2015-12-01",16.25
"648","2015-12-02",16.18
"649","2015-12-03",16.190001
"650","2015-12-04",16.1
"651","2015-12-07",16.18
"652","2015-12-08",15.96
"653","2015-12-09",16.059999
"654","2015-12-10",15.98
