"","date","CAC"
"319","2008-04-09",22.02
"320","2008-04-10",23.219999
"321","2008-04-11",23.139999
"322","2008-04-14",22.673334
"323","2008-04-15",22.646667
"324","2008-04-16",22.139999
"325","2008-04-17",21.773333
"326","2008-04-18",21.98
"327","2008-04-21",21.84
"328","2008-04-22",21.926666
"329","2008-04-23",22.093334
"330","2008-04-24",22.173334
"331","2008-04-25",22.226667
"332","2008-04-28",22.026667
"333","2008-04-29",22.200001
"334","2008-04-30",22.120001
"335","2008-05-01",21.666666
"336","2008-05-02",21.98
"337","2008-05-05",21.66
"338","2008-05-06",21.446667
"339","2008-05-07",21.326666
"340","2008-05-08",21.226667
"341","2008-05-09",20.866667
"342","2008-05-12",21.113333
"343","2008-05-13",19.666666
"344","2008-05-14",19.76
"345","2008-05-15",19.666666
"346","2008-05-16",19.833334
"347","2008-05-19",19.639999
"348","2008-05-20",19.940001
"349","2008-05-21",19.74
"350","2008-05-22",19.806667
"351","2008-05-23",19.84
"352","2008-05-27",20.113333
"353","2008-05-28",19.966667
"354","2008-05-29",20.133333
"355","2008-05-30",20.373333
"356","2008-06-02",20.466667
"357","2008-06-03",21.013334
"358","2008-06-04",21.120001
"359","2008-06-05",21.253334
"360","2008-06-06",21.666666
"361","2008-06-09",20.76
"362","2008-06-10",20.946667
"363","2008-06-11",20.166666
"364","2008-06-12",20.52
"365","2008-06-13",20.693333
"366","2008-06-16",20.799999
"367","2008-06-17",20.966667
"368","2008-06-18",20.42
"369","2008-06-19",20.373333
"370","2008-06-20",19.666666
"371","2008-06-23",19.233334
"372","2008-06-24",18.646667
"373","2008-06-25",17.946667
"374","2008-06-26",17.799999
"375","2008-06-27",16.6
"376","2008-06-30",15.52
"377","2008-07-01",15.566667
"378","2008-07-02",15.446667
"379","2008-07-03",16.24
"380","2008-07-07",16.133333
"381","2008-07-08",18.613333
"382","2008-07-09",17.84
"383","2008-07-10",19.200001
"384","2008-07-11",18.086666
"385","2008-07-14",16.559999
"386","2008-07-15",16.459999
"387","2008-07-16",16.666666
"388","2008-07-17",16.5
"389","2008-07-18",16.393333
"390","2008-07-21",16.893333
"391","2008-07-22",17.219999
"392","2008-07-23",17.546667
"393","2008-07-24",17.333334
"394","2008-07-25",18.1
"395","2008-07-28",17.393333
"396","2008-07-29",19.266666
"397","2008-07-30",19.433332
"398","2008-07-31",20.573334
"399","2008-08-01",20.666666
"400","2008-08-04",20.459999
"401","2008-08-05",21.1
"402","2008-08-06",20.92
"403","2008-08-07",20.246666
"404","2008-08-08",21.113333
"405","2008-08-11",22.16
"406","2008-08-12",22.1
"407","2008-08-13",22.266666
"408","2008-08-14",22.133333
"409","2008-08-15",21.98
"410","2008-08-18",22.313334
"411","2008-08-19",21.879999
"412","2008-08-20",20.926666
"413","2008-08-21",21.273333
"414","2008-08-22",22
"415","2008-08-25",21.666666
"416","2008-08-26",21.799999
"417","2008-08-27",22.133333
"418","2008-08-28",22.34
"419","2008-08-29",21.593334
"420","2008-09-02",21.833334
"421","2008-09-03",21.946667
"422","2008-09-04",21.813334
"423","2008-09-05",22.120001
"424","2008-09-08",22.106667
"425","2008-09-09",22
"426","2008-09-10",21.786667
"427","2008-09-11",21.473333
"428","2008-09-12",21.173334
"429","2008-09-15",20.066668
"430","2008-09-16",21.586666
"431","2008-09-17",20.379999
"432","2008-09-18",20.633333
"433","2008-09-19",24
"434","2008-09-22",20.286667
"435","2008-09-23",19.873333
"436","2008-09-24",21.373333
"437","2008-09-25",22.066668
"438","2008-09-26",21.873333
"439","2008-09-29",19.76
"440","2008-09-30",23.299999
"441","2008-10-01",22.280001
"442","2008-10-02",21.92
"443","2008-10-03",22.040001
"444","2008-10-06",21.926666
"445","2008-10-07",19.733334
"446","2008-10-08",19.16
"447","2008-10-09",15.48
"448","2008-10-10",18
"449","2008-10-13",21.446667
"450","2008-10-14",20.02
"451","2008-10-15",17.52
"452","2008-10-16",20.346666
"453","2008-10-17",18.9
"454","2008-10-20",19.986666
"455","2008-10-21",19.953333
"456","2008-10-22",18
"457","2008-10-23",16.753334
"458","2008-10-24",16.886667
"459","2008-10-27",15.413333
"460","2008-10-28",18.413334
"461","2008-10-29",18.893333
"462","2008-10-30",20.646667
"463","2008-10-31",19.5
"464","2008-11-03",19.833334
"465","2008-11-04",19.733334
"466","2008-11-05",18.26
