"","date","BRMK"
"90","2020-03-26",7.72
"91","2020-03-27",7.77
"92","2020-03-30",7.18
"93","2020-03-31",7.52
"94","2020-04-01",7.38
"95","2020-04-02",7.27
"96","2020-04-03",6.71
"97","2020-04-06",7
"98","2020-04-07",7
"99","2020-04-08",7.5
"100","2020-04-09",7.85
"101","2020-04-13",7.61
"102","2020-04-14",7.25
"103","2020-04-15",7.14
"104","2020-04-16",7.23
"105","2020-04-17",7.57
"106","2020-04-20",7.49
"107","2020-04-21",7.49
"108","2020-04-22",7.69
"109","2020-04-23",7.88
"110","2020-04-24",7.9
"111","2020-04-27",7.97
"112","2020-04-28",7.93
"113","2020-04-29",8.12
"114","2020-04-30",8.19
"115","2020-05-01",8.04
"116","2020-05-04",8.22
"117","2020-05-05",8.21
"118","2020-05-06",7.94
"119","2020-05-07",7.94
"120","2020-05-08",8.3
"121","2020-05-11",8.15
"122","2020-05-12",7.93
"123","2020-05-13",7.69
"124","2020-05-14",7.37
"125","2020-05-15",7.3
"126","2020-05-18",7.52
"127","2020-05-19",7.7
"128","2020-05-20",7.69
"129","2020-05-21",7.83
"130","2020-05-22",7.87
"131","2020-05-26",8.03
"132","2020-05-27",8.53
"133","2020-05-28",8.61
"134","2020-05-29",8.74
"135","2020-06-01",9.02
"136","2020-06-02",9.2
"137","2020-06-03",9.75
"138","2020-06-04",9.9
"139","2020-06-05",9.57
"140","2020-06-08",9.87
"141","2020-06-09",9.89
"142","2020-06-10",9.82
"143","2020-06-11",9.08
"144","2020-06-12",9.65
"145","2020-06-15",9.64
"146","2020-06-16",9.86
"147","2020-06-17",9.89
"148","2020-06-18",10.2
"149","2020-06-19",10.53
"150","2020-06-22",10.11
"151","2020-06-23",10.08
"152","2020-06-24",9.8
"153","2020-06-25",10.15
"154","2020-06-26",9.1
"155","2020-06-29",9.61
"156","2020-06-30",9.47
"157","2020-07-01",9.39
"158","2020-07-02",9.34
"159","2020-07-06",9.24
"160","2020-07-07",8.92
"161","2020-07-08",9.12
"162","2020-07-09",8.73
"163","2020-07-10",8.95
"164","2020-07-13",8.86
"165","2020-07-14",9.08
"166","2020-07-15",9.23
"167","2020-07-16",9.29
"168","2020-07-17",9.38
"169","2020-07-20",9.23
"170","2020-07-21",9.24
"171","2020-07-22",9.52
"172","2020-07-23",9.58
"173","2020-07-24",9.17
"174","2020-07-27",9.32
"175","2020-07-28",9.34
"176","2020-07-29",9.36
"177","2020-07-30",9.23
"178","2020-07-31",9.22
"179","2020-08-03",9.28
"180","2020-08-04",9.36
"181","2020-08-05",9.6
"182","2020-08-06",9.69
"183","2020-08-07",9.85
"184","2020-08-10",9.96
"185","2020-08-11",9.6
"186","2020-08-12",9.87
"187","2020-08-13",9.84
"188","2020-08-14",9.98
"189","2020-08-17",10.05
"190","2020-08-18",10.02
"191","2020-08-19",9.78
"192","2020-08-20",9.74
"193","2020-08-21",9.72
"194","2020-08-24",10.08
"195","2020-08-25",10.05
"196","2020-08-26",9.97
"197","2020-08-27",10.01
"198","2020-08-28",10
"199","2020-08-31",9.8
"200","2020-09-01",9.8
"201","2020-09-02",9.92
"202","2020-09-03",9.85
"203","2020-09-04",9.79
"204","2020-09-08",9.76
"205","2020-09-09",9.92
"206","2020-09-10",9.8
"207","2020-09-11",9.74
"208","2020-09-14",10.18
"209","2020-09-15",10.11
"210","2020-09-16",10.18
"211","2020-09-17",10.1
"212","2020-09-18",10.23
"213","2020-09-21",9.66
"214","2020-09-22",9.88
"215","2020-09-23",9.61
"216","2020-09-24",9.66
"217","2020-09-25",9.84
"218","2020-09-28",9.98
"219","2020-09-29",9.92
"220","2020-09-30",9.86
"221","2020-10-01",10.01
"222","2020-10-02",10.11
"223","2020-10-05",10.2
"224","2020-10-06",9.93
"225","2020-10-07",10.19
"226","2020-10-08",10.23
"227","2020-10-09",10.22
"228","2020-10-12",10.35
"229","2020-10-13",10.18
"230","2020-10-14",9.99
"231","2020-10-15",10.25
"232","2020-10-16",10.07
"233","2020-10-19",9.86
"234","2020-10-20",10.02
"235","2020-10-21",10.1
"236","2020-10-22",10.2
"237","2020-10-23",10.24
"238","2020-10-26",9.92
"239","2020-10-27",9.83
"240","2020-10-28",9.86
"241","2020-10-29",10.05
"242","2020-10-30",9.97
"243","2020-11-02",10.13
"244","2020-11-03",10.23
"245","2020-11-04",10.01
"246","2020-11-05",10.09
"247","2020-11-06",9.91
"248","2020-11-09",10.11
"249","2020-11-10",10.29
"250","2020-11-11",10.2
"251","2020-11-12",9.99
"252","2020-11-13",10.2
"253","2020-11-16",10.25
"254","2020-11-17",10.19
"255","2020-11-18",10.05
"256","2020-11-19",10.12
"257","2020-11-20",10
"258","2020-11-23",10.11
"259","2020-11-24",10.33
"260","2020-11-25",10.42
"261","2020-11-27",10.39
