"","date","NOVA"
"165","2020-03-19",7.43
"166","2020-03-20",10.17
"167","2020-03-23",10.03
"168","2020-03-24",10.9
"169","2020-03-25",11.93
"170","2020-03-26",12.61
"171","2020-03-27",10.91
"172","2020-03-30",10.14
"173","2020-03-31",10.07
"174","2020-04-01",9.8
"175","2020-04-02",9.94
"176","2020-04-03",9.06
"177","2020-04-06",9.45
"178","2020-04-07",10.68
"179","2020-04-08",11.16
"180","2020-04-09",11.76
"181","2020-04-13",11.32
"182","2020-04-14",12.88
"183","2020-04-15",11.71
"184","2020-04-16",10.62
"185","2020-04-17",10.99
"186","2020-04-20",11.12
"187","2020-04-21",10.69
"188","2020-04-22",11.58
"189","2020-04-23",12.3
"190","2020-04-24",11.3
"191","2020-04-27",12.09
"192","2020-04-28",12.41
"193","2020-04-29",13.92
"194","2020-04-30",12.6
"195","2020-05-01",11.53
"196","2020-05-04",11.66
"197","2020-05-05",11.33
"198","2020-05-06",11.44
"199","2020-05-07",12.71
"200","2020-05-08",13.94
"201","2020-05-11",13.7
"202","2020-05-12",13.94
"203","2020-05-13",13.13
"204","2020-05-14",13.9
"205","2020-05-15",14.12
"206","2020-05-18",15.75
"207","2020-05-19",14.9
"208","2020-05-20",14.07
"209","2020-05-21",13.57
"210","2020-05-22",13.71
"211","2020-05-26",14.64
"212","2020-05-27",14.48
"213","2020-05-28",14.74
"214","2020-05-29",15
"215","2020-06-01",16.440001
"216","2020-06-02",15.6
"217","2020-06-03",16.4
"218","2020-06-04",15.68
"219","2020-06-05",15.99
"220","2020-06-08",16.370001
"221","2020-06-09",16.379999
"222","2020-06-10",16.42
"223","2020-06-11",13.93
"224","2020-06-12",16.360001
"225","2020-06-15",18.08
"226","2020-06-16",17.950001
"227","2020-06-17",17.790001
"228","2020-06-18",18.959999
"229","2020-06-19",19.83
"230","2020-06-22",19.4
"231","2020-06-23",19.51
"232","2020-06-24",19.209999
"233","2020-06-25",19.110001
"234","2020-06-26",18.85
"235","2020-06-29",17.549999
"236","2020-06-30",17.07
"237","2020-07-01",17.51
"238","2020-07-02",17.58
"239","2020-07-06",18.82
"240","2020-07-07",18.969999
"241","2020-07-08",19.26
"242","2020-07-09",19.1
"243","2020-07-10",19.030001
"244","2020-07-13",18.6
"245","2020-07-14",19.51
"246","2020-07-15",19.4
"247","2020-07-16",19.719999
"248","2020-07-17",20.940001
"249","2020-07-20",20.790001
"250","2020-07-21",20.51
"251","2020-07-22",21.84
"252","2020-07-23",22
"253","2020-07-24",22.299999
"254","2020-07-27",23.75
"255","2020-07-28",23.610001
"256","2020-07-29",23.74
"257","2020-07-30",24.450001
"258","2020-07-31",25.01
"259","2020-08-03",25.52
"260","2020-08-04",26.549999
"261","2020-08-05",27.5
"262","2020-08-06",27.66
"263","2020-08-07",27.73
"264","2020-08-10",28.59
"265","2020-08-11",26.860001
"266","2020-08-12",26.98
"267","2020-08-13",28.200001
"268","2020-08-14",24.290001
"269","2020-08-17",24.4
"270","2020-08-18",24.299999
"271","2020-08-19",24.16
"272","2020-08-20",23.35
"273","2020-08-21",23.76
"274","2020-08-24",23.540001
"275","2020-08-25",25.040001
"276","2020-08-26",24.200001
"277","2020-08-27",24.75
"278","2020-08-28",24.540001
"279","2020-08-31",23.719999
"280","2020-09-01",23.700001
"281","2020-09-02",23.82
"282","2020-09-03",22.35
"283","2020-09-04",21.440001
"284","2020-09-08",22.09
"285","2020-09-09",23.6
"286","2020-09-10",23.450001
"287","2020-09-11",23.26
"288","2020-09-14",24.98
"289","2020-09-15",26.42
"290","2020-09-16",26.219999
"291","2020-09-17",24.690001
"292","2020-09-18",25.139999
"293","2020-09-21",25.85
"294","2020-09-22",26.09
"295","2020-09-23",25.889999
"296","2020-09-24",25.459999
"297","2020-09-25",26.52
"298","2020-09-28",26.790001
"299","2020-09-29",26.93
"300","2020-09-30",30.41
"301","2020-10-01",30.110001
"302","2020-10-02",28.57
"303","2020-10-05",28.73
"304","2020-10-06",28.049999
"305","2020-10-07",28.99
"306","2020-10-08",28.02
"307","2020-10-09",29.360001
"308","2020-10-12",28.35
"309","2020-10-13",28.440001
"310","2020-10-14",29.639999
"311","2020-10-15",28.370001
"312","2020-10-16",29
"313","2020-10-19",29.969999
"314","2020-10-20",30.77
"315","2020-10-21",26.74
"316","2020-10-22",26.57
"317","2020-10-23",26.860001
"318","2020-10-26",25.93
"319","2020-10-27",26.25
"320","2020-10-28",26.540001
"321","2020-10-29",25.559999
"322","2020-10-30",24.059999
"323","2020-11-02",26.02
"324","2020-11-03",28.309999
"325","2020-11-04",28.719999
"326","2020-11-05",31.93
"327","2020-11-06",33.200001
"328","2020-11-09",32.439999
"329","2020-11-10",31.51
"330","2020-11-11",33.27
"331","2020-11-12",32.369999
"332","2020-11-13",32.66
"333","2020-11-16",34.099998
"334","2020-11-17",35.139999
"335","2020-11-18",32.900002
"336","2020-11-19",31.98
"337","2020-11-20",34.779999
"338","2020-11-23",38.209999
"339","2020-11-24",39.790001
"340","2020-11-25",42.560001
"341","2020-11-27",45
