"","date","CMBM"
"99","2019-11-13",7.12
"100","2019-11-14",6.92
"101","2019-11-15",7.17
"102","2019-11-18",7.15
"103","2019-11-19",7.1
"104","2019-11-20",6.98
"105","2019-11-21",6.87
"106","2019-11-22",6.66
"107","2019-11-25",7.21
"108","2019-11-26",6.7
"109","2019-11-27",7.13
"110","2019-11-29",7.25
"111","2019-12-02",7.35
"112","2019-12-03",7.01
"113","2019-12-04",6.77
"114","2019-12-05",6.61
"115","2019-12-06",5.98
"116","2019-12-09",6.01
"117","2019-12-10",5.98
"118","2019-12-11",5.77
"119","2019-12-12",6.11
"120","2019-12-13",6.21
"121","2019-12-16",6.17
"122","2019-12-17",6.33
"123","2019-12-18",6.34
"124","2019-12-19",6.48
"125","2019-12-20",6.91
"126","2019-12-23",7.71
"127","2019-12-24",8
"128","2019-12-26",7.76
"129","2019-12-27",7.85
"130","2019-12-30",7.86
"131","2019-12-31",8.74
"132","2020-01-02",9
"133","2020-01-03",8.81
"134","2020-01-06",8.83
"135","2020-01-07",8.93
"136","2020-01-08",9.11
"137","2020-01-09",8.91
"138","2020-01-10",9.16
"139","2020-01-13",9.07
"140","2020-01-14",9.04
"141","2020-01-15",8.98
"142","2020-01-16",8.81
"143","2020-01-17",8.54
"144","2020-01-21",8.53
"145","2020-01-22",8.41
"146","2020-01-23",8.44
"147","2020-01-24",8.14
"148","2020-01-27",8.05
"149","2020-01-28",7.78
"150","2020-01-29",7.26
"151","2020-01-30",6.74
"152","2020-01-31",6.91
"153","2020-02-03",7.02
"154","2020-02-04",7.22
"155","2020-02-05",7.16
"156","2020-02-06",7.28
"157","2020-02-07",7.08
"158","2020-02-10",7.15
"159","2020-02-11",6.65
"160","2020-02-12",6.2
"161","2020-02-13",6.26
"162","2020-02-14",6.17
"163","2020-02-18",6.26
"164","2020-02-19",6.41
"165","2020-02-20",6.44
"166","2020-02-21",6.52
"167","2020-02-24",6.28
"168","2020-02-25",6.2
"169","2020-02-26",6.13
"170","2020-02-27",6.18
"171","2020-02-28",6.25
"172","2020-03-02",6.13
"173","2020-03-03",6.04
"174","2020-03-04",6
"175","2020-03-05",5.86
"176","2020-03-06",5.68
"177","2020-03-09",5.17
"178","2020-03-10",4.86
"179","2020-03-11",4.66
"180","2020-03-12",4.24
"181","2020-03-13",4.5
"182","2020-03-16",3.91
"183","2020-03-17",4.48
"184","2020-03-18",4.53
"185","2020-03-19",5.28
"186","2020-03-20",5.1
"187","2020-03-23",5.36
"188","2020-03-24",5.45
"189","2020-03-25",5.01
"190","2020-03-26",5.26
"191","2020-03-27",5
"192","2020-03-30",5.05
"193","2020-03-31",5.6
"194","2020-04-01",4.97
"195","2020-04-02",5.24
"196","2020-04-03",6
"197","2020-04-06",6.27
"198","2020-04-07",6.01
"199","2020-04-08",6.15
"200","2020-04-09",5.92
"201","2020-04-13",5.82
"202","2020-04-14",5.92
"203","2020-04-15",5.85
"204","2020-04-16",5.71
"205","2020-04-17",5.69
"206","2020-04-20",5.68
"207","2020-04-21",5.37
"208","2020-04-22",5.8
"209","2020-04-23",5.62
"210","2020-04-24",5.57
"211","2020-04-27",5.88
"212","2020-04-28",5.6
"213","2020-04-29",6.05
"214","2020-04-30",5.73
"215","2020-05-01",5.27
"216","2020-05-04",5.26
"217","2020-05-05",5.16
"218","2020-05-06",5.36
"219","2020-05-07",5.18
"220","2020-05-08",5.59
"221","2020-05-11",5.5
"222","2020-05-12",5.13
"223","2020-05-13",4.52
"224","2020-05-14",4.27
"225","2020-05-15",4.11
"226","2020-05-18",4.61
"227","2020-05-19",4.27
"228","2020-05-20",4.15
"229","2020-05-21",4
"230","2020-05-22",4.05
"231","2020-05-26",4.14
"232","2020-05-27",4
"233","2020-05-28",4.26
"234","2020-05-29",4.38
"235","2020-06-01",4.44
"236","2020-06-02",5.49
"237","2020-06-03",5.15
"238","2020-06-04",5.41
"239","2020-06-05",5.64
"240","2020-06-08",5.65
"241","2020-06-09",5.55
"242","2020-06-10",5.8
"243","2020-06-11",5.55
"244","2020-06-12",5.81
"245","2020-06-15",5.93
"246","2020-06-16",6.25
"247","2020-06-17",6.9
"248","2020-06-18",7.03
"249","2020-06-19",7.01
"250","2020-06-22",7
"251","2020-06-23",6.98
"252","2020-06-24",6.87
"253","2020-06-25",6.8
"254","2020-06-26",6.88
"255","2020-06-29",7.14
"256","2020-06-30",7.36
"257","2020-07-01",6.89
"258","2020-07-02",7.65
"259","2020-07-06",7.91
"260","2020-07-07",7.52
"261","2020-07-08",9.04
"262","2020-07-09",9.49
"263","2020-07-10",10.68
"264","2020-07-13",10.44
"265","2020-07-14",10.82
"266","2020-07-15",10.63
"267","2020-07-16",10.99
"268","2020-07-17",11.25
"269","2020-07-20",11.97
"270","2020-07-21",11.5
"271","2020-07-22",12.24
"272","2020-07-23",12.42
"273","2020-07-24",12.62
"274","2020-07-27",12.79
"275","2020-07-28",11.59
"276","2020-07-29",12.09
"277","2020-07-30",12.15
"278","2020-07-31",12.1
"279","2020-08-03",12.61
"280","2020-08-04",12.39
"281","2020-08-05",12.38
"282","2020-08-06",12.38
"283","2020-08-07",11.79
"284","2020-08-10",12.29
"285","2020-08-11",11.97
"286","2020-08-12",12.84
"287","2020-08-13",12.85
"288","2020-08-14",12.88
"289","2020-08-17",15.59
"290","2020-08-18",13.41
"291","2020-08-19",13.72
"292","2020-08-20",13.22
"293","2020-08-21",14.45
"294","2020-08-24",15.18
"295","2020-08-25",14.72
"296","2020-08-26",14.04
"297","2020-08-27",12.49
"298","2020-08-28",13.29
"299","2020-08-31",13.05
"300","2020-09-01",14.17
"301","2020-09-02",13.93
"302","2020-09-03",12.98
"303","2020-09-04",13.04
"304","2020-09-08",13.83
"305","2020-09-09",13.81
"306","2020-09-10",13.79
"307","2020-09-11",13.95
"308","2020-09-14",15.35
"309","2020-09-15",16.66
"310","2020-09-16",15.88
"311","2020-09-17",16.440001
"312","2020-09-18",16.469999
"313","2020-09-21",18.129999
"314","2020-09-22",18.77
"315","2020-09-23",16.23
"316","2020-09-24",16.26
"317","2020-09-25",16.459999
"318","2020-09-28",16.709999
"319","2020-09-29",17.92
"320","2020-09-30",16.870001
"321","2020-10-01",17.24
"322","2020-10-02",16.719999
"323","2020-10-05",17.1
"324","2020-10-06",17.030001
"325","2020-10-07",17.280001
"326","2020-10-08",17.17
"327","2020-10-09",17.190001
"328","2020-10-12",16.68
"329","2020-10-13",17.870001
"330","2020-10-14",17.639999
"331","2020-10-15",19.08
"332","2020-10-16",22.23
"333","2020-10-19",22.889999
"334","2020-10-20",20.450001
"335","2020-10-21",23.575001
"336","2020-10-22",24.15
"337","2020-10-23",23.280001
"338","2020-10-26",21.85
"339","2020-10-27",22.190001
"340","2020-10-28",21.43
"341","2020-10-29",22.34
"342","2020-10-30",23.040001
"343","2020-11-02",21.299999
"344","2020-11-03",20.83
"345","2020-11-04",22.08
"346","2020-11-05",22.780001
"347","2020-11-06",25.325001
"348","2020-11-09",21.02
"349","2020-11-10",22.02
"350","2020-11-11",23.889999
"351","2020-11-12",22.799999
"352","2020-11-13",22.34
"353","2020-11-16",22.16
"354","2020-11-17",22.93
"355","2020-11-18",21.82
"356","2020-11-19",21.469999
"357","2020-11-20",22.360001
"358","2020-11-23",23.82
"359","2020-11-24",25.370001
"360","2020-11-25",27.83
"361","2020-11-27",26.959999
