"","date","TEAM"
"286","2017-01-27",27.76
"287","2017-01-30",27.610001
"288","2017-01-31",27.629999
"289","2017-02-01",28.02
"290","2017-02-02",28.139999
"291","2017-02-03",28.16
"292","2017-02-06",27.93
"293","2017-02-07",28
"294","2017-02-08",28.110001
"295","2017-02-09",28.26
"296","2017-02-10",28.639999
"297","2017-02-13",28.92
"298","2017-02-14",28.959999
"299","2017-02-15",29.620001
"300","2017-02-16",29.16
"301","2017-02-17",29.889999
"302","2017-02-21",30.049999
"303","2017-02-22",29.42
"304","2017-02-23",29.5
"305","2017-02-24",29.27
"306","2017-02-27",28.82
"307","2017-02-28",28.440001
"308","2017-03-01",28.93
"309","2017-03-02",28.6
"310","2017-03-03",28.790001
"311","2017-03-06",28.629999
"312","2017-03-07",28.549999
"313","2017-03-08",28.629999
"314","2017-03-09",28.540001
"315","2017-03-10",28.67
"316","2017-03-13",29.129999
"317","2017-03-14",28.92
"318","2017-03-15",29.030001
"319","2017-03-16",29.389999
"320","2017-03-17",29.66
"321","2017-03-20",29.450001
"322","2017-03-21",28.99
"323","2017-03-22",29.18
"324","2017-03-23",29.290001
"325","2017-03-24",29.43
"326","2017-03-27",29.59
"327","2017-03-28",29.809999
"328","2017-03-29",29.85
"329","2017-03-30",29.83
"330","2017-03-31",29.950001
"331","2017-04-03",29.74
"332","2017-04-04",29.91
"333","2017-04-05",30.110001
"334","2017-04-06",31.32
"335","2017-04-07",31.32
"336","2017-04-10",31.549999
"337","2017-04-11",31.219999
"338","2017-04-12",31.6
"339","2017-04-13",31.23
"340","2017-04-17",31.49
"341","2017-04-18",31.59
"342","2017-04-19",31.83
"343","2017-04-20",31.27
"344","2017-04-21",31.540001
"345","2017-04-24",32.02
"346","2017-04-25",32.57
"347","2017-04-26",32.82
"348","2017-04-27",33.470001
"349","2017-04-28",34.48
"350","2017-05-01",34.720001
"351","2017-05-02",34.939999
"352","2017-05-03",35.279999
"353","2017-05-04",36.529999
"354","2017-05-05",36.810001
"355","2017-05-08",36.82
"356","2017-05-09",36.84
"357","2017-05-10",37.18
"358","2017-05-11",36.93
"359","2017-05-12",36.84
"360","2017-05-15",37.060001
"361","2017-05-16",36.900002
"362","2017-05-17",35.400002
"363","2017-05-18",35.34
"364","2017-05-19",35.25
"365","2017-05-22",35.560001
"366","2017-05-23",35.43
"367","2017-05-24",35.900002
"368","2017-05-25",35.950001
"369","2017-05-26",35.580002
"370","2017-05-30",35.599998
"371","2017-05-31",35.759998
"372","2017-06-01",36.509998
"373","2017-06-02",36.740002
"374","2017-06-05",36.860001
"375","2017-06-06",37.709999
"376","2017-06-07",36.869999
"377","2017-06-08",37.209999
"378","2017-06-09",34.619999
"379","2017-06-12",34.57
"380","2017-06-13",34.630001
"381","2017-06-14",34.630001
"382","2017-06-15",34.639999
"383","2017-06-16",34.790001
"384","2017-06-19",34.849998
