"","date","HWC"
"380","2008-07-07",36.310001
"381","2008-07-08",39.509998
"382","2008-07-09",38.27
"383","2008-07-10",38.84
"384","2008-07-11",39.07
"385","2008-07-14",35.099998
"386","2008-07-15",34.48
"387","2008-07-16",38.869999
"388","2008-07-17",41.689999
"389","2008-07-18",41.18
"390","2008-07-21",40.400002
"391","2008-07-22",40.919998
"392","2008-07-23",44.77
"393","2008-07-24",43.650002
"394","2008-07-25",44.43
"395","2008-07-28",43.889999
"396","2008-07-29",45.59
"397","2008-07-30",45.060001
"398","2008-07-31",44.889999
"399","2008-08-01",45.369999
"400","2008-08-04",45.119999
"401","2008-08-05",46.310001
"402","2008-08-06",45.860001
"403","2008-08-07",44.630001
"404","2008-08-08",46.110001
"405","2008-08-11",47.779999
"406","2008-08-12",47.73
"407","2008-08-13",47.5
"408","2008-08-14",47.82
"409","2008-08-15",48.75
"410","2008-08-18",47.82
"411","2008-08-19",47.150002
"412","2008-08-20",47.23
"413","2008-08-21",46.400002
"414","2008-08-22",47.639999
"415","2008-08-25",46.18
"416","2008-08-26",46.84
"417","2008-08-27",47.43
"418","2008-08-28",48.720001
"419","2008-08-29",49.049999
"420","2008-09-02",50.07
"421","2008-09-03",49.860001
"422","2008-09-04",47.380001
"423","2008-09-05",49.169998
"424","2008-09-08",51.950001
"425","2008-09-09",49.619999
"426","2008-09-10",49.889999
"427","2008-09-11",50.75
"428","2008-09-12",51.630001
"429","2008-09-15",51.139999
"430","2008-09-16",53.389999
"431","2008-09-17",49.630001
"432","2008-09-18",57.110001
"433","2008-09-19",57.990002
"434","2008-09-22",50.82
"435","2008-09-23",51.080002
"436","2008-09-24",50.200001
"437","2008-09-25",51.779999
"438","2008-09-26",51.919998
"439","2008-09-29",50.720001
"440","2008-09-30",51
"441","2008-10-01",56.450001
"442","2008-10-02",54.02
"443","2008-10-03",50.119999
"444","2008-10-06",48.639999
"445","2008-10-07",46.209999
"446","2008-10-08",48.700001
"447","2008-10-09",43.41
"448","2008-10-10",48.16
"449","2008-10-13",49.73
"450","2008-10-14",48.049999
"451","2008-10-15",45.049999
"452","2008-10-16",49.599998
"453","2008-10-17",47.299999
"454","2008-10-20",48.740002
"455","2008-10-21",53.990002
"456","2008-10-22",44.32
"457","2008-10-23",43.25
"458","2008-10-24",42.299999
"459","2008-10-27",41.52
"460","2008-10-28",41.939999
"461","2008-10-29",40.57
"462","2008-10-30",41.880001
"463","2008-10-31",44.16
"464","2008-11-03",44.580002
"465","2008-11-04",47.16
"466","2008-11-05",42.790001
"467","2008-11-06",41.990002
"468","2008-11-07",42.189999
"469","2008-11-10",42.009998
"470","2008-11-11",42.009998
