"","date","COLM"
"560","2009-03-24",15.11
"561","2009-03-25",15.295
"562","2009-03-26",15.61
"563","2009-03-27",15.14
"564","2009-03-30",14.995
"565","2009-03-31",14.96
"566","2009-04-01",15.265
"567","2009-04-02",16.405001
"568","2009-04-03",16.52
"569","2009-04-06",16.110001
"570","2009-04-07",15.635
"571","2009-04-08",15.955
"572","2009-04-09",16.67
"573","2009-04-13",16.959999
"574","2009-04-14",16.754999
"575","2009-04-15",16.77
"576","2009-04-16",17.014999
"577","2009-04-17",17.315001
"578","2009-04-20",16.895
"579","2009-04-21",17.08
"580","2009-04-22",18.025
"581","2009-04-23",18.764999
"582","2009-04-24",15.695
"583","2009-04-27",15.625
"584","2009-04-28",15.545
"585","2009-04-29",15.6
"586","2009-04-30",15.36
"587","2009-05-01",15.18
"588","2009-05-04",15.68
"589","2009-05-05",15.94
"590","2009-05-06",15.64
"591","2009-05-07",15.625
"592","2009-05-08",15.63
"593","2009-05-11",15.48
"594","2009-05-12",15.645
"595","2009-05-13",14.95
"596","2009-05-14",15.3
"597","2009-05-15",15.51
"598","2009-05-18",15.595
"599","2009-05-19",15.57
"600","2009-05-20",15.4
"601","2009-05-21",15.23
"602","2009-05-22",15.055
"603","2009-05-26",15.98
"604","2009-05-27",15.735
"605","2009-05-28",15.665
"606","2009-05-29",15.855
"607","2009-06-01",16.665001
"608","2009-06-02",16.700001
"609","2009-06-03",16.549999
"610","2009-06-04",16.549999
"611","2009-06-05",16.545
"612","2009-06-08",16.59
"613","2009-06-09",16.65
"614","2009-06-10",16.530001
"615","2009-06-11",16.395
"616","2009-06-12",16.18
"617","2009-06-15",16.15
"618","2009-06-16",16.004999
"619","2009-06-17",15.785
"620","2009-06-18",15.9
"621","2009-06-19",16.084999
"622","2009-06-22",15.475
"623","2009-06-23",15.515
"624","2009-06-24",15.49
"625","2009-06-25",15.92
"626","2009-06-26",15.675
"627","2009-06-29",15.41
"628","2009-06-30",15.46
"629","2009-07-01",15.7
"630","2009-07-02",15.395
"631","2009-07-06",15.165
"632","2009-07-07",15.025
"633","2009-07-08",15.15
"634","2009-07-09",15.05
"635","2009-07-10",15.1
"636","2009-07-13",15.385
"637","2009-07-14",15.64
"638","2009-07-15",16.485001
"639","2009-07-16",16.719999
"640","2009-07-17",16.415001
"641","2009-07-20",16.495001
"642","2009-07-21",16.245001
"643","2009-07-22",16.525
"644","2009-07-23",17.635
"645","2009-07-24",17.815001
"646","2009-07-27",17.795
"647","2009-07-28",17.83
"648","2009-07-29",18.549999
"649","2009-07-30",17.965
"650","2009-07-31",17.705
"651","2009-08-03",17.965
"652","2009-08-04",18.105
"653","2009-08-05",18.07
"654","2009-08-06",17.940001
"655","2009-08-07",18.075001
"656","2009-08-10",17.715
"657","2009-08-11",17.445
"658","2009-08-12",18.094999
"659","2009-08-13",18.1
"660","2009-08-14",18.48
"661","2009-08-17",17.834999
"662","2009-08-18",17.965
"663","2009-08-19",17.959999
"664","2009-08-20",18.205
"665","2009-08-21",18.495001
"666","2009-08-24",18.405001
"667","2009-08-25",18.725
"668","2009-08-26",19.215
"669","2009-08-27",20.105
"670","2009-08-28",19.969999
"671","2009-08-31",19.655001
"672","2009-09-01",19.235001
"673","2009-09-02",19.01
"674","2009-09-03",19.395
"675","2009-09-04",19.625
"676","2009-09-08",19.705
"677","2009-09-09",20.5
"678","2009-09-10",20.215
"679","2009-09-11",20.42
"680","2009-09-14",20.875
"681","2009-09-15",21.014999
"682","2009-09-16",21.434999
"683","2009-09-17",21.045
"684","2009-09-18",20.955
"685","2009-09-21",21
"686","2009-09-22",20.844999
"687","2009-09-23",20.725
"688","2009-09-24",20.684999
"689","2009-09-25",20.334999
"690","2009-09-28",20.615
"691","2009-09-29",20.48
"692","2009-09-30",20.58
"693","2009-10-01",19.885
"694","2009-10-02",19.620001
"695","2009-10-05",19.885
"696","2009-10-06",20.200001
"697","2009-10-07",20.205
"698","2009-10-08",20.605
"699","2009-10-09",20.785
"700","2009-10-12",21.09
"701","2009-10-13",21.09
"702","2009-10-14",21.360001
"703","2009-10-15",21.725
"704","2009-10-16",22.18
"705","2009-10-19",22.5
"706","2009-10-20",22.440001
"707","2009-10-21",22.065001
"708","2009-10-22",22.405001
"709","2009-10-23",21.084999
"710","2009-10-26",20.215
"711","2009-10-27",19.4
"712","2009-10-28",18.799999
"713","2009-10-29",19.219999
"714","2009-10-30",19.025
"715","2009-11-02",18.93
"716","2009-11-03",19.08
"717","2009-11-04",18.945
"718","2009-11-05",19.455
"719","2009-11-06",19.43
"720","2009-11-09",19.73
"721","2009-11-10",19.275
"722","2009-11-11",20.32
"723","2009-11-12",19.66
"724","2009-11-13",19.690001
"725","2009-11-16",20.129999
"726","2009-11-17",19.895
"727","2009-11-18",19.799999
"728","2009-11-19",19.625
"729","2009-11-20",19.225
"730","2009-11-23",19.41
"731","2009-11-24",19.045
"732","2009-11-25",19.065001
"733","2009-11-27",18.889999
"734","2009-11-30",19.209999
"735","2009-12-01",19.535
"736","2009-12-02",19.67
"737","2009-12-03",19.200001
"738","2009-12-04",19.51
"739","2009-12-07",19.405001
"740","2009-12-08",19.370001
"741","2009-12-09",19.344999
"742","2009-12-10",19.370001
"743","2009-12-11",19.905001
"744","2009-12-14",19.969999
"745","2009-12-15",19.805
"746","2009-12-16",20.165001
"747","2009-12-17",19.57
"748","2009-12-18",19.42
"749","2009-12-21",19.25
"750","2009-12-22",19.48
"751","2009-12-23",19.455
"752","2009-12-24",19.584999
"753","2009-12-28",19.360001
"754","2009-12-29",19.370001
"755","2009-12-30",19.445
"756","2009-12-31",19.52
"757","2010-01-04",19.625
"758","2010-01-05",19.610001
"759","2010-01-06",20.25
"760","2010-01-07",20.584999
"761","2010-01-08",20.450001
"762","2010-01-11",20.440001
"763","2010-01-12",20.385
"764","2010-01-13",20.59
"765","2010-01-14",20.635
"766","2010-01-15",21.475
"767","2010-01-19",21.360001
"768","2010-01-20",20.915001
"769","2010-01-21",20.615
"770","2010-01-22",20.440001
"771","2010-01-25",20.16
"772","2010-01-26",20.200001
"773","2010-01-27",20.940001
"774","2010-01-28",20.235001
"775","2010-01-29",20.690001
"776","2010-02-01",21.855
"777","2010-02-02",21.809999
"778","2010-02-03",21.969999
"779","2010-02-04",21.43
"780","2010-02-05",21.49
"781","2010-02-08",21.43
"782","2010-02-09",21.629999
"783","2010-02-10",21.555
"784","2010-02-11",21.98
"785","2010-02-12",22.09
"786","2010-02-16",22.129999
"787","2010-02-17",22.355
"788","2010-02-18",22.6
"789","2010-02-19",22.764999
"790","2010-02-22",22.965
"791","2010-02-23",22.73
"792","2010-02-24",22.785
"793","2010-02-25",23
"794","2010-02-26",22.92
"795","2010-03-01",23.15
"796","2010-03-02",23.23
"797","2010-03-03",23.08
"798","2010-03-04",23.115
"799","2010-03-05",23.485001
"800","2010-03-08",23.559999
"801","2010-03-09",23.77
"802","2010-03-10",23.945
"803","2010-03-11",24.309999
"804","2010-03-12",24.34
"805","2010-03-15",25.094999
"806","2010-03-16",25.92
"807","2010-03-17",26.17
"808","2010-03-18",26.115
"809","2010-03-19",26.045
"810","2010-03-22",26.465
"811","2010-03-23",26.67
"812","2010-03-24",26.385
"813","2010-03-25",26.379999
"814","2010-03-26",26.709999
"815","2010-03-29",26.84
"816","2010-03-30",26.514999
"817","2010-03-31",26.264999
"818","2010-04-01",26.855
"819","2010-04-05",27.184999
"820","2010-04-06",27.379999
"821","2010-04-07",27.370001
"822","2010-04-08",26.855
"823","2010-04-09",28.285
"824","2010-04-12",28.24
"825","2010-04-13",28.200001
"826","2010-04-14",28.290001
"827","2010-04-15",28.315001
"828","2010-04-16",28.764999
"829","2010-04-19",28.91
"830","2010-04-20",28.945
"831","2010-04-21",28.965
"832","2010-04-22",29.594999
"833","2010-04-23",30.045
"834","2010-04-26",29.84
"835","2010-04-27",28.690001
"836","2010-04-28",28.565001
"837","2010-04-29",28.700001
"838","2010-04-30",27.780001
"839","2010-05-03",28.205
"840","2010-05-04",28.014999
"841","2010-05-05",27.205
"842","2010-05-06",26.540001
"843","2010-05-07",25.879999
"844","2010-05-10",26.934999
"845","2010-05-11",27.43
"846","2010-05-12",27.32
"847","2010-05-13",26.934999
"848","2010-05-14",26.094999
"849","2010-05-17",26.1
"850","2010-05-18",25.455
"851","2010-05-19",24.99
"852","2010-05-20",24.52
"853","2010-05-21",25.025
"854","2010-05-24",25
"855","2010-05-25",24.690001
"856","2010-05-26",24.969999
"857","2010-05-27",25.934999
"858","2010-05-28",25.59
"859","2010-06-01",25.18
"860","2010-06-02",25.67
"861","2010-06-03",26.059999
"862","2010-06-04",24.855
"863","2010-06-07",24.264999
"864","2010-06-08",24.25
"865","2010-06-09",24.469999
"866","2010-06-10",25.389999
"867","2010-06-11",25.629999
"868","2010-06-14",25.790001
"869","2010-06-15",26.455
"870","2010-06-16",26.115
"871","2010-06-17",26.014999
"872","2010-06-18",25.98
"873","2010-06-21",25.565001
"874","2010-06-22",24.73
"875","2010-06-23",25.07
"876","2010-06-24",24.309999
"877","2010-06-25",24.424999
"878","2010-06-28",24.415001
"879","2010-06-29",23.455
"880","2010-06-30",23.334999
"881","2010-07-01",23.035
"882","2010-07-02",22.955
"883","2010-07-06",22.215
"884","2010-07-07",22.84
"885","2010-07-08",23.125
"886","2010-07-09",23.32
"887","2010-07-12",22.915001
"888","2010-07-13",23.809999
"889","2010-07-14",23.49
"890","2010-07-15",23.325001
"891","2010-07-16",22.5
"892","2010-07-19",22.219999
"893","2010-07-20",23.004999
"894","2010-07-21",23.129999
"895","2010-07-22",24.110001
"896","2010-07-23",24.674999
"897","2010-07-26",24.85
"898","2010-07-27",24.375
"899","2010-07-28",24.049999
"900","2010-07-29",24.08
"901","2010-07-30",24.504999
"902","2010-08-02",24.950001
"903","2010-08-03",24.575001
"904","2010-08-04",25.375
"905","2010-08-05",25.200001
"906","2010-08-06",25.25
"907","2010-08-09",25.325001
"908","2010-08-10",25.4
"909","2010-08-11",24.790001
"910","2010-08-12",24.545
"911","2010-08-13",23.924999
"912","2010-08-16",24.110001
"913","2010-08-17",24.370001
"914","2010-08-18",24.65
"915","2010-08-19",24.315001
"916","2010-08-20",24.375
"917","2010-08-23",24.055
"918","2010-08-24",23.59
"919","2010-08-25",24.110001
"920","2010-08-26",23.555
"921","2010-08-27",24.115
"922","2010-08-30",23.52
"923","2010-08-31",23.305
"924","2010-09-01",24.465
"925","2010-09-02",25.865
"926","2010-09-03",26.280001
"927","2010-09-07",25.549999
"928","2010-09-08",25.690001
"929","2010-09-09",25.625
"930","2010-09-10",25.934999
"931","2010-09-13",26.65
"932","2010-09-14",27.5
"933","2010-09-15",27.655001
"934","2010-09-16",27.844999
"935","2010-09-17",28.355
"936","2010-09-20",28.610001
"937","2010-09-21",28.445
"938","2010-09-22",28.325001
"939","2010-09-23",28.440001
"940","2010-09-24",28.594999
"941","2010-09-27",28.754999
"942","2010-09-28",29.43
"943","2010-09-29",29.24
"944","2010-09-30",29.219999
"945","2010-10-01",29.155001
"946","2010-10-04",28.92
"947","2010-10-05",29.535
"948","2010-10-06",29.5
"949","2010-10-07",29.51
"950","2010-10-08",30.105
"951","2010-10-11",30.309999
"952","2010-10-12",30.280001
"953","2010-10-13",30.040001
"954","2010-10-14",29
"955","2010-10-15",28.885
"956","2010-10-18",28.98
"957","2010-10-19",28.424999
"958","2010-10-20",28.645
"959","2010-10-21",28.754999
"960","2010-10-22",26.264999
"961","2010-10-25",25.940001
"962","2010-10-26",25.805
"963","2010-10-27",26.245001
"964","2010-10-28",26.07
"965","2010-10-29",26.125
"966","2010-11-01",26.07
"967","2010-11-02",26.18
"968","2010-11-03",26.32
"969","2010-11-04",26.74
"970","2010-11-05",27.08
