"","date","ANPC"
"72","2020-05-13",8
"73","2020-05-14",8
"74","2020-05-15",8
"75","2020-05-18",7.92
"76","2020-05-19",7.54
"77","2020-05-20",7.9
"78","2020-05-21",7.73
"79","2020-05-22",7.7
"80","2020-05-26",7.7
"81","2020-05-27",7.6
"82","2020-05-28",7.6
"83","2020-05-29",7.7
"84","2020-06-01",7.7
"85","2020-06-02",7.6
"86","2020-06-03",7.6
"87","2020-06-04",7.5
"88","2020-06-05",7.4
"89","2020-06-08",7.2
"90","2020-06-09",7.24
"91","2020-06-10",7.24
"92","2020-06-11",6.92
"93","2020-06-12",7.05
"94","2020-06-15",7
"95","2020-06-16",6.9
"96","2020-06-17",7.2
"97","2020-06-18",6.82
"98","2020-06-19",7.425
"99","2020-06-22",7
"100","2020-06-23",7.07
"101","2020-06-24",6.81
"102","2020-06-25",6.27
"103","2020-06-26",6.01
"104","2020-06-29",5.09
"105","2020-06-30",5.14
"106","2020-07-01",5.88
"107","2020-07-02",6.165
"108","2020-07-06",6.76
"109","2020-07-07",6.12
"110","2020-07-08",6.25
"111","2020-07-09",5.76
"112","2020-07-10",5.34
"113","2020-07-13",5.2
"114","2020-07-14",5.215
"115","2020-07-15",5.37
"116","2020-07-16",5.45
"117","2020-07-17",5.75
"118","2020-07-20",5.622
"119","2020-07-21",5.7
"120","2020-07-22",5.22
"121","2020-07-23",5.22
"122","2020-07-24",5.17
"123","2020-07-27",5.51
"124","2020-07-28",5.6
"125","2020-07-29",7.18
"126","2020-07-30",5.9
"127","2020-07-31",6.35
"128","2020-08-03",5.9
"129","2020-08-04",6.07
"130","2020-08-05",5.59
"131","2020-08-06",5.49
"132","2020-08-07",7.6
"133","2020-08-10",8
"134","2020-08-11",7.37
"135","2020-08-12",6.85
"136","2020-08-13",7.05
"137","2020-08-14",7.24
"138","2020-08-17",6.92
"139","2020-08-18",6.75
"140","2020-08-19",6.33
"141","2020-08-20",6.35
"142","2020-08-21",5.97
"143","2020-08-24",5.87
"144","2020-08-25",5.75
"145","2020-08-26",5.785
"146","2020-08-27",5.56
"147","2020-08-28",5.27
"148","2020-08-31",5.43
"149","2020-09-01",5.332
"150","2020-09-02",5.144
"151","2020-09-03",4.803
"152","2020-09-04",5.15
"153","2020-09-08",4.69
"154","2020-09-09",4.8
"155","2020-09-10",4.38
"156","2020-09-11",4.54
"157","2020-09-14",4.67
"158","2020-09-15",4.88
"159","2020-09-16",4.9
"160","2020-09-17",5.195
"161","2020-09-18",4.84
"162","2020-09-21",4.76
"163","2020-09-22",4.885
"164","2020-09-23",4.68
"165","2020-09-24",4.46
"166","2020-09-25",4.2
"167","2020-09-28",3.875
"168","2020-09-29",3.95
"169","2020-09-30",3.74
"170","2020-10-01",3.9
"171","2020-10-02",3.85
"172","2020-10-05",3.41
"173","2020-10-06",3.808
"174","2020-10-07",3.73
"175","2020-10-08",3.88
"176","2020-10-09",3.854
"177","2020-10-12",3.7
"178","2020-10-13",3.58
"179","2020-10-14",3.52
"180","2020-10-15",3.52
"181","2020-10-16",3.5
"182","2020-10-19",3.48
"183","2020-10-20",3.42
"184","2020-10-21",3.38
"185","2020-10-22",3.5
"186","2020-10-23",3.59
"187","2020-10-26",3.47
"188","2020-10-27",3.56
"189","2020-10-28",3.478
"190","2020-10-29",3.36
"191","2020-10-30",3.208
"192","2020-11-02",3.92
"193","2020-11-03",4.21
"194","2020-11-04",4.08
"195","2020-11-05",3.94
"196","2020-11-06",3.795
"197","2020-11-09",3.56
"198","2020-11-10",3.61
"199","2020-11-11",3.54
"200","2020-11-12",3.54
"201","2020-11-13",3.47
"202","2020-11-16",3.48
"203","2020-11-17",3.41
"204","2020-11-18",3.27
"205","2020-11-19",3.25
"206","2020-11-20",3.4
"207","2020-11-23",3.49
"208","2020-11-24",3.5
"209","2020-11-25",7.14
"210","2020-11-27",6.2
