"","date","EIGI"
"441","2015-07-28",20.610001
"442","2015-07-29",20.34
"443","2015-07-30",20.120001
"444","2015-07-31",20.209999
"445","2015-08-03",20.530001
"446","2015-08-04",18.120001
"447","2015-08-05",17.34
"448","2015-08-06",16.84
"449","2015-08-07",16.99
"450","2015-08-10",17.1
"451","2015-08-11",16.83
"452","2015-08-12",16.809999
"453","2015-08-13",16.51
"454","2015-08-14",16.42
"455","2015-08-17",16.280001
"456","2015-08-18",15.97
"457","2015-08-19",15.8
"458","2015-08-20",15.49
"459","2015-08-21",15.18
"460","2015-08-24",14.83
"461","2015-08-25",15.3
"462","2015-08-26",15.2
"463","2015-08-27",15.54
"464","2015-08-28",15.55
"465","2015-08-31",15.29
"466","2015-09-01",14.74
"467","2015-09-02",14.97
"468","2015-09-03",15.12
"469","2015-09-04",14.8
"470","2015-09-08",14.9
"471","2015-09-09",14.67
"472","2015-09-10",15
"473","2015-09-11",14.87
"474","2015-09-14",14.74
"475","2015-09-15",14.82
"476","2015-09-16",14.89
"477","2015-09-17",15.03
"478","2015-09-18",14.96
"479","2015-09-21",14.02
"480","2015-09-22",13.56
"481","2015-09-23",13.28
"482","2015-09-24",13.03
"483","2015-09-25",12.8
"484","2015-09-28",12.43
"485","2015-09-29",12.49
"486","2015-09-30",13.36
"487","2015-10-01",13.01
"488","2015-10-02",13.83
"489","2015-10-05",14.34
"490","2015-10-06",14.57
"491","2015-10-07",14.89
"492","2015-10-08",14.79
"493","2015-10-09",14.89
"494","2015-10-12",14.42
"495","2015-10-13",14.47
"496","2015-10-14",14.49
"497","2015-10-15",14.98
"498","2015-10-16",14.85
"499","2015-10-19",14.87
"500","2015-10-20",14.85
"501","2015-10-21",14.72
"502","2015-10-22",15.09
"503","2015-10-23",15.22
"504","2015-10-26",14.7
"505","2015-10-27",14.19
"506","2015-10-28",14.3
"507","2015-10-29",13.99
"508","2015-10-30",13.33
"509","2015-11-02",11.12
"510","2015-11-03",11.85
"511","2015-11-04",12.01
"512","2015-11-05",12.59
"513","2015-11-06",13.46
"514","2015-11-09",13.45
"515","2015-11-10",13.52
"516","2015-11-11",13.79
"517","2015-11-12",13.67
"518","2015-11-13",13.39
"519","2015-11-16",13.53
"520","2015-11-17",13.5
"521","2015-11-18",13.9
"522","2015-11-19",13.93
"523","2015-11-20",14.1
"524","2015-11-23",13.85
"525","2015-11-24",13.71
"526","2015-11-25",14.26
"527","2015-11-27",14.21
"528","2015-11-30",13.97
"529","2015-12-01",13.91
"530","2015-12-02",13.98
"531","2015-12-03",13.75
"532","2015-12-04",14.05
"533","2015-12-07",13.6
"534","2015-12-08",13.6
"535","2015-12-09",13.68
"536","2015-12-10",13.89
"537","2015-12-11",12.77
"538","2015-12-14",12.93
"539","2015-12-15",12.81
"540","2015-12-16",13.01
"541","2015-12-17",11.205
"542","2015-12-18",11.12
"543","2015-12-21",10.89
"544","2015-12-22",11.19
"545","2015-12-23",11.46
"546","2015-12-24",11.57
"547","2015-12-28",11.05
"548","2015-12-29",11.13
"549","2015-12-30",11.09
"550","2015-12-31",10.93
"551","2016-01-04",10.63
"552","2016-01-05",10.28
"553","2016-01-06",10.15
"554","2016-01-07",9.95
"555","2016-01-08",9.86
"556","2016-01-11",9.89
"557","2016-01-12",9.63
"558","2016-01-13",10.07
"559","2016-01-14",10.27
"560","2016-01-15",10.02
"561","2016-01-19",9.7
"562","2016-01-20",9.255
"563","2016-01-21",9.44
"564","2016-01-22",9.66
"565","2016-01-25",9.35
"566","2016-01-26",9.45
"567","2016-01-27",9.11
"568","2016-01-28",9
"569","2016-01-29",9.18
"570","2016-02-01",9.55
"571","2016-02-02",8.68
"572","2016-02-03",8.55
"573","2016-02-04",8.78
"574","2016-02-05",8.45
"575","2016-02-08",8.18
"576","2016-02-09",7.69
"577","2016-02-10",7.64
"578","2016-02-11",7.96
"579","2016-02-12",8.09
"580","2016-02-16",8.4
"581","2016-02-17",9.37
"582","2016-02-18",10.28
"583","2016-02-19",10.14
"584","2016-02-22",10.68
"585","2016-02-23",10.63
"586","2016-02-24",10.73
"587","2016-02-25",10.75
"588","2016-02-26",11.23
"589","2016-02-29",11.24
"590","2016-03-01",11.18
"591","2016-03-02",11.54
"592","2016-03-03",11.49
"593","2016-03-04",11.28
"594","2016-03-07",11.35
"595","2016-03-08",10.63
"596","2016-03-09",10.41
"597","2016-03-10",10.32
"598","2016-03-11",10.58
"599","2016-03-14",10.66
"600","2016-03-15",9.88
"601","2016-03-16",10.06
"602","2016-03-17",10.43
"603","2016-03-18",10.37
"604","2016-03-21",10.31
"605","2016-03-22",10.23
"606","2016-03-23",10.01
"607","2016-03-24",9.94
"608","2016-03-28",9.55
"609","2016-03-29",10
"610","2016-03-30",10.29
"611","2016-03-31",10.53
"612","2016-04-01",10.53
"613","2016-04-04",11.26
"614","2016-04-05",10.52
"615","2016-04-06",10.63
"616","2016-04-07",10.45
"617","2016-04-08",10.49
"618","2016-04-11",10.27
"619","2016-04-12",10.18
"620","2016-04-13",10.76
"621","2016-04-14",10.89
"622","2016-04-15",10.68
"623","2016-04-18",10.75
"624","2016-04-19",10.59
"625","2016-04-20",10.72
"626","2016-04-21",10.69
"627","2016-04-22",10.59
"628","2016-04-25",10.5
"629","2016-04-26",10.62
"630","2016-04-27",10.84
"631","2016-04-28",11.1
"632","2016-04-29",10.71
"633","2016-05-02",10.73
"634","2016-05-03",10.72
"635","2016-05-04",9.1
"636","2016-05-05",9.67
"637","2016-05-06",9.14
"638","2016-05-09",9
"639","2016-05-10",9.03
"640","2016-05-11",8.83
"641","2016-05-12",8.8
"642","2016-05-13",8.7
"643","2016-05-16",8.935
"644","2016-05-17",8.76
"645","2016-05-18",8.68
"646","2016-05-19",8.86
"647","2016-05-20",8.96
"648","2016-05-23",9.01
"649","2016-05-24",9.24
"650","2016-05-25",9.3
"651","2016-05-26",9.23
"652","2016-05-27",9.37
"653","2016-05-31",9.42
"654","2016-06-01",9.48
"655","2016-06-02",9.52
"656","2016-06-03",9.3
"657","2016-06-06",9.48
"658","2016-06-07",9.32
"659","2016-06-08",9.37
"660","2016-06-09",9.21
"661","2016-06-10",9
"662","2016-06-13",8.85
"663","2016-06-14",8.93
"664","2016-06-15",8.91
"665","2016-06-16",8.76
"666","2016-06-17",8.71
"667","2016-06-20",8.84
"668","2016-06-21",8.88
"669","2016-06-22",8.92
"670","2016-06-23",9.23
"671","2016-06-24",8.8
"672","2016-06-27",8.56
"673","2016-06-28",8.52
"674","2016-06-29",8.83
"675","2016-06-30",8.99
"676","2016-07-01",8.99
"677","2016-07-05",8.76
"678","2016-07-06",8.72
"679","2016-07-07",8.72
"680","2016-07-08",8.98
"681","2016-07-11",9.01
"682","2016-07-12",9.03
"683","2016-07-13",8.98
"684","2016-07-14",8.74
"685","2016-07-15",8.72
"686","2016-07-18",8.74
"687","2016-07-19",8.77
"688","2016-07-20",8.86
"689","2016-07-21",8.74
"690","2016-07-22",8.81
"691","2016-07-25",8.96
"692","2016-07-26",9.24
"693","2016-07-27",9.11
"694","2016-07-28",9.03
"695","2016-07-29",8.98
"696","2016-08-01",9
"697","2016-08-02",6.9
"698","2016-08-03",6.715
"699","2016-08-04",6.77
"700","2016-08-05",6.85
"701","2016-08-08",7.09
"702","2016-08-09",7.71
"703","2016-08-10",7.57
"704","2016-08-11",7.72
"705","2016-08-12",7.85
"706","2016-08-15",7.81
"707","2016-08-16",7.66
"708","2016-08-17",7.72
"709","2016-08-18",7.66
"710","2016-08-19",7.78
"711","2016-08-22",7.96
"712","2016-08-23",8.07
"713","2016-08-24",7.99
"714","2016-08-25",7.94
"715","2016-08-26",7.89
"716","2016-08-29",7.77
"717","2016-08-30",7.92
"718","2016-08-31",7.95
"719","2016-09-01",7.97
"720","2016-09-02",8.11
"721","2016-09-06",8.19
"722","2016-09-07",8.35
"723","2016-09-08",8.36
"724","2016-09-09",8.12
"725","2016-09-12",8.3
"726","2016-09-13",8.25
"727","2016-09-14",8.4
"728","2016-09-15",8.65
"729","2016-09-16",8.33
"730","2016-09-19",8.72
"731","2016-09-20",8.79
"732","2016-09-21",8.54
"733","2016-09-22",8.59
"734","2016-09-23",8.51
"735","2016-09-26",8.58
"736","2016-09-27",9
"737","2016-09-28",9.09
"738","2016-09-29",8.79
"739","2016-09-30",8.75
"740","2016-10-03",8.74
"741","2016-10-04",8.76
"742","2016-10-05",9.02
"743","2016-10-06",8.86
"744","2016-10-07",8.68
"745","2016-10-10",8.76
"746","2016-10-11",8.33
"747","2016-10-12",8.31
"748","2016-10-13",8.22
"749","2016-10-14",7.88
"750","2016-10-17",7.85
"751","2016-10-18",8
"752","2016-10-19",8
"753","2016-10-20",7.75
"754","2016-10-21",7.75
"755","2016-10-24",8.05
"756","2016-10-25",8
"757","2016-10-26",7.75
"758","2016-10-27",7.6
"759","2016-10-28",7.7
"760","2016-10-31",7.35
"761","2016-11-01",7.45
"762","2016-11-02",7.2
"763","2016-11-03",6.9
"764","2016-11-04",6.9
"765","2016-11-07",6.9
"766","2016-11-08",6.85
"767","2016-11-09",6.95
"768","2016-11-10",6.75
"769","2016-11-11",7.25
"770","2016-11-14",7
"771","2016-11-15",7.1
"772","2016-11-16",7.25
"773","2016-11-17",7.05
"774","2016-11-18",7.5
"775","2016-11-21",7.7
"776","2016-11-22",8
"777","2016-11-23",8.25
"778","2016-11-25",8.25
"779","2016-11-28",8.05
"780","2016-11-29",7.85
"781","2016-11-30",7.95
"782","2016-12-01",7.65
"783","2016-12-02",7.4
"784","2016-12-05",7.75
"785","2016-12-06",8.05
"786","2016-12-07",8.15
"787","2016-12-08",8.75
"788","2016-12-09",8.75
"789","2016-12-12",8.45
"790","2016-12-13",8.7
"791","2016-12-14",8.75
"792","2016-12-15",8.9
"793","2016-12-16",9.35
"794","2016-12-19",9.4
"795","2016-12-20",9.5
"796","2016-12-21",9.6
"797","2016-12-22",9.65
"798","2016-12-23",9.65
"799","2016-12-27",9.6
"800","2016-12-28",9.55
"801","2016-12-29",9.55
"802","2016-12-30",9.3
"803","2017-01-03",7.8
"804","2017-01-04",7.95
"805","2017-01-05",8.2
"806","2017-01-06",8.2
"807","2017-01-09",8.3
"808","2017-01-10",8.35
"809","2017-01-11",8.1
"810","2017-01-12",8
"811","2017-01-13",8.1
"812","2017-01-17",7.65
"813","2017-01-18",7.8
"814","2017-01-19",7.85
"815","2017-01-20",7.8
"816","2017-01-23",8.05
"817","2017-01-24",8.2
"818","2017-01-25",8.35
"819","2017-01-26",8.2
"820","2017-01-27",8.1
"821","2017-01-30",7.8
"822","2017-01-31",7.7
"823","2017-02-01",7.8
"824","2017-02-02",7.8
"825","2017-02-03",7.85
"826","2017-02-06",7.85
"827","2017-02-07",7.95
"828","2017-02-08",8
"829","2017-02-09",8.15
"830","2017-02-10",8.25
"831","2017-02-13",8.2
"832","2017-02-14",8.15
"833","2017-02-15",8.45
"834","2017-02-16",9.15
"835","2017-02-17",9.5
"836","2017-02-21",9.3
"837","2017-02-22",9.3
"838","2017-02-23",9
"839","2017-02-24",9.2
"840","2017-02-27",8.85
"841","2017-02-28",8.5
"842","2017-03-01",8.55
"843","2017-03-02",8.4
"844","2017-03-03",8
"845","2017-03-06",7.9
"846","2017-03-07",7.75
"847","2017-03-08",7.95
"848","2017-03-09",7.95
"849","2017-03-10",7.95
"850","2017-03-13",8.05
"851","2017-03-14",8.05
"852","2017-03-15",8.2
"853","2017-03-16",8.3
"854","2017-03-17",8.3
"855","2017-03-20",8.05
"856","2017-03-21",7.95
"857","2017-03-22",7.95
"858","2017-03-23",7.9
"859","2017-03-24",7.9
"860","2017-03-27",7.9
"861","2017-03-28",8
"862","2017-03-29",8
"863","2017-03-30",7.9
"864","2017-03-31",7.85
"865","2017-04-03",7.95
