"","date","MOHO"
"86","2020-03-13",7.35
"87","2020-03-16",7.541
"88","2020-03-17",7.45
"89","2020-03-18",7.451
"90","2020-03-19",7.88
"91","2020-03-20",8
"92","2020-03-23",8.3
"93","2020-03-24",8.9
"94","2020-03-25",8.5
"95","2020-03-26",10
"96","2020-03-27",10.47
"97","2020-03-30",10.59
"98","2020-03-31",5.68
"99","2020-04-01",6.18
"100","2020-04-02",5.8
"101","2020-04-03",5.64
"102","2020-04-06",5.74
"103","2020-04-07",4.63
"104","2020-04-08",4.86
"105","2020-04-09",4.89
"106","2020-04-13",4.88
"107","2020-04-14",5.5
"108","2020-04-15",5.22
"109","2020-04-16",5.03
"110","2020-04-17",4.8
"111","2020-04-20",4.86
"112","2020-04-21",4.907
"113","2020-04-22",5
"114","2020-04-23",4.65
"115","2020-04-24",4.54
"116","2020-04-27",4.59
"117","2020-04-28",4.8
"118","2020-04-29",4.85
"119","2020-04-30",4.65
"120","2020-05-01",4.3
"121","2020-05-04",4.08
"122","2020-05-05",4.01
"123","2020-05-06",3.95
"124","2020-05-07",4
"125","2020-05-08",4
"126","2020-05-11",4.04
"127","2020-05-12",3.937
"128","2020-05-13",3.57
"129","2020-05-14",3.49
"130","2020-05-15",3.69
"131","2020-05-18",3.747
"132","2020-05-19",3.76
"133","2020-05-20",3.55
"134","2020-05-21",3.56
"135","2020-05-22",3.63
"136","2020-05-26",3.59
"137","2020-05-27",3.527
"138","2020-05-28",3.505
"139","2020-05-29",3.43
"140","2020-06-01",3.47
"141","2020-06-02",3.5
"142","2020-06-03",3.2
"143","2020-06-04",2.77
"144","2020-06-05",2.78
"145","2020-06-08",3.27
"146","2020-06-09",3.7
"147","2020-06-10",3.447
"148","2020-06-11",3.375
"149","2020-06-12",2.95
"150","2020-06-15",2.8
"151","2020-06-16",2.65
"152","2020-06-17",2.66
"153","2020-06-18",2.9
"154","2020-06-19",2.66
"155","2020-06-22",2.75
"156","2020-06-23",3.02
"157","2020-06-24",2.87
"158","2020-06-25",2.88
"159","2020-06-26",2.77
"160","2020-06-29",2.84
"161","2020-06-30",2.81
"162","2020-07-01",2.83
"163","2020-07-02",2.63
"164","2020-07-06",2.25
"165","2020-07-07",2.367
"166","2020-07-08",2.34
"167","2020-07-09",2.4
"168","2020-07-10",2.46
"169","2020-07-13",2.4
"170","2020-07-14",2.33
"171","2020-07-15",2.26
"172","2020-07-16",2.08
"173","2020-07-17",2.1
"174","2020-07-20",2.07
"175","2020-07-21",2.08
"176","2020-07-22",2.08
"177","2020-07-23",2.06
"178","2020-07-24",2.14
"179","2020-07-27",2.117
"180","2020-07-28",2.19
"181","2020-07-29",2.11
"182","2020-07-30",2.15
"183","2020-07-31",2.19
"184","2020-08-03",2.08
"185","2020-08-04",2.1
"186","2020-08-05",2.08
"187","2020-08-06",2.1
"188","2020-08-07",2.1
"189","2020-08-10",2.17
"190","2020-08-11",2.14
"191","2020-08-12",2.15
"192","2020-08-13",2.18
"193","2020-08-14",2.26
"194","2020-08-17",2.22
"195","2020-08-18",2.07
"196","2020-08-19",2.12
"197","2020-08-20",2.1
"198","2020-08-21",2.1
"199","2020-08-24",2.02
"200","2020-08-25",2
"201","2020-08-26",2
"202","2020-08-27",1.92
"203","2020-08-28",1.897
"204","2020-08-31",1.9
"205","2020-09-01",1.83
"206","2020-09-02",1.78
"207","2020-09-03",1.69
"208","2020-09-04",1.7
"209","2020-09-08",1.64
"210","2020-09-09",1.7
"211","2020-09-10",1.65
"212","2020-09-11",1.64
"213","2020-09-14",1.66
"214","2020-09-15",1.65
"215","2020-09-16",1.6
"216","2020-09-17",1.51
"217","2020-09-18",1.51
"218","2020-09-21",1.46
"219","2020-09-22",1.44
"220","2020-09-23",1.44
"221","2020-09-24",1.33
"222","2020-09-25",1.38
"223","2020-09-28",1.35
"224","2020-09-29",1.37
"225","2020-09-30",1.38
"226","2020-10-01",1.4
"227","2020-10-02",1.39
"228","2020-10-05",1.39
"229","2020-10-06",1.43
"230","2020-10-07",1.38
"231","2020-10-08",1.39
"232","2020-10-09",1.43
"233","2020-10-12",1.44
"234","2020-10-13",1.39
"235","2020-10-14",1.37
"236","2020-10-15",1.4
"237","2020-10-16",1.39
"238","2020-10-19",1.52
"239","2020-10-20",1.67
"240","2020-10-21",1.52
"241","2020-10-22",1.61
"242","2020-10-23",1.6
"243","2020-10-26",1.48
"244","2020-10-27",1.4
"245","2020-10-28",1.41
"246","2020-10-29",1.415
"247","2020-10-30",1.37
"248","2020-11-02",1.3
"249","2020-11-03",1.31
"250","2020-11-04",1.3
"251","2020-11-05",1.38
"252","2020-11-06",1.35
"253","2020-11-09",1.38
"254","2020-11-10",1.36
"255","2020-11-11",1.39
"256","2020-11-12",1.35
"257","2020-11-13",1.4
"258","2020-11-16",1.36
"259","2020-11-17",1.37
"260","2020-11-18",1.395
"261","2020-11-19",1.399
"262","2020-11-20",1.4
"263","2020-11-23",1.43
"264","2020-11-24",3.6
"265","2020-11-25",2.86
"266","2020-11-27",2.7
