"","date","AMTBB"
"84","2019-02-20",12.05
"85","2019-02-21",12.05
"86","2019-02-22",12.25
"87","2019-02-25",12.2
"88","2019-02-26",12.25
"89","2019-02-27",12.98
"90","2019-02-28",12.83
"91","2019-03-01",12.7
"92","2019-03-04",12.86
"93","2019-03-05",12.91
"94","2019-03-06",13.1
"95","2019-03-07",13.1
"96","2019-03-08",13.13
"97","2019-03-11",12.25
"98","2019-03-12",12.25
"99","2019-03-13",12.39
"100","2019-03-14",12.7
"101","2019-03-15",12.92
"102","2019-03-18",12.58
"103","2019-03-19",12.58
"104","2019-03-20",12.37
"105","2019-03-21",12.37
"106","2019-03-22",12.37
"107","2019-03-25",12.44
"108","2019-03-26",12.44
"109","2019-03-27",12.44
"110","2019-03-28",12.44
"111","2019-03-29",12.44
"112","2019-04-01",12.44
"113","2019-04-02",12.44
"114","2019-04-03",12.15
"115","2019-04-04",12
"116","2019-04-05",12
"117","2019-04-08",11.01
"118","2019-04-09",11.01
"119","2019-04-10",11.19
"120","2019-04-11",11.2
"121","2019-04-12",11.77
"122","2019-04-15",11.27
"123","2019-04-16",11.27
"124","2019-04-17",11.75
"125","2019-04-18",11.7
"126","2019-04-22",11.51
"127","2019-04-23",11.5
"128","2019-04-24",11.5
"129","2019-04-25",11.75
"130","2019-04-26",11.97
"131","2019-04-29",12
"132","2019-04-30",11.3
"133","2019-05-01",12.6
"134","2019-05-02",13
"135","2019-05-03",12.5
"136","2019-05-06",13
"137","2019-05-07",12.34
"138","2019-05-08",11.78
"139","2019-05-09",11.78
"140","2019-05-10",12.11
"141","2019-05-13",12.11
"142","2019-05-14",12.8
"143","2019-05-15",12.63
"144","2019-05-16",13.5
"145","2019-05-17",13.5
"146","2019-05-20",13.6
"147","2019-05-21",13.6
"148","2019-05-22",13.4
"149","2019-05-23",13.4
"150","2019-05-24",13.4
"151","2019-05-28",13.99
"152","2019-05-29",13.66
"153","2019-05-30",13.52
"154","2019-05-31",13.53
"155","2019-06-03",13.51
"156","2019-06-04",12.5
"157","2019-06-05",13
"158","2019-06-06",13.13
"159","2019-06-07",13.39
"160","2019-06-10",13.05
"161","2019-06-11",12.78
"162","2019-06-12",13.09
"163","2019-06-13",13.09
"164","2019-06-14",13.95
"165","2019-06-17",13.59
"166","2019-06-18",13.6
"167","2019-06-19",14.05
"168","2019-06-20",14
"169","2019-06-21",14.06
"170","2019-06-24",14
"171","2019-06-25",14.03
"172","2019-06-26",14.03
"173","2019-06-27",14.26
"174","2019-06-28",14.5
"175","2019-07-01",15
"176","2019-07-02",14.72
"177","2019-07-03",14.65
"178","2019-07-05",15.48
"179","2019-07-08",15.28
"180","2019-07-09",15.2
"181","2019-07-10",16
"182","2019-07-11",16
"183","2019-07-12",15.42
"184","2019-07-15",15.24
"185","2019-07-16",14.65
"186","2019-07-17",14.05
"187","2019-07-18",13.69
"188","2019-07-19",13.61
"189","2019-07-22",13.61
"190","2019-07-23",13.66
"191","2019-07-24",13.66
"192","2019-07-25",13.7
"193","2019-07-26",13.71
"194","2019-07-29",13.71
"195","2019-07-30",15
"196","2019-07-31",15
"197","2019-08-01",16
"198","2019-08-02",15.5
"199","2019-08-05",15.5
"200","2019-08-06",14.01
"201","2019-08-07",14.52
"202","2019-08-08",14.49
"203","2019-08-09",14.49
"204","2019-08-12",14.49
"205","2019-08-13",14.05
"206","2019-08-14",14.05
"207","2019-08-15",14.47
"208","2019-08-16",13.93
"209","2019-08-19",13.63
"210","2019-08-20",13.63
"211","2019-08-21",13.5
"212","2019-08-22",13.5
"213","2019-08-23",13.5
"214","2019-08-26",13.57
"215","2019-08-27",13.57
"216","2019-08-28",13.55
"217","2019-08-29",13.25
"218","2019-08-30",13.25
"219","2019-09-03",13.62
"220","2019-09-04",13
"221","2019-09-05",12.1
"222","2019-09-06",12.79
"223","2019-09-09",13.75
"224","2019-09-10",14.34
"225","2019-09-11",15
"226","2019-09-12",15
"227","2019-09-13",15
"228","2019-09-16",15.14
"229","2019-09-17",14.5
"230","2019-09-18",15.05
"231","2019-09-19",15.13
"232","2019-09-20",15.05
"233","2019-09-23",15
"234","2019-09-24",14.85
"235","2019-09-25",14.97
"236","2019-09-26",14.97
"237","2019-09-27",15.05
"238","2019-09-30",15.55
"239","2019-10-01",15
"240","2019-10-02",14.02
"241","2019-10-03",14.5
"242","2019-10-04",14.16
"243","2019-10-07",14.1
"244","2019-10-08",14.1
"245","2019-10-09",14.14
"246","2019-10-10",14.14
"247","2019-10-11",14.22
"248","2019-10-14",14.15
"249","2019-10-15",14.81
"250","2019-10-16",14
"251","2019-10-17",14.13
"252","2019-10-18",14.05
"253","2019-10-21",14
"254","2019-10-22",13.83
"255","2019-10-23",13.83
"256","2019-10-24",13.83
"257","2019-10-25",13.83
"258","2019-10-28",14.49
"259","2019-10-29",14.49
"260","2019-10-30",14.25
"261","2019-10-31",14.2
"262","2019-11-01",14.4
"263","2019-11-04",14.99
"264","2019-11-05",15
"265","2019-11-06",14.7
"266","2019-11-07",14.95
"267","2019-11-08",14.95
"268","2019-11-11",14.61
"269","2019-11-12",14.65
"270","2019-11-13",14.85
"271","2019-11-14",14.78
"272","2019-11-15",14.75
"273","2019-11-18",14.75
"274","2019-11-19",14.75
"275","2019-11-20",14.76
"276","2019-11-21",14.75
"277","2019-11-22",14.75
"278","2019-11-25",14.9
"279","2019-11-26",14.75
"280","2019-11-27",14.76
"281","2019-11-29",14.76
"282","2019-12-02",15
"283","2019-12-03",14.4
"284","2019-12-04",14.58
"285","2019-12-05",14.58
"286","2019-12-06",14.95
"287","2019-12-09",15
"288","2019-12-10",15.45
"289","2019-12-11",15.63
"290","2019-12-12",17
"291","2019-12-13",16.5
"292","2019-12-16",17
"293","2019-12-17",16.6
"294","2019-12-18",16.51
"295","2019-12-19",16.51
"296","2019-12-20",16.27
"297","2019-12-23",16.27
"298","2019-12-24",16.27
"299","2019-12-26",15.89
"300","2019-12-27",15.89
"301","2019-12-30",15.89
"302","2019-12-31",16.25
"303","2020-01-02",16.5
"304","2020-01-03",16.07
"305","2020-01-06",16.07
"306","2020-01-07",16.120001
"307","2020-01-08",16
"308","2020-01-09",16
"309","2020-01-10",16
"310","2020-01-13",16
"311","2020-01-14",15.77
"312","2020-01-15",15.5
"313","2020-01-16",15.3
"314","2020-01-17",15.5
"315","2020-01-21",15
"316","2020-01-22",15.87
"317","2020-01-23",15.66
"318","2020-01-24",14.17
"319","2020-01-27",14.17
"320","2020-01-28",15.33
"321","2020-01-29",16
"322","2020-01-30",14.2
"323","2020-01-31",14.26
"324","2020-02-03",14.65
"325","2020-02-04",14.74
"326","2020-02-05",14.74
"327","2020-02-06",14.65
"328","2020-02-07",14.36
"329","2020-02-10",14.32
"330","2020-02-11",14.5
"331","2020-02-12",14.5
"332","2020-02-13",14.31
"333","2020-02-14",14.38
"334","2020-02-18",15.04
"335","2020-02-19",15.25
"336","2020-02-20",15.25
"337","2020-02-21",15.4
"338","2020-02-24",15.32
"339","2020-02-25",15.6
"340","2020-02-26",15
"341","2020-02-27",15
"342","2020-02-28",14.42
"343","2020-03-02",14.5
"344","2020-03-03",14.2
"345","2020-03-04",14.08
"346","2020-03-05",14
"347","2020-03-06",13.4
"348","2020-03-09",13.05
"349","2020-03-10",13.2
"350","2020-03-11",12.8
"351","2020-03-12",12.09
"352","2020-03-13",11.27
"353","2020-03-16",9.05
"354","2020-03-17",9.89
"355","2020-03-18",8.9
"356","2020-03-19",9.69
"357","2020-03-20",8.95
"358","2020-03-23",9.8
"359","2020-03-24",9.38
"360","2020-03-25",9
"361","2020-03-26",10
"362","2020-03-27",10
"363","2020-03-30",10
"364","2020-03-31",10
"365","2020-04-01",9.31
"366","2020-04-02",9.5
"367","2020-04-03",9.56
"368","2020-04-06",9.61
"369","2020-04-07",9.25
"370","2020-04-08",9.5
"371","2020-04-09",9.5
"372","2020-04-13",9.07
"373","2020-04-14",9.5
"374","2020-04-15",9
"375","2020-04-16",8.9
"376","2020-04-17",9
"377","2020-04-20",9
"378","2020-04-21",8.79
"379","2020-04-22",8.8
"380","2020-04-23",8.79
"381","2020-04-24",8.79
"382","2020-04-27",9.01
"383","2020-04-28",9.45
"384","2020-04-29",9.4
"385","2020-04-30",8.84
"386","2020-05-01",9
"387","2020-05-04",9.32
"388","2020-05-05",9
"389","2020-05-06",8.95
"390","2020-05-07",8.84
"391","2020-05-08",9.4
"392","2020-05-11",9.4
"393","2020-05-12",8.8
"394","2020-05-13",8.8
"395","2020-05-14",8.8
"396","2020-05-15",8.8
"397","2020-05-18",9.25
"398","2020-05-19",9.25
"399","2020-05-20",8.85
"400","2020-05-21",9.28
"401","2020-05-22",9.28
"402","2020-05-26",8.63
"403","2020-05-27",9.11
"404","2020-05-28",9.42
"405","2020-05-29",9.2
"406","2020-06-01",9.2
"407","2020-06-02",9.2
"408","2020-06-03",9.4
"409","2020-06-04",9.41
"410","2020-06-05",9.99
"411","2020-06-08",10.51
"412","2020-06-09",11.26
"413","2020-06-10",10.61
"414","2020-06-11",9.8
"415","2020-06-12",10
"416","2020-06-15",11.49
"417","2020-06-16",11.94
"418","2020-06-17",10.6
"419","2020-06-18",11.67
"420","2020-06-19",11
"421","2020-06-22",11.72
"422","2020-06-23",11.77
"423","2020-06-24",10.5
"424","2020-06-25",11.01
"425","2020-06-26",10.95
"426","2020-06-29",10.95
"427","2020-06-30",11
"428","2020-07-01",10.77
"429","2020-07-02",10.64
"430","2020-07-06",11.2
"431","2020-07-07",9.75
"432","2020-07-08",9.77
"433","2020-07-09",9.5
"434","2020-07-10",9.75
"435","2020-07-13",9.5
"436","2020-07-14",9.5
"437","2020-07-15",10.4
"438","2020-07-16",10.29
"439","2020-07-17",10.29
"440","2020-07-20",9.25
"441","2020-07-21",9.5
"442","2020-07-22",10
"443","2020-07-23",9.25
"444","2020-07-24",9.3
"445","2020-07-27",9.25
"446","2020-07-28",9.25
"447","2020-07-29",9.43
"448","2020-07-30",9.25
"449","2020-07-31",9.5
"450","2020-08-03",9.5
"451","2020-08-04",9.72
"452","2020-08-05",9.5
"453","2020-08-06",9.5
"454","2020-08-07",9.9
"455","2020-08-10",9.5
"456","2020-08-11",9.51
"457","2020-08-12",9.9
"458","2020-08-13",9.5
"459","2020-08-14",9.52
"460","2020-08-17",9.7
"461","2020-08-18",9.51
"462","2020-08-19",9.5
"463","2020-08-20",9.41
"464","2020-08-21",9.41
"465","2020-08-24",9.45
"466","2020-08-25",9.45
"467","2020-08-26",9.25
"468","2020-08-27",9.2
"469","2020-08-28",9.05
"470","2020-08-31",9.25
"471","2020-09-01",8.98
"472","2020-09-02",8.91
"473","2020-09-03",9
"474","2020-09-04",9
"475","2020-09-08",8.94
"476","2020-09-09",8.92
"477","2020-09-10",8.92
"478","2020-09-11",9
"479","2020-09-14",8.75
"480","2020-09-15",8.75
"481","2020-09-16",8.9
"482","2020-09-17",8.56
"483","2020-09-18",8.8
"484","2020-09-21",8.85
"485","2020-09-22",8.1
"486","2020-09-23",8.61
"487","2020-09-24",8.19
"488","2020-09-25",8.16
"489","2020-09-28",8.2
"490","2020-09-29",8.2
"491","2020-09-30",7.53
"492","2020-10-01",7.9
"493","2020-10-02",8.1
"494","2020-10-05",8.07
"495","2020-10-06",8.41
"496","2020-10-07",8
"497","2020-10-08",8
"498","2020-10-09",8
"499","2020-10-12",8
"500","2020-10-13",8
"501","2020-10-14",8.34
"502","2020-10-15",8.25
"503","2020-10-16",8
"504","2020-10-19",8.15
"505","2020-10-20",8.2
"506","2020-10-21",7.99
"507","2020-10-22",8
"508","2020-10-23",8
"509","2020-10-26",8
"510","2020-10-27",7.99
"511","2020-10-28",7.75
"512","2020-10-29",7.75
"513","2020-10-30",7.99
"514","2020-11-02",7.99
"515","2020-11-03",8.27
"516","2020-11-04",7.98
"517","2020-11-05",7.88
"518","2020-11-06",8
"519","2020-11-09",9.13
"520","2020-11-10",9.99
"521","2020-11-11",9.98
"522","2020-11-12",9.98
"523","2020-11-13",9.98
"524","2020-11-16",11.49
"525","2020-11-17",11.39
"526","2020-11-18",11.86
"527","2020-11-19",11.9
"528","2020-11-20",12.4
"529","2020-11-23",12.03
"530","2020-11-24",12.55
"531","2020-11-25",12.55
"532","2020-11-27",12.55
