"","date","HAPP"
"80","2020-02-20",4
"81","2020-02-21",4.057
"82","2020-02-24",4.2
"83","2020-02-25",4.562
"84","2020-02-26",4.679
"85","2020-02-27",5.16
"86","2020-02-28",4.84
"87","2020-03-02",4.85
"88","2020-03-03",4.4
"89","2020-03-04",4.36
"90","2020-03-05",4.2
"91","2020-03-06",4.45
"92","2020-03-09",4.51
"93","2020-03-10",3.79
"94","2020-03-11",3.82
"95","2020-03-12",3.64
"96","2020-03-13",3.69
"97","2020-03-16",3.66
"98","2020-03-17",4.05
"99","2020-03-18",3.44
"100","2020-03-19",3.6
"101","2020-03-20",3.02
"102","2020-03-23",2.61
"103","2020-03-24",2.52
"104","2020-03-25",3.54
"105","2020-03-26",3.07
"106","2020-03-27",3
"107","2020-03-30",2.97
"108","2020-03-31",3.15
"109","2020-04-01",3.18
"110","2020-04-02",3.07
"111","2020-04-03",3.11
"112","2020-04-06",3.39
"113","2020-04-07",3.16
"114","2020-04-08",3.04
"115","2020-04-09",2.88
"116","2020-04-13",3.07
"117","2020-04-14",3.22
"118","2020-04-15",3.31
"119","2020-04-16",3.13
"120","2020-04-17",3.05
"121","2020-04-20",3.12
"122","2020-04-21",3.1
"123","2020-04-22",3.002
"124","2020-04-23",2.96
"125","2020-04-24",2.89
"126","2020-04-27",2.92
"127","2020-04-28",2.92
"128","2020-04-29",2.95
"129","2020-04-30",2.88
"130","2020-05-01",2.9
"131","2020-05-04",2.88
"132","2020-05-05",2.81
"133","2020-05-06",2.83
"134","2020-05-07",2.87
"135","2020-05-08",2.84
"136","2020-05-11",2.9
"137","2020-05-12",2.87
"138","2020-05-13",2.8
"139","2020-05-14",2.76
"140","2020-05-15",2.78
"141","2020-05-18",2.78
"142","2020-05-19",2.77
"143","2020-05-20",2.78
"144","2020-05-21",2.74
"145","2020-05-22",2.81
"146","2020-05-26",2.7
"147","2020-05-27",2.68
"148","2020-05-28",2.62
"149","2020-05-29",2.58
"150","2020-06-01",2.75
"151","2020-06-02",2.75
"152","2020-06-03",2.71
"153","2020-06-04",2.7
"154","2020-06-05",2.71
"155","2020-06-08",2.81
"156","2020-06-09",2.88
"157","2020-06-10",2.9
"158","2020-06-11",2.72
"159","2020-06-12",2.72
"160","2020-06-15",2.9
"161","2020-06-16",2.86
"162","2020-06-17",2.86
"163","2020-06-18",2.9
"164","2020-06-19",2.88
"165","2020-06-22",2.91
"166","2020-06-23",2.92
"167","2020-06-24",3.08
"168","2020-06-25",2.98
"169","2020-06-26",2.85
"170","2020-06-29",2.89
"171","2020-06-30",2.81
"172","2020-07-01",2.79
"173","2020-07-02",2.81
"174","2020-07-06",2.83
"175","2020-07-07",2.77
"176","2020-07-08",2.73
"177","2020-07-09",2.68
"178","2020-07-10",2.69
"179","2020-07-13",2.64
"180","2020-07-14",2.63
"181","2020-07-15",2.69
"182","2020-07-16",2.83
"183","2020-07-17",2.8
"184","2020-07-20",2.76
"185","2020-07-21",2.87
"186","2020-07-22",2.84
"187","2020-07-23",2.78
"188","2020-07-24",2.64
"189","2020-07-27",2.35
"190","2020-07-28",2.35
"191","2020-07-29",2.35
"192","2020-07-30",2.26
"193","2020-07-31",2.49
"194","2020-08-03",2.44
"195","2020-08-04",2.45
"196","2020-08-05",2.43
"197","2020-08-06",2.41
"198","2020-08-07",2.4
"199","2020-08-10",2.34
"200","2020-08-11",2.31
"201","2020-08-12",2.315
"202","2020-08-13",2.31
"203","2020-08-14",2.31
"204","2020-08-17",2.31
"205","2020-08-18",2.3
"206","2020-08-19",2.29
"207","2020-08-20",2.28
"208","2020-08-21",2.25
"209","2020-08-24",2.31
"210","2020-08-25",2.3
"211","2020-08-26",2.24
"212","2020-08-27",2.17
"213","2020-08-28",2.15
"214","2020-08-31",2.1
"215","2020-09-01",2.035
"216","2020-09-02",2
"217","2020-09-03",1.96
"218","2020-09-04",1.96
"219","2020-09-08",2.03
"220","2020-09-09",2
"221","2020-09-10",2
"222","2020-09-11",2
"223","2020-09-14",2.03
"224","2020-09-15",1.99
"225","2020-09-16",1.99
"226","2020-09-17",2
"227","2020-09-18",2.04
"228","2020-09-21",2.01
"229","2020-09-22",2.03
"230","2020-09-23",1.93
"231","2020-09-24",1.81
"232","2020-09-25",1.8
"233","2020-09-28",1.75
"234","2020-09-29",1.76
"235","2020-09-30",1.77
"236","2020-10-01",1.77
"237","2020-10-02",1.69
"238","2020-10-05",1.77
"239","2020-10-06",1.8
"240","2020-10-07",1.79
"241","2020-10-08",1.85
"242","2020-10-09",1.8
"243","2020-10-12",1.79
"244","2020-10-13",1.79
"245","2020-10-14",1.8
"246","2020-10-15",1.78
"247","2020-10-16",1.75
"248","2020-10-19",1.83
"249","2020-10-20",1.78
"250","2020-10-21",1.7
"251","2020-10-22",1.81
"252","2020-10-23",1.74
"253","2020-10-26",1.75
"254","2020-10-27",1.74
"255","2020-10-28",1.72
"256","2020-10-29",1.74
"257","2020-10-30",1.68
"258","2020-11-02",1.69
"259","2020-11-03",1.69
"260","2020-11-04",1.7
"261","2020-11-05",1.76
"262","2020-11-06",1.73
"263","2020-11-09",1.74
"264","2020-11-10",1.9
"265","2020-11-11",1.84
"266","2020-11-12",1.83
"267","2020-11-13",1.79
"268","2020-11-16",1.84
"269","2020-11-17",1.86
"270","2020-11-18",1.89
"271","2020-11-19",1.89
"272","2020-11-20",1.91
"273","2020-11-23",1.98
"274","2020-11-24",1.97
"275","2020-11-25",1.93
"276","2020-11-27",1.96
