"","date","PIC"
"137","2020-03-18",9.61
"138","2020-03-19",9.65
"139","2020-03-20",9.75
"140","2020-03-23",9.71
"141","2020-03-24",9.77
"142","2020-03-25",9.775
"143","2020-03-26",9.8
"144","2020-03-27",9.9
"145","2020-03-30",9.9
"146","2020-03-31",9.91
"147","2020-04-01",9.9
"148","2020-04-02",9.95
"149","2020-04-03",9.95
"150","2020-04-06",9.92
"151","2020-04-07",9.95
"152","2020-04-08",9.95
"153","2020-04-09",9.97
"154","2020-04-13",9.93
"155","2020-04-14",9.93
"156","2020-04-15",9.93
"157","2020-04-16",9.95
"158","2020-04-17",9.98
"159","2020-04-20",9.98
"160","2020-04-21",9.94
"161","2020-04-22",9.93
"162","2020-04-23",9.95
"163","2020-04-24",9.96
"164","2020-04-27",9.96
"165","2020-04-28",9.94
"166","2020-04-29",9.98
"167","2020-04-30",9.94
"168","2020-05-01",9.94
"169","2020-05-04",9.94
"170","2020-05-05",9.95
"171","2020-05-06",9.95
"172","2020-05-07",9.95
"173","2020-05-08",9.95
"174","2020-05-11",9.95
"175","2020-05-12",9.98
"176","2020-05-13",9.98
"177","2020-05-14",9.95
"178","2020-05-15",9.95
"179","2020-05-18",9.95
"180","2020-05-19",9.95
"181","2020-05-20",9.95
"182","2020-05-21",9.9
"183","2020-05-22",9.965
"184","2020-05-26",9.965
"185","2020-05-27",9.95
"186","2020-05-28",9.95
"187","2020-05-29",9.935
"188","2020-06-01",9.97
"189","2020-06-02",10
"190","2020-06-03",10
"191","2020-06-04",9.95
"192","2020-06-05",9.95
"193","2020-06-08",10
"194","2020-06-09",10
"195","2020-06-10",10
"196","2020-06-11",10.01
"197","2020-06-12",10
"198","2020-06-15",10
"199","2020-06-16",10.02
"200","2020-06-17",10.01
"201","2020-06-18",10.01
"202","2020-06-19",10.095
"203","2020-06-22",10.15
"204","2020-06-23",10.15
"205","2020-06-24",10.18
"206","2020-06-25",10.16
"207","2020-06-26",10.16
"208","2020-06-29",10.18
"209","2020-06-30",10.15
"210","2020-07-01",10.13
"211","2020-07-02",10.15
"212","2020-07-06",10.11
"213","2020-07-07",10.11
"214","2020-07-08",10.15
"215","2020-07-09",10.08
"216","2020-07-10",10.25
"217","2020-07-13",10.21
"218","2020-07-14",10.23
"219","2020-07-15",10.23
"220","2020-07-16",10.29
"221","2020-07-17",10.305
"222","2020-07-20",10.32
"223","2020-07-21",10.28
"224","2020-07-22",10.35
"225","2020-07-23",10.28
"226","2020-07-24",10.2
"227","2020-07-27",10.22
"228","2020-07-28",10.22
"229","2020-07-29",10.2
"230","2020-07-30",10.15
"231","2020-07-31",10.1
"232","2020-08-03",10.23
"233","2020-08-04",10.1
"234","2020-08-05",10.2
"235","2020-08-06",10.15
"236","2020-08-07",10.08
"237","2020-08-10",10.11
"238","2020-08-11",10.12
"239","2020-08-12",10.11
"240","2020-08-13",10.11
"241","2020-08-14",10.11
"242","2020-08-17",10.07
"243","2020-08-18",10.03
"244","2020-08-19",10.02
"245","2020-08-20",10.05
"246","2020-08-21",10.05
"247","2020-08-24",10.03
"248","2020-08-25",10.06
"249","2020-08-26",10.15
"250","2020-08-27",10.1
"251","2020-08-28",10.1
"252","2020-08-31",10.09
"253","2020-09-01",10.1
"254","2020-09-02",10.2
"255","2020-09-03",10.26
"256","2020-09-04",10.24
"257","2020-09-08",10.25
"258","2020-09-09",10.3
"259","2020-09-10",10.4
"260","2020-09-11",10.49
"261","2020-09-14",10.47
"262","2020-09-15",10.52
"263","2020-09-16",10.64
"264","2020-09-17",10.585
"265","2020-09-18",12.1
"266","2020-09-21",13.31
"267","2020-09-22",12.76
"268","2020-09-23",12.52
"269","2020-09-24",11.32
"270","2020-09-25",11.95
"271","2020-09-28",12
"272","2020-09-29",11.71
"273","2020-09-30",11.53
"274","2020-10-01",11.38
"275","2020-10-02",11.03
"276","2020-10-05",10.98
"277","2020-10-06",10.63
"278","2020-10-07",10.37
"279","2020-10-08",10.57
"280","2020-10-09",10.89
"281","2020-10-12",10.74
"282","2020-10-13",10.7
"283","2020-10-14",10.62
"284","2020-10-15",10.45
"285","2020-10-16",10.42
"286","2020-10-19",10.33
"287","2020-10-20",10.26
"288","2020-10-21",10.19
"289","2020-10-22",10.19
"290","2020-10-23",10.33
"291","2020-10-26",10.19
"292","2020-10-27",10.13
"293","2020-10-28",10.04
"294","2020-10-29",10.02
"295","2020-10-30",10.04
"296","2020-11-02",10.03
"297","2020-11-03",10.09
"298","2020-11-04",10.05
"299","2020-11-05",10.05
"300","2020-11-06",10.09
"301","2020-11-09",10.05
"302","2020-11-10",10.07
"303","2020-11-11",10.06
"304","2020-11-12",10.08
"305","2020-11-13",10.11
"306","2020-11-16",10.36
"307","2020-11-17",10.5
"308","2020-11-18",10.47
"309","2020-11-19",11.67
"310","2020-11-20",11.34
"311","2020-11-23",12.13
"312","2020-11-24",11.93
"313","2020-11-25",12.54
"314","2020-11-27",14.6
