"","date","BSM"
"358","2016-09-28",17.57
"359","2016-09-29",17.959999
"360","2016-09-30",17.809999
"361","2016-10-03",17.540001
"362","2016-10-04",17.57
"363","2016-10-05",17.719999
"364","2016-10-06",17.51
"365","2016-10-07",18.1
"366","2016-10-10",18.25
"367","2016-10-11",17.84
"368","2016-10-12",18
"369","2016-10-13",18.09
"370","2016-10-14",17.889999
"371","2016-10-17",18.299999
"372","2016-10-18",18.219999
"373","2016-10-19",18.25
"374","2016-10-20",18.1
"375","2016-10-21",18.719999
"376","2016-10-24",18.299999
"377","2016-10-25",17.860001
"378","2016-10-26",17.709999
"379","2016-10-27",17.74
"380","2016-10-28",17.51
"381","2016-10-31",17.51
"382","2016-11-01",17.549999
"383","2016-11-02",17.26
"384","2016-11-03",17.09
"385","2016-11-04",17.040001
"386","2016-11-07",17.66
"387","2016-11-08",17.879999
"388","2016-11-09",17.98
"389","2016-11-10",17.780001
"390","2016-11-11",17.559999
"391","2016-11-14",17.65
"392","2016-11-15",17.91
"393","2016-11-16",17.99
"394","2016-11-17",18.26
"395","2016-11-18",18.77
"396","2016-11-21",18.879999
"397","2016-11-22",18.77
"398","2016-11-23",18.9
"399","2016-11-25",18.68
"400","2016-11-28",18.91
"401","2016-11-29",18.41
"402","2016-11-30",18.65
"403","2016-12-01",18.68
"404","2016-12-02",18.969999
"405","2016-12-05",19
"406","2016-12-06",18.700001
"407","2016-12-07",18.549999
"408","2016-12-08",18.620001
"409","2016-12-09",18.35
"410","2016-12-12",18.67
"411","2016-12-13",18.889999
"412","2016-12-14",18.84
"413","2016-12-15",18.93
"414","2016-12-16",19.190001
"415","2016-12-19",19.299999
"416","2016-12-20",19.530001
"417","2016-12-21",19.549999
"418","2016-12-22",19.299999
"419","2016-12-23",18.969999
"420","2016-12-27",19.200001
"421","2016-12-28",19.040001
"422","2016-12-29",18.5
"423","2016-12-30",18.780001
"424","2017-01-03",19.08
"425","2017-01-04",18.85
"426","2017-01-05",18.959999
"427","2017-01-06",19.18
"428","2017-01-09",19.110001
"429","2017-01-10",19.24
"430","2017-01-11",19.07
"431","2017-01-12",18.99
"432","2017-01-13",18.84
"433","2017-01-17",18.73
"434","2017-01-18",18.719999
"435","2017-01-19",18.879999
"436","2017-01-20",18.83
"437","2017-01-23",18.530001
"438","2017-01-24",18.540001
"439","2017-01-25",18.77
"440","2017-01-26",18.91
"441","2017-01-27",18.450001
"442","2017-01-30",18.450001
"443","2017-01-31",18.540001
"444","2017-02-01",18.42
"445","2017-02-02",18.98
"446","2017-02-03",18.780001
"447","2017-02-06",18.4
"448","2017-02-07",17.950001
"449","2017-02-08",17.690001
"450","2017-02-09",17.940001
"451","2017-02-10",17.75
"452","2017-02-13",17.68
"453","2017-02-14",17.84
"454","2017-02-15",17.99
"455","2017-02-16",17.709999
"456","2017-02-17",17.719999
"457","2017-02-21",18
"458","2017-02-22",17.77
"459","2017-02-23",17.83
"460","2017-02-24",17.610001
"461","2017-02-27",17.719999
"462","2017-02-28",17.52
"463","2017-03-01",17.540001
"464","2017-03-02",17.5
"465","2017-03-03",17.43
"466","2017-03-06",17.23
"467","2017-03-07",17.15
"468","2017-03-08",16.98
"469","2017-03-09",17.18
"470","2017-03-10",16.889999
"471","2017-03-13",17.26
"472","2017-03-14",17.02
