"","date","XPEL"
"240","2020-06-11",15.35
"241","2020-06-12",15.89
"242","2020-06-15",16.82
"243","2020-06-16",16.139999
"244","2020-06-17",16.440001
"245","2020-06-18",16.309999
"246","2020-06-19",17.08
"247","2020-06-22",16.82
"248","2020-06-23",16.940001
"249","2020-06-24",16.65
"250","2020-06-25",16.860001
"251","2020-06-26",15.76
"252","2020-06-29",15.94
"253","2020-06-30",15.64
"254","2020-07-01",15.55
"255","2020-07-02",15.11
"256","2020-07-06",15.2
"257","2020-07-07",14.49
"258","2020-07-08",14.75
"259","2020-07-09",14.36
"260","2020-07-10",14.81
"261","2020-07-13",14.66
"262","2020-07-14",14.88
"263","2020-07-15",14.95
"264","2020-07-16",14.84
"265","2020-07-17",14.76
"266","2020-07-20",16.075001
"267","2020-07-21",15.64
"268","2020-07-22",15.53
"269","2020-07-23",15.58
"270","2020-07-24",15.55
"271","2020-07-27",16.32
"272","2020-07-28",16.049999
"273","2020-07-29",16.66
"274","2020-07-30",16.76
"275","2020-07-31",16.83
"276","2020-08-03",19.209999
"277","2020-08-04",19.25
"278","2020-08-05",20.1
"279","2020-08-06",19.99
"280","2020-08-07",20.059999
"281","2020-08-10",20.15
"282","2020-08-11",20.66
"283","2020-08-12",27.459999
"284","2020-08-13",28.52
"285","2020-08-14",29.610001
"286","2020-08-17",28.469999
"287","2020-08-18",28
"288","2020-08-19",28.1
"289","2020-08-20",27.530001
"290","2020-08-21",26.030001
"291","2020-08-24",25.5
"292","2020-08-25",25.389999
"293","2020-08-26",25.690001
"294","2020-08-27",24.950001
"295","2020-08-28",24.860001
"296","2020-08-31",24.9
"297","2020-09-01",25.42
"298","2020-09-02",25.52
"299","2020-09-03",24.09
"300","2020-09-04",23.57
"301","2020-09-08",23.360001
"302","2020-09-09",24.41
"303","2020-09-10",24.48
"304","2020-09-11",23.92
"305","2020-09-14",28.23
"306","2020-09-15",27.459999
"307","2020-09-16",27.139999
"308","2020-09-17",25.93
"309","2020-09-18",26.25
"310","2020-09-21",23.450001
"311","2020-09-22",23.65
"312","2020-09-23",24.030001
"313","2020-09-24",23.15
"314","2020-09-25",23.74
"315","2020-09-28",24.639999
"316","2020-09-29",25.66
"317","2020-09-30",26.08
"318","2020-10-01",27.08
"319","2020-10-02",26.559999
"320","2020-10-05",26.700001
"321","2020-10-06",26.360001
"322","2020-10-07",25.73
"323","2020-10-08",26.25
"324","2020-10-09",28.01
"325","2020-10-12",27.23
"326","2020-10-13",29.08
"327","2020-10-14",27.379999
"328","2020-10-15",27.52
"329","2020-10-16",27.5
"330","2020-10-19",26.51
"331","2020-10-20",26.950001
"332","2020-10-21",26.860001
"333","2020-10-22",26.6
"334","2020-10-23",26.6
"335","2020-10-26",26.25
"336","2020-10-27",25.700001
"337","2020-10-28",25.790001
"338","2020-10-29",26.23
"339","2020-10-30",24.780001
"340","2020-11-02",26.309999
"341","2020-11-03",27.379999
"342","2020-11-04",28.27
"343","2020-11-05",28.76
"344","2020-11-06",28.4
"345","2020-11-09",28.58
"346","2020-11-10",30.879999
"347","2020-11-11",30.77
"348","2020-11-12",33
"349","2020-11-13",37.52
"350","2020-11-16",36.939999
"351","2020-11-17",37.25
"352","2020-11-18",36.82
"353","2020-11-19",35.330002
"354","2020-11-20",35.950001
"355","2020-11-23",36.25
"356","2020-11-24",37.299999
"357","2020-11-25",37.57
"358","2020-11-27",38.59
