"","date","EXAS"
"309","2008-03-26",2.74
"310","2008-03-27",2.91
"311","2008-03-28",2.75
"312","2008-03-31",2.91
"313","2008-04-01",2.87
"314","2008-04-02",2.86
"315","2008-04-03",2.57
"316","2008-04-04",2.67
"317","2008-04-07",2.56
"318","2008-04-08",2.55
"319","2008-04-09",2.46
"320","2008-04-10",2.4
"321","2008-04-11",2.4
"322","2008-04-14",2.57
"323","2008-04-15",2.4
"324","2008-04-16",2.36
"325","2008-04-17",2.36
"326","2008-04-18",2.37
"327","2008-04-21",2.49
"328","2008-04-22",2.39
"329","2008-04-23",2.38
"330","2008-04-24",2.38
"331","2008-04-25",2.39
"332","2008-04-28",2.35
"333","2008-04-29",2.31
"334","2008-04-30",2.42
"335","2008-05-01",2.26
"336","2008-05-02",2.21
"337","2008-05-05",2.23
"338","2008-05-06",2.06
"339","2008-05-07",2.16
"340","2008-05-08",2.19
"341","2008-05-09",2.18
"342","2008-05-12",2.19
"343","2008-05-13",2.25
"344","2008-05-14",2.15
"345","2008-05-15",2.17
"346","2008-05-16",2.11
"347","2008-05-19",2.1
"348","2008-05-20",2.11
"349","2008-05-21",2.04
"350","2008-05-22",1.96
"351","2008-05-23",1.96
"352","2008-05-27",1.89
"353","2008-05-28",1.84
"354","2008-05-29",1.8
"355","2008-05-30",1.98
"356","2008-06-02",2.02
"357","2008-06-03",2.04
"358","2008-06-04",2.15
"359","2008-06-05",2.2
"360","2008-06-06",2.03
"361","2008-06-09",2.09
"362","2008-06-10",2.18
"363","2008-06-11",2.08
"364","2008-06-12",2
"365","2008-06-13",1.91
"366","2008-06-16",1.99
"367","2008-06-17",1.94
"368","2008-06-18",1.89
"369","2008-06-19",2
"370","2008-06-20",1.92
"371","2008-06-23",1.83
"372","2008-06-24",1.89
"373","2008-06-25",1.83
"374","2008-06-26",1.79
"375","2008-06-27",1.77
"376","2008-06-30",1.8
"377","2008-07-01",1.76
"378","2008-07-02",1.67
"379","2008-07-03",1.63
"380","2008-07-07",1.57
"381","2008-07-08",1.41
"382","2008-07-09",1.47
"383","2008-07-10",1.45
"384","2008-07-11",1.24
"385","2008-07-14",0.78
"386","2008-07-15",0.95
"387","2008-07-16",1
"388","2008-07-17",0.9
"389","2008-07-18",0.71
"390","2008-07-21",0.81
"391","2008-07-22",0.91
"392","2008-07-23",0.93
"393","2008-07-24",0.95
"394","2008-07-25",0.96
"395","2008-07-28",1.03
"396","2008-07-29",0.99
"397","2008-07-30",0.98
"398","2008-07-31",0.97
"399","2008-08-01",0.94
"400","2008-08-04",0.9
"401","2008-08-05",0.86
"402","2008-08-06",0.81
"403","2008-08-07",0.79
"404","2008-08-08",0.92
"405","2008-08-11",0.88
"406","2008-08-12",0.93
"407","2008-08-13",0.92
"408","2008-08-14",0.9
"409","2008-08-15",0.9
