"","date","OAC"
"93","2020-01-27",10.053
"94","2020-01-28",10.053
"95","2020-01-29",10.07
"96","2020-01-30",10.01
"97","2020-01-31",10.05
"98","2020-02-03",10.05
"99","2020-02-04",10.05
"100","2020-02-05",10.05
"101","2020-02-06",10.05
"102","2020-02-07",10.051
"103","2020-02-10",10.03
"104","2020-02-11",10.01
"105","2020-02-12",10.15
"106","2020-02-13",10.15
"107","2020-02-14",10.1
"108","2020-02-18",10.1
"109","2020-02-19",10.1
"110","2020-02-20",10.1
"111","2020-02-21",10.1
"112","2020-02-24",10.1
"113","2020-02-25",10.1
"114","2020-02-26",10.1
"115","2020-02-27",10.1
"116","2020-02-28",10.038
"117","2020-03-02",10.038
"118","2020-03-03",10.038
"119","2020-03-04",10.11
"120","2020-03-05",10.09
"121","2020-03-06",10.09
"122","2020-03-09",10.009
"123","2020-03-10",9.97
"124","2020-03-11",9.94
"125","2020-03-12",9.84
"126","2020-03-13",9.84
"127","2020-03-16",9.65
"128","2020-03-17",9.56
"129","2020-03-18",9.44
"130","2020-03-19",9.466
"131","2020-03-20",9.466
"132","2020-03-23",9.4
"133","2020-03-24",9.57
"134","2020-03-25",9.57
"135","2020-03-26",9.76
"136","2020-03-27",9.76
"137","2020-03-30",9.9
"138","2020-03-31",10
"139","2020-04-01",9.965
"140","2020-04-02",9.91
"141","2020-04-03",9.84
"142","2020-04-06",9.83
"143","2020-04-07",9.8
"144","2020-04-08",9.85
"145","2020-04-09",9.85
"146","2020-04-13",9.85
"147","2020-04-14",9.86
"148","2020-04-15",9.87
"149","2020-04-16",9.94
"150","2020-04-17",9.85
"151","2020-04-20",9.85
"152","2020-04-21",9.85
"153","2020-04-22",9.899
"154","2020-04-23",9.88
"155","2020-04-24",9.97
"156","2020-04-27",9.92
"157","2020-04-28",9.97
"158","2020-04-29",9.97
"159","2020-04-30",9.97
"160","2020-05-01",9.98
"161","2020-05-04",9.98
"162","2020-05-05",10
"163","2020-05-06",9.99
"164","2020-05-07",9.99
"165","2020-05-08",9.99
"166","2020-05-11",9.9
"167","2020-05-12",9.97
"168","2020-05-13",10
"169","2020-05-14",10.02
"170","2020-05-15",9.93
"171","2020-05-18",9.975
"172","2020-05-19",9.95
"173","2020-05-20",9.94
"174","2020-05-21",9.94
"175","2020-05-22",9.99
"176","2020-05-26",10.03
"177","2020-05-27",9.9
"178","2020-05-28",9.9
"179","2020-05-29",9.933
"180","2020-06-01",9.95
"181","2020-06-02",9.98
"182","2020-06-03",9.99
"183","2020-06-04",10.02
"184","2020-06-05",10.02
"185","2020-06-08",10.02
"186","2020-06-09",10.01
"187","2020-06-10",10.05
"188","2020-06-11",10.02
"189","2020-06-12",10.006
"190","2020-06-15",10.05
"191","2020-06-16",10.045
"192","2020-06-17",10.05
"193","2020-06-18",10.09
"194","2020-06-19",10.105
"195","2020-06-22",10.14
"196","2020-06-23",10.14
"197","2020-06-24",10.16
"198","2020-06-25",10.16
"199","2020-06-26",10.18
"200","2020-06-29",10.2
"201","2020-06-30",10.17
"202","2020-07-01",10.2
"203","2020-07-02",10.37
"204","2020-07-06",10.42
"205","2020-07-07",10.44
"206","2020-07-08",10.29
"207","2020-07-09",10.285
"208","2020-07-10",10.45
"209","2020-07-13",10.362
"210","2020-07-14",10.385
"211","2020-07-15",10.455
"212","2020-07-16",10.455
"213","2020-07-17",10.46
"214","2020-07-20",10.45
"215","2020-07-21",10.59
"216","2020-07-22",10.55
"217","2020-07-23",10.46
"218","2020-07-24",10.6
"219","2020-07-27",10.52
"220","2020-07-28",10.43
"221","2020-07-29",10.32
"222","2020-07-30",10.32
"223","2020-07-31",10.3
"224","2020-08-03",10.4
"225","2020-08-04",10.27
"226","2020-08-05",10.27
"227","2020-08-06",10.27
"228","2020-08-07",10.27
"229","2020-08-10",10.59
"230","2020-08-11",10.6
"231","2020-08-12",10.62
"232","2020-08-13",10.69
"233","2020-08-14",10.75
"234","2020-08-17",10.75
"235","2020-08-18",10.65
"236","2020-08-19",10.53
"237","2020-08-20",10.5
"238","2020-08-21",10.58
"239","2020-08-24",10.45
"240","2020-08-25",10.5
"241","2020-08-26",10.5
"242","2020-08-27",10.57
"243","2020-08-28",10.45
"244","2020-08-31",10.48
"245","2020-09-01",10.75
"246","2020-09-02",10.71
"247","2020-09-03",10.69
"248","2020-09-04",10.75
"249","2020-09-08",10.75
"250","2020-09-09",10.86
"251","2020-09-10",10.98
"252","2020-09-11",10.97
"253","2020-09-14",11
"254","2020-09-15",11.05
"255","2020-09-16",11.2
"256","2020-09-17",11.2
"257","2020-09-18",11.19
"258","2020-09-21",10.99
"259","2020-09-22",11
"260","2020-09-23",10.77
"261","2020-09-24",10.65
"262","2020-09-25",10.82
"263","2020-09-28",11.25
"264","2020-09-29",11.6
"265","2020-09-30",11.75
"266","2020-10-01",10.8
"267","2020-10-02",10.512
"268","2020-10-05",10.33
"269","2020-10-06",10.2
"270","2020-10-07",10.24
"271","2020-10-08",10.35
"272","2020-10-09",10.49
"273","2020-10-12",10.4
"274","2020-10-13",10.47
"275","2020-10-14",10.47
"276","2020-10-15",10.48
"277","2020-10-16",10.41
"278","2020-10-19",10.4
"279","2020-10-20",10.34
"280","2020-10-21",10.24
"281","2020-10-22",10.21
"282","2020-10-23",10.19
"283","2020-10-26",10.11
"284","2020-10-27",10.08
"285","2020-10-28",10.02
"286","2020-10-29",10.06
"287","2020-10-30",10.2
"288","2020-11-02",10.15
"289","2020-11-03",10.17
"290","2020-11-04",10.18
"291","2020-11-05",10.15
"292","2020-11-06",10.1
"293","2020-11-09",10.09
"294","2020-11-10",10.12
"295","2020-11-11",10.14
"296","2020-11-12",10.12
"297","2020-11-13",10.14
"298","2020-11-16",10.13
"299","2020-11-17",10.15
"300","2020-11-18",10.12
"301","2020-11-19",10.22
"302","2020-11-20",10.23
"303","2020-11-23",10.25
"304","2020-11-24",10.24
"305","2020-11-25",10.25
"306","2020-11-27",10.45
