"","date","FRAN"
"539","2013-09-12",232.919998
"540","2013-09-13",236.880005
"541","2013-09-16",233.039993
"542","2013-09-17",232.199997
"543","2013-09-18",240.720001
"544","2013-09-19",233.039993
"545","2013-09-20",233.399994
"546","2013-09-23",230.039993
"547","2013-09-24",228.119995
"548","2013-09-25",228.240005
"549","2013-09-26",228.240005
"550","2013-09-27",227.039993
"551","2013-09-30",223.440002
"552","2013-10-01",223.199997
"553","2013-10-02",221.520004
"554","2013-10-03",220.679993
"555","2013-10-04",222.240005
"556","2013-10-07",216.960007
"557","2013-10-08",213.960007
"558","2013-10-09",211.800003
"559","2013-10-10",211.679993
"560","2013-10-11",200.160004
"561","2013-10-14",207.240005
"562","2013-10-15",199.800003
"563","2013-10-16",200.039993
"564","2013-10-17",204.960007
"565","2013-10-18",215.279999
"566","2013-10-21",210.960007
"567","2013-10-22",212.880005
"568","2013-10-23",212.039993
"569","2013-10-24",215.520004
"570","2013-10-25",213.839996
"571","2013-10-28",214.440002
"572","2013-10-29",216.240005
"573","2013-10-30",216.119995
"574","2013-10-31",215.759995
"575","2013-11-01",217.679993
"576","2013-11-04",218.399994
"577","2013-11-05",209.880005
"578","2013-11-06",211.679993
"579","2013-11-07",215.279999
"580","2013-11-08",221.279999
"581","2013-11-11",231.839996
"582","2013-11-12",228.960007
"583","2013-11-13",230.279999
"584","2013-11-14",232.440002
"585","2013-11-15",238.559998
"586","2013-11-18",233.520004
"587","2013-11-19",234.839996
"588","2013-11-20",235.320007
"589","2013-11-21",240.479996
"590","2013-11-22",239.039993
"591","2013-11-25",240.479996
"592","2013-11-26",228.960007
"593","2013-11-27",234.479996
"594","2013-11-29",235.440002
"595","2013-12-02",226.199997
"596","2013-12-03",218.759995
"597","2013-12-04",217.199997
"598","2013-12-05",205.199997
"599","2013-12-06",204.240005
"600","2013-12-09",204.360001
"601","2013-12-10",205.800003
"602","2013-12-11",203.639999
"603","2013-12-12",205.800003
"604","2013-12-13",203.279999
"605","2013-12-16",210.360001
"606","2013-12-17",213.720001
"607","2013-12-18",217.919998
"608","2013-12-19",210.240005
"609","2013-12-20",213.600006
"610","2013-12-23",218.880005
"611","2013-12-24",219.119995
"612","2013-12-26",218.520004
"613","2013-12-27",219.720001
"614","2013-12-30",221.160004
"615","2013-12-31",220.800003
"616","2014-01-02",218.639999
"617","2014-01-03",219.720001
"618","2014-01-06",224.399994
"619","2014-01-07",220.440002
"620","2014-01-08",223.679993
"621","2014-01-09",216.960007
"622","2014-01-10",270
"623","2014-01-13",254.759995
"624","2014-01-14",253.679993
"625","2014-01-15",250.199997
"626","2014-01-16",250.559998
"627","2014-01-17",244.679993
"628","2014-01-21",243.720001
"629","2014-01-22",246.240005
"630","2014-01-23",244.800003
"631","2014-01-24",235.080002
"632","2014-01-27",234.720001
"633","2014-01-28",245.399994
"634","2014-01-29",230.759995
"635","2014-01-30",229.199997
"636","2014-01-31",228
"637","2014-02-03",217.559998
"638","2014-02-04",218.160004
"639","2014-02-05",213.479996
"640","2014-02-06",224.160004
"641","2014-02-07",227.759995
"642","2014-02-10",222.240005
"643","2014-02-11",221.279999
"644","2014-02-12",217.320007
"645","2014-02-13",219.240005
"646","2014-02-14",215.880005
"647","2014-02-18",217.440002
"648","2014-02-19",216.960007
"649","2014-02-20",215.160004
"650","2014-02-21",215.639999
"651","2014-02-24",217.320007
"652","2014-02-25",218.279999
"653","2014-02-26",227.520004
"654","2014-02-27",236.520004
"655","2014-02-28",234.839996
"656","2014-03-03",238.559998
"657","2014-03-04",245.160004
"658","2014-03-05",242.039993
"659","2014-03-06",241.199997
"660","2014-03-07",245.759995
"661","2014-03-10",249.479996
"662","2014-03-11",247.679993
"663","2014-03-12",240.960007
"664","2014-03-13",238.919998
"665","2014-03-14",244.320007
"666","2014-03-17",242.759995
"667","2014-03-18",245.639999
