"","date","OMEX"
"410","2008-08-18",58.68
"411","2008-08-19",57.959999
"412","2008-08-20",58.919998
"413","2008-08-21",58.080002
"414","2008-08-22",57.48
"415","2008-08-25",55.919998
"416","2008-08-26",57.119999
"417","2008-08-27",59.16
"418","2008-08-28",60.84
"419","2008-08-29",59.880001
"420","2008-09-02",58.68
"421","2008-09-03",57.599998
"422","2008-09-04",55.439999
"423","2008-09-05",53.279999
"424","2008-09-08",57.360001
"425","2008-09-09",57.240002
"426","2008-09-10",57.599998
"427","2008-09-11",58.68
"428","2008-09-12",57.599998
"429","2008-09-15",56.400002
"430","2008-09-16",57.360001
"431","2008-09-17",55.439999
"432","2008-09-18",62.639999
"433","2008-09-19",62.16
"434","2008-09-22",59.16
"435","2008-09-23",59.639999
"436","2008-09-24",59.279999
"437","2008-09-25",57.959999
"438","2008-09-26",56.880001
"439","2008-09-29",54.720001
"440","2008-09-30",54.48
"441","2008-10-01",52.560001
"442","2008-10-02",51.720001
"443","2008-10-03",48.720001
"444","2008-10-06",47.880001
"445","2008-10-07",48.360001
"446","2008-10-08",47.400002
"447","2008-10-09",41.759998
"448","2008-10-10",48.599998
"449","2008-10-13",49.68
"450","2008-10-14",48.84
"451","2008-10-15",44.16
"452","2008-10-16",46.799999
"453","2008-10-17",44.400002
"454","2008-10-20",45.119999
"455","2008-10-21",44.400002
"456","2008-10-22",39.240002
"457","2008-10-23",38.880001
"458","2008-10-24",38.400002
"459","2008-10-27",38.400002
"460","2008-10-28",39.720001
"461","2008-10-29",40.439999
"462","2008-10-30",40.919998
"463","2008-10-31",45.360001
"464","2008-11-03",45.599998
"465","2008-11-04",46.200001
"466","2008-11-05",43.560001
"467","2008-11-06",43.68
"468","2008-11-07",44.880001
"469","2008-11-10",44.279999
"470","2008-11-11",45
"471","2008-11-12",42.360001
"472","2008-11-13",42.48
"473","2008-11-14",40.200001
"474","2008-11-17",39.240002
"475","2008-11-18",40.439999
"476","2008-11-19",35.400002
"477","2008-11-20",36.119999
"478","2008-11-21",36.119999
"479","2008-11-24",37.799999
"480","2008-11-25",37.799999
"481","2008-11-26",37.799999
"482","2008-11-28",39.48
"483","2008-12-01",33.48
"484","2008-12-02",36
"485","2008-12-03",35.759998
"486","2008-12-04",34.32
"487","2008-12-05",33.720001
"488","2008-12-08",35.400002
"489","2008-12-09",34.200001
"490","2008-12-10",35.040001
"491","2008-12-11",34.200001
"492","2008-12-12",35.16
"493","2008-12-15",34.32
"494","2008-12-16",36
"495","2008-12-17",36
"496","2008-12-18",36
"497","2008-12-19",32.279999
"498","2008-12-22",34.080002
"499","2008-12-23",34.560001
"500","2008-12-24",34.560001
"501","2008-12-26",33.48
"502","2008-12-29",33.720001
"503","2008-12-30",34.799999
"504","2008-12-31",38.639999
"505","2009-01-02",43.560001
"506","2009-01-05",45
"507","2009-01-06",44.52
"508","2009-01-07",42.959999
"509","2009-01-08",44.52
"510","2009-01-09",42.48
"511","2009-01-12",41.52
"512","2009-01-13",42.240002
"513","2009-01-14",42
"514","2009-01-15",43.080002
"515","2009-01-16",42.119999
"516","2009-01-20",41.639999
"517","2009-01-21",40.799999
"518","2009-01-22",39.48
"519","2009-01-23",38.639999
"520","2009-01-26",39.720001
"521","2009-01-27",40.439999
"522","2009-01-28",40.560001
"523","2009-01-29",42.720001
"524","2009-01-30",47.400002
"525","2009-02-02",50.400002
"526","2009-02-03",52.200001
"527","2009-02-04",51.360001
"528","2009-02-05",51.720001
"529","2009-02-06",52.200001
"530","2009-02-09",52.080002
"531","2009-02-10",49.919998
"532","2009-02-11",49.560001
