"","date","SY"
"138","2019-11-14",11.79
"139","2019-11-15",12.02
"140","2019-11-18",12.03
"141","2019-11-19",12
"142","2019-11-20",12.02
"143","2019-11-21",12
"144","2019-11-22",11.91
"145","2019-11-25",12.15
"146","2019-11-26",11.95
"147","2019-11-27",11.84
"148","2019-11-29",12.32
"149","2019-12-02",12.1
"150","2019-12-03",12.38
"151","2019-12-04",12.47
"152","2019-12-05",12.06
"153","2019-12-06",12.2
"154","2019-12-09",11.96
"155","2019-12-10",11.93
"156","2019-12-11",11.98
"157","2019-12-12",12
"158","2019-12-13",12.67
"159","2019-12-16",12.47
"160","2019-12-17",12.66
"161","2019-12-18",12.43
"162","2019-12-19",12.45
"163","2019-12-20",12.51
"164","2019-12-23",12.33
"165","2019-12-24",12.17
"166","2019-12-26",12.21
"167","2019-12-27",11.93
"168","2019-12-30",11.88
"169","2019-12-31",12.22
"170","2020-01-02",12.13
"171","2020-01-03",12.59
"172","2020-01-06",13.4
"173","2020-01-07",14.14
"174","2020-01-08",14.18
"175","2020-01-09",14.07
"176","2020-01-10",13.95
"177","2020-01-13",14.45
"178","2020-01-14",14.4
"179","2020-01-15",14.4
"180","2020-01-16",14.6
"181","2020-01-17",14.77
"182","2020-01-21",14.39
"183","2020-01-22",14.46
"184","2020-01-23",13.8
"185","2020-01-24",13.15
"186","2020-01-27",12.67
"187","2020-01-28",12.72
"188","2020-01-29",12.73
"189","2020-01-30",12.55
"190","2020-01-31",12.15
"191","2020-02-03",12.39
"192","2020-02-04",13.01
"193","2020-02-05",13.11
"194","2020-02-06",13.34
"195","2020-02-07",12.61
"196","2020-02-10",12.96
"197","2020-02-11",13.14
"198","2020-02-12",13.63
"199","2020-02-13",13.78
"200","2020-02-14",13.4
"201","2020-02-18",12.68
"202","2020-02-19",13.1
"203","2020-02-20",13.14
"204","2020-02-21",12.87
"205","2020-02-24",12.71
"206","2020-02-25",12.2
"207","2020-02-26",12.59
"208","2020-02-27",12.55
"209","2020-02-28",12.05
"210","2020-03-02",12.49
"211","2020-03-03",12.25
"212","2020-03-04",12.4
"213","2020-03-05",12.22
"214","2020-03-06",11.58
"215","2020-03-09",10.85
"216","2020-03-10",10.95
"217","2020-03-11",10.24
"218","2020-03-12",9.09
"219","2020-03-13",9.23
"220","2020-03-16",8.73
"221","2020-03-17",9.2
"222","2020-03-18",8.92
"223","2020-03-19",8.87
"224","2020-03-20",8.69
"225","2020-03-23",8.72
"226","2020-03-24",9.8
"227","2020-03-25",10.42
"228","2020-03-26",10.39
"229","2020-03-27",10
"230","2020-03-30",9.74
"231","2020-03-31",10.24
"232","2020-04-01",10.06
"233","2020-04-02",9.82
"234","2020-04-03",9.85
"235","2020-04-06",10.24
"236","2020-04-07",9.98
"237","2020-04-08",9.89
"238","2020-04-09",9.88
"239","2020-04-13",10.39
"240","2020-04-14",10.68
"241","2020-04-15",10.56
"242","2020-04-16",10.87
"243","2020-04-17",10.77
"244","2020-04-20",10.32
"245","2020-04-21",10.17
"246","2020-04-22",10.29
"247","2020-04-23",10.1
"248","2020-04-24",10.09
"249","2020-04-27",10.7
"250","2020-04-28",10.11
"251","2020-04-29",10.48
"252","2020-04-30",10.37
"253","2020-05-01",10.08
"254","2020-05-04",9.87
"255","2020-05-05",9.97
"256","2020-05-06",10.16
"257","2020-05-07",10.17
"258","2020-05-08",10.46
"259","2020-05-11",10.67
"260","2020-05-12",10.57
"261","2020-05-13",9.99
"262","2020-05-14",10.1
"263","2020-05-15",10.98
"264","2020-05-18",10.73
"265","2020-05-19",11.14
"266","2020-05-20",11.18
"267","2020-05-21",10.2
"268","2020-05-22",9.65
"269","2020-05-26",9.77
"270","2020-05-27",9.72
"271","2020-05-28",9.53
"272","2020-05-29",9.25
"273","2020-06-01",9.53
"274","2020-06-02",9.9
"275","2020-06-03",10.29
"276","2020-06-04",10.11
"277","2020-06-05",9.93
"278","2020-06-08",10.22
"279","2020-06-09",10.34
"280","2020-06-10",10.37
"281","2020-06-11",10.23
"282","2020-06-12",9.76
"283","2020-06-15",9.99
"284","2020-06-16",10.1
"285","2020-06-17",10.55
"286","2020-06-18",10.39
"287","2020-06-19",11.28
"288","2020-06-22",12.61
"289","2020-06-23",12.73
"290","2020-06-24",12.95
"291","2020-06-25",13.67
"292","2020-06-26",14.1
"293","2020-06-29",13.56
"294","2020-06-30",13.57
"295","2020-07-01",13.79
"296","2020-07-02",14.76
"297","2020-07-06",14.63
"298","2020-07-07",14.11
"299","2020-07-08",14.52
"300","2020-07-09",15.32
"301","2020-07-10",14.12
"302","2020-07-13",13.61
"303","2020-07-14",13.38
"304","2020-07-15",13.37
"305","2020-07-16",12.38
"306","2020-07-17",12.31
"307","2020-07-20",13.12
"308","2020-07-21",14.44
"309","2020-07-22",13.95
"310","2020-07-23",13.65
"311","2020-07-24",13.66
"312","2020-07-27",13.89
"313","2020-07-28",13.51
"314","2020-07-29",13.76
"315","2020-07-30",14.18
"316","2020-07-31",14.33
"317","2020-08-03",14.37
"318","2020-08-04",14.34
"319","2020-08-05",14.9
"320","2020-08-06",14.26
"321","2020-08-07",13.39
"322","2020-08-10",13.24
"323","2020-08-11",12.78
"324","2020-08-12",12.71
"325","2020-08-13",11.91
"326","2020-08-14",11.99
"327","2020-08-17",12.59
"328","2020-08-18",12.99
"329","2020-08-19",12.72
"330","2020-08-20",13.09
"331","2020-08-21",13.01
"332","2020-08-24",12.45
"333","2020-08-25",11.9
"334","2020-08-26",11.76
"335","2020-08-27",11.69
"336","2020-08-28",12.57
"337","2020-08-31",12.19
"338","2020-09-01",12.02
"339","2020-09-02",11.87
"340","2020-09-03",11.77
"341","2020-09-04",12.07
"342","2020-09-08",12.36
"343","2020-09-09",12.34
"344","2020-09-10",11.83
"345","2020-09-11",12.07
"346","2020-09-14",12.37
"347","2020-09-15",12.83
"348","2020-09-16",12.48
"349","2020-09-17",12.29
"350","2020-09-18",12.71
"351","2020-09-21",12.54
"352","2020-09-22",12.03
"353","2020-09-23",11.75
"354","2020-09-24",11.83
"355","2020-09-25",11.76
"356","2020-09-28",12.07
"357","2020-09-29",11.98
"358","2020-09-30",12.49
"359","2020-10-01",12.52
"360","2020-10-02",12.31
"361","2020-10-05",12.31
"362","2020-10-06",12.29
"363","2020-10-07",12.36
"364","2020-10-08",12.54
"365","2020-10-09",12.97
"366","2020-10-12",12.53
"367","2020-10-13",12.23
"368","2020-10-14",12.34
"369","2020-10-15",12.16
"370","2020-10-16",12.94
"371","2020-10-19",12.8
"372","2020-10-20",12.83
"373","2020-10-21",12.75
"374","2020-10-22",12.89
"375","2020-10-23",12.2
"376","2020-10-26",12.06
"377","2020-10-27",12.2
"378","2020-10-28",12
"379","2020-10-29",12.01
"380","2020-10-30",11.67
"381","2020-11-02",12.2
"382","2020-11-03",11.34
"383","2020-11-04",12.03
"384","2020-11-05",11.78
"385","2020-11-06",11.99
"386","2020-11-09",12.01
"387","2020-11-10",11.89
"388","2020-11-11",12.09
"389","2020-11-12",12.33
"390","2020-11-13",13.21
"391","2020-11-16",13.6
"392","2020-11-17",12.9
"393","2020-11-18",12.85
"394","2020-11-19",13.2
"395","2020-11-20",14.48
"396","2020-11-23",15.13
"397","2020-11-24",15.2
"398","2020-11-25",13.77
"399","2020-11-27",13.64
