"","date","PTAC"
"135","2020-07-24",10.802
"136","2020-07-27",10.8
"137","2020-07-28",10.8
"138","2020-07-29",10.75
"139","2020-07-30",10.47
"140","2020-07-31",10.26
"141","2020-08-03",10.3
"142","2020-08-04",10.45
"143","2020-08-05",10.5
"144","2020-08-06",10.47
"145","2020-08-07",10.42
"146","2020-08-10",10.45
"147","2020-08-11",10.43
"148","2020-08-12",10.45
"149","2020-08-13",10.47
"150","2020-08-14",10.46
"151","2020-08-17",10.4
"152","2020-08-18",10.5
"153","2020-08-19",10.4
"154","2020-08-20",10.33
"155","2020-08-21",10.375
"156","2020-08-24",10.37
"157","2020-08-25",10.39
"158","2020-08-26",10.385
"159","2020-08-27",10.385
"160","2020-08-28",10.46
"161","2020-08-31",10.44
"162","2020-09-01",10.4
"163","2020-09-02",10.6
"164","2020-09-03",10.5
"165","2020-09-04",10.6
"166","2020-09-08",10.68
"167","2020-09-09",10.615
"168","2020-09-10",10.47
"169","2020-09-11",10.41
"170","2020-09-14",10.46
"171","2020-09-15",10.74
"172","2020-09-16",10.66
"173","2020-09-17",10.84
"174","2020-09-18",10.81
"175","2020-09-21",10.87
"176","2020-09-22",10.84
"177","2020-09-23",10.79
"178","2020-09-24",10.75
"179","2020-09-25",10.88
"180","2020-09-28",10.75
"181","2020-09-29",10.82
"182","2020-09-30",11.13
"183","2020-10-01",10.85
"184","2020-10-02",10.79
"185","2020-10-05",10.74
"186","2020-10-06",10.62
"187","2020-10-07",10.48
"188","2020-10-08",10.25
"189","2020-10-09",10.56
"190","2020-10-12",10.5
"191","2020-10-13",10.45
"192","2020-10-14",10.45
"193","2020-10-15",10.458
"194","2020-10-16",10.8
"195","2020-10-19",10.75
"196","2020-10-20",10.7
"197","2020-10-21",10.7
"198","2020-10-22",10.64
"199","2020-10-23",10.45
"200","2020-10-26",10.2
"201","2020-10-27",10.31
"202","2020-10-28",10.2
"203","2020-10-29",10.13
"204","2020-10-30",10.06
"205","2020-11-02",10.2
"206","2020-11-03",10.1
"207","2020-11-04",10.06
"208","2020-11-05",10.195
"209","2020-11-06",10.3
"210","2020-11-09",10.12
"211","2020-11-10",10.11
"212","2020-11-11",10.1
"213","2020-11-12",10.05
"214","2020-11-13",10.08
"215","2020-11-16",10.12
"216","2020-11-17",10.09
"217","2020-11-18",10.22
"218","2020-11-19",10.12
"219","2020-11-20",10.29
"220","2020-11-23",10.25
"221","2020-11-24",10.4
"222","2020-11-25",10.5
"223","2020-11-27",10.65
