"","date","NIO"
"336","2020-01-13",3.7
"337","2020-01-14",3.76
"338","2020-01-15",4.29
"339","2020-01-16",4.37
"340","2020-01-17",4.67
"341","2020-01-21",5.17
"342","2020-01-22",4.79
"343","2020-01-23",4.92
"344","2020-01-24",4.66
"345","2020-01-27",4.01
"346","2020-01-28",4.21
"347","2020-01-29",4.27
"348","2020-01-30",4.08
"349","2020-01-31",3.78
"350","2020-02-03",4.06
"351","2020-02-04",4.51
"352","2020-02-05",4.39
"353","2020-02-06",4.08
"354","2020-02-07",3.81
"355","2020-02-10",3.87
"356","2020-02-11",3.96
"357","2020-02-12",4.07
"358","2020-02-13",4.03
"359","2020-02-14",3.77
"360","2020-02-18",3.8
"361","2020-02-19",4.08
"362","2020-02-20",4.26
"363","2020-02-21",4.08
"364","2020-02-24",3.88
"365","2020-02-25",4.4
"366","2020-02-26",4.34
"367","2020-02-27",4.14
"368","2020-02-28",4.13
"369","2020-03-02",4.11
"370","2020-03-03",4.06
"371","2020-03-04",3.87
"372","2020-03-05",3.72
"373","2020-03-06",3.55
"374","2020-03-09",3.29
"375","2020-03-10",3.5
"376","2020-03-11",3.32
"377","2020-03-12",3.13
"378","2020-03-13",3.11
"379","2020-03-16",2.94
"380","2020-03-17",2.9
"381","2020-03-18",2.43
"382","2020-03-19",2.38
"383","2020-03-20",2.4
"384","2020-03-23",2.37
"385","2020-03-24",2.6
"386","2020-03-25",2.76
"387","2020-03-26",2.93
"388","2020-03-27",2.84
"389","2020-03-30",2.71
"390","2020-03-31",2.78
"391","2020-04-01",2.65
"392","2020-04-02",2.39
"393","2020-04-03",2.4
"394","2020-04-06",2.47
"395","2020-04-07",2.7
"396","2020-04-08",2.74
"397","2020-04-09",2.67
"398","2020-04-13",2.97
"399","2020-04-14",3.01
"400","2020-04-15",3.2
"401","2020-04-16",3.25
"402","2020-04-17",3.21
"403","2020-04-20",3.19
"404","2020-04-21",3.02
"405","2020-04-22",3.09
"406","2020-04-23",3.06
"407","2020-04-24",2.94
"408","2020-04-27",3.24
"409","2020-04-28",3.34
"410","2020-04-29",3.61
"411","2020-04-30",3.41
"412","2020-05-01",3.18
"413","2020-05-04",3.34
"414","2020-05-05",3.28
"415","2020-05-06",3.62
"416","2020-05-07",3.63
"417","2020-05-08",3.77
"418","2020-05-11",3.74
"419","2020-05-12",3.62
"420","2020-05-13",3.44
"421","2020-05-14",3.45
"422","2020-05-15",3.37
"423","2020-05-18",3.61
"424","2020-05-19",3.69
"425","2020-05-20",3.48
"426","2020-05-21",3.33
"427","2020-05-22",3.27
"428","2020-05-26",3.82
"429","2020-05-27",4.17
"430","2020-05-28",3.83
"431","2020-05-29",3.98
"432","2020-06-01",4.26
"433","2020-06-02",4.7
"434","2020-06-03",5.6
"435","2020-06-04",5.97
"436","2020-06-05",5.59
"437","2020-06-08",5.97
"438","2020-06-09",6.68
"439","2020-06-10",6.3
"440","2020-06-11",5.91
"441","2020-06-12",6.1
"442","2020-06-15",6.83
"443","2020-06-16",6.99
"444","2020-06-17",6.84
"445","2020-06-18",7.18
"446","2020-06-19",7.34
"447","2020-06-22",7.43
"448","2020-06-23",7.23
"449","2020-06-24",6.86
"450","2020-06-25",7.08
"451","2020-06-26",6.9
"452","2020-06-29",7.23
"453","2020-06-30",7.72
"454","2020-07-01",7.91
"455","2020-07-02",9.38
"456","2020-07-06",11.51
"457","2020-07-07",13.22
"458","2020-07-08",12.88
"459","2020-07-09",14.57
"460","2020-07-10",14.98
"461","2020-07-13",13.84
"462","2020-07-14",14.09
"463","2020-07-15",13.52
"464","2020-07-16",12.94
"465","2020-07-17",11.09
"466","2020-07-20",12.82
"467","2020-07-21",12.88
"468","2020-07-22",12.38
"469","2020-07-23",12.15
"470","2020-07-24",11.82
"471","2020-07-27",11.69
"472","2020-07-28",12.27
"473","2020-07-29",12.7
"474","2020-07-30",12.2
"475","2020-07-31",11.94
"476","2020-08-03",13.6
"477","2020-08-04",13.64
"478","2020-08-05",13.92
"479","2020-08-06",13.84
"480","2020-08-07",13.42
"481","2020-08-10",14.21
"482","2020-08-11",12.99
"483","2020-08-12",13.36
"484","2020-08-13",13.36
"485","2020-08-14",13.1
"486","2020-08-17",14.05
"487","2020-08-18",14.3
"488","2020-08-19",14.06
"489","2020-08-20",13.78
"490","2020-08-21",14.12
"491","2020-08-24",14.97
"492","2020-08-25",17.84
"493","2020-08-26",20.440001
"494","2020-08-27",19.879999
"495","2020-08-28",18.5
"496","2020-08-31",19.030001
"497","2020-09-01",20.120001
"498","2020-09-02",19.9
"499","2020-09-03",18.700001
