"","date","CVEO"
"348","2015-10-02",20.280001
"349","2015-10-05",21.959999
"350","2015-10-06",23.4
"351","2015-10-07",23.639999
"352","2015-10-08",24.120001
"353","2015-10-09",25.92
"354","2015-10-12",23.879999
"355","2015-10-13",25.08
"356","2015-10-14",23.280001
"357","2015-10-15",24.84
"358","2015-10-16",24.360001
"359","2015-10-19",23.4
"360","2015-10-20",24.719999
"361","2015-10-21",23.76
"362","2015-10-22",24.24
"363","2015-10-23",24.719999
"364","2015-10-26",23.4
"365","2015-10-27",21.6
"366","2015-10-28",23.040001
"367","2015-10-29",21.84
"368","2015-10-30",22.32
"369","2015-11-02",23.52
"370","2015-11-03",26.040001
"371","2015-11-04",26.4
"372","2015-11-05",25.559999
"373","2015-11-06",25.799999
"374","2015-11-09",25.08
"375","2015-11-10",24.719999
"376","2015-11-11",23.76
"377","2015-11-12",23.4
"378","2015-11-13",23.280001
"379","2015-11-16",24.48
"380","2015-11-17",23.76
"381","2015-11-18",24.6
"382","2015-11-19",23.76
"383","2015-11-20",23.4
"384","2015-11-23",23.639999
"385","2015-11-24",23.76
"386","2015-11-25",23.76
"387","2015-11-27",24
"388","2015-11-30",23.280001
"389","2015-12-01",23.52
"390","2015-12-02",22.92
"391","2015-12-03",22.440001
"392","2015-12-04",20.4
"393","2015-12-07",17.16
"394","2015-12-08",18
"395","2015-12-09",17.040001
"396","2015-12-10",18.48
"397","2015-12-11",17.76
"398","2015-12-14",15.72
"399","2015-12-15",16.799999
"400","2015-12-16",16.200001
"401","2015-12-17",16.68
"402","2015-12-18",17.52
"403","2015-12-21",17.040001
"404","2015-12-22",17.879999
"405","2015-12-23",18.959999
"406","2015-12-24",20.040001
"407","2015-12-28",19.200001
"408","2015-12-29",19.440001
"409","2015-12-30",18.48
"410","2015-12-31",17.040001
"411","2016-01-04",17.639999
"412","2016-01-05",17.52
"413","2016-01-06",16.200001
"414","2016-01-07",15.12
"415","2016-01-08",14.76
"416","2016-01-11",13.68
"417","2016-01-12",12.96
"418","2016-01-13",12
"419","2016-01-14",12.96
"420","2016-01-15",12.36
"421","2016-01-19",11.292
"422","2016-01-20",10.32
"423","2016-01-21",11.232
"424","2016-01-22",11.424
"425","2016-01-25",10.404
"426","2016-01-26",10.86
"427","2016-01-27",10.74
"428","2016-01-28",12.84
"429","2016-01-29",12.96
"430","2016-02-01",13.44
"431","2016-02-02",13.2
"432","2016-02-03",13.92
"433","2016-02-04",14.28
"434","2016-02-05",13.2
"435","2016-02-08",11.88
"436","2016-02-09",10.596
"437","2016-02-10",9.6
