"","date","ARTL"
"90","2019-10-28",2.48
"91","2019-10-29",2.34
"92","2019-10-30",2
"93","2019-10-31",1.99
"94","2019-11-01",2.06
"95","2019-11-04",2.25
"96","2019-11-05",2.165
"97","2019-11-06",2.05
"98","2019-11-07",2
"99","2019-11-08",2.233
"100","2019-11-11",2.126
"101","2019-11-12",2.12
"102","2019-11-13",2.15
"103","2019-11-14",2.144
"104","2019-11-15",2.06
"105","2019-11-18",2.09
"106","2019-11-19",2.1
"107","2019-11-20",2.08
"108","2019-11-21",2.2
"109","2019-11-22",2.83
"110","2019-11-25",2.6
"111","2019-11-26",2.415
"112","2019-11-27",2.47
"113","2019-11-29",2.438
"114","2019-12-02",2.36
"115","2019-12-03",2.448
"116","2019-12-04",2.34
"117","2019-12-05",2.54
"118","2019-12-06",2.65
"119","2019-12-09",2.617
"120","2019-12-10",2.45
"121","2019-12-11",2.2
"122","2019-12-12",2.21
"123","2019-12-13",2.115
"124","2019-12-16",2.015
"125","2019-12-17",2.04
"126","2019-12-18",2.08
"127","2019-12-19",2.21
"128","2019-12-20",2.5
"129","2019-12-23",2.52
"130","2019-12-24",2.5
"131","2019-12-26",2.835
"132","2019-12-27",2.87
"133","2019-12-30",2.97
"134","2019-12-31",2.7
"135","2020-01-02",2.767
"136","2020-01-03",2.61
"137","2020-01-06",2.43
"138","2020-01-07",2.45
"139","2020-01-08",2.42
"140","2020-01-09",2.55
"141","2020-01-10",2.605
"142","2020-01-13",2.76
"143","2020-01-14",2.63
"144","2020-01-15",2.325
"145","2020-01-16",2.349
"146","2020-01-17",2.35
"147","2020-01-21",2.4
"148","2020-01-22",2.42
"149","2020-01-23",2.3
"150","2020-01-24",2.29
"151","2020-01-27",2.19
"152","2020-01-28",2.171
"153","2020-01-29",2.11
"154","2020-01-30",2.154
"155","2020-01-31",2.03
"156","2020-02-03",2.75
"157","2020-02-04",2.2
"158","2020-02-05",2.14
"159","2020-02-06",2.05
"160","2020-02-07",2.02
"161","2020-02-10",1.71
"162","2020-02-11",1.42
"163","2020-02-12",1.45
"164","2020-02-13",1.46
"165","2020-02-14",1.55
"166","2020-02-18",1.565
"167","2020-02-19",1.58
"168","2020-02-20",1.5
"169","2020-02-21",1.49
"170","2020-02-24",1.48
"171","2020-02-25",1.3
"172","2020-02-26",1.23
"173","2020-02-27",1.144
"174","2020-02-28",1.07
"175","2020-03-02",1.335
"176","2020-03-03",1.203
"177","2020-03-04",1.16
"178","2020-03-05",1.15
"179","2020-03-06",1.197
"180","2020-03-09",1
"181","2020-03-10",1.091
"182","2020-03-11",1.01
"183","2020-03-12",0.85
"184","2020-03-13",0.844
"185","2020-03-16",0.69
"186","2020-03-17",0.66
"187","2020-03-18",0.673
"188","2020-03-19",0.67
"189","2020-03-20",0.78
"190","2020-03-23",0.925
"191","2020-03-24",0.88
"192","2020-03-25",1.13
"193","2020-03-26",1.105
"194","2020-03-27",1.05
"195","2020-03-30",0.969
"196","2020-03-31",0.96
"197","2020-04-01",0.935
"198","2020-04-02",0.86
"199","2020-04-03",0.82
"200","2020-04-06",0.897
"201","2020-04-07",0.936
"202","2020-04-08",0.97
"203","2020-04-09",1.01
"204","2020-04-13",1.05
"205","2020-04-14",1.38
"206","2020-04-15",1.17
"207","2020-04-16",1.13
"208","2020-04-17",1.16
"209","2020-04-20",1.18
"210","2020-04-21",1.07
"211","2020-04-22",1.19
"212","2020-04-23",1.19
"213","2020-04-24",1.15
"214","2020-04-27",1.21
"215","2020-04-28",1.153
"216","2020-04-29",1.25
"217","2020-04-30",1.18
"218","2020-05-01",1.182
"219","2020-05-04",1.27
"220","2020-05-05",1.32
"221","2020-05-06",1.33
"222","2020-05-07",1.37
"223","2020-05-08",1.31
"224","2020-05-11",1.35
"225","2020-05-12",1.22
"226","2020-05-13",1.22
"227","2020-05-14",1.1
"228","2020-05-15",1.2
"229","2020-05-18",1.17
"230","2020-05-19",1.22
"231","2020-05-20",1.19
"232","2020-05-21",1.21
"233","2020-05-22",1.3
"234","2020-05-26",1.32
"235","2020-05-27",1.43
"236","2020-05-28",1.33
"237","2020-05-29",1.28
"238","2020-06-01",1.2
"239","2020-06-02",1.63
"240","2020-06-03",1.37
"241","2020-06-04",1.26
"242","2020-06-05",1.31
"243","2020-06-08",1.36
"244","2020-06-09",1.38
"245","2020-06-10",1.33
"246","2020-06-11",1.23
"247","2020-06-12",1.26
"248","2020-06-15",1.26
"249","2020-06-16",1.24
"250","2020-06-17",1.38
"251","2020-06-18",1.52
"252","2020-06-19",1.5
"253","2020-06-22",1.39
"254","2020-06-23",1.415
"255","2020-06-24",1.39
"256","2020-06-25",1.34
"257","2020-06-26",1.305
"258","2020-06-29",1.25
"259","2020-06-30",1.21
"260","2020-07-01",1.25
"261","2020-07-02",1.27
"262","2020-07-06",1.26
"263","2020-07-07",1.25
"264","2020-07-08",1.24
"265","2020-07-09",1.21
"266","2020-07-10",1.245
"267","2020-07-13",1.25
"268","2020-07-14",1.1
"269","2020-07-15",1.08
"270","2020-07-16",1.28
"271","2020-07-17",1.248
"272","2020-07-20",1.2
"273","2020-07-21",1.25
"274","2020-07-22",1.2
"275","2020-07-23",1.19
"276","2020-07-24",1.15
"277","2020-07-27",1.13
"278","2020-07-28",1.13
"279","2020-07-29",1.11
"280","2020-07-30",1.17
"281","2020-07-31",1.15
"282","2020-08-03",1.17
"283","2020-08-04",1.17
"284","2020-08-05",1.2
"285","2020-08-06",1.25
"286","2020-08-07",1.25
"287","2020-08-10",1.23
"288","2020-08-11",1.18
"289","2020-08-12",1.23
"290","2020-08-13",1.13
"291","2020-08-14",1.15
"292","2020-08-17",1.11
"293","2020-08-18",1.12
"294","2020-08-19",1.09
"295","2020-08-20",0.935
"296","2020-08-21",0.94
"297","2020-08-24",0.886
"298","2020-08-25",0.88
"299","2020-08-26",1.1
"300","2020-08-27",0.98
"301","2020-08-28",0.99
"302","2020-08-31",0.96
"303","2020-09-01",0.93
"304","2020-09-02",0.8
"305","2020-09-03",0.775
"306","2020-09-04",0.74
"307","2020-09-08",0.898
"308","2020-09-09",1.04
"309","2020-09-10",0.94
"310","2020-09-11",0.89
"311","2020-09-14",0.881
"312","2020-09-15",0.88
"313","2020-09-16",0.898
"314","2020-09-17",0.88
"315","2020-09-18",0.85
"316","2020-09-21",0.86
"317","2020-09-22",0.8
"318","2020-09-23",0.796
"319","2020-09-24",0.712
"320","2020-09-25",0.71
"321","2020-09-28",0.8
"322","2020-09-29",0.89
"323","2020-09-30",0.993
"324","2020-10-01",0.9
"325","2020-10-02",0.86
"326","2020-10-05",1.09
"327","2020-10-06",1.01
"328","2020-10-07",0.95
"329","2020-10-08",0.91
"330","2020-10-09",0.862
"331","2020-10-12",0.802
"332","2020-10-13",0.799
"333","2020-10-14",0.778
"334","2020-10-15",0.653
"335","2020-10-16",0.627
"336","2020-10-19",0.627
"337","2020-10-20",0.603
"338","2020-10-21",0.585
"339","2020-10-22",0.58
"340","2020-10-23",0.57
"341","2020-10-26",0.59
"342","2020-10-27",0.565
"343","2020-10-28",0.516
"344","2020-10-29",0.5
"345","2020-10-30",0.458
"346","2020-11-02",0.482
"347","2020-11-03",0.51
"348","2020-11-04",0.52
"349","2020-11-05",0.487
"350","2020-11-06",0.561
"351","2020-11-09",0.525
"352","2020-11-10",0.51
"353","2020-11-11",0.52
"354","2020-11-12",0.529
"355","2020-11-13",0.52
"356","2020-11-16",0.541
"357","2020-11-17",0.523
"358","2020-11-18",0.549
"359","2020-11-19",0.583
"360","2020-11-20",0.598
"361","2020-11-23",0.577
"362","2020-11-24",0.556
"363","2020-11-25",0.565
"364","2020-11-27",0.6
