"","date","MDIA"
"170","2020-09-04",3.36
"171","2020-09-08",3.04
"172","2020-09-09",3.23
"173","2020-09-10",3.14
"174","2020-09-11",3.13
"175","2020-09-14",3.085
"176","2020-09-15",3.31
"177","2020-09-16",3.23
"178","2020-09-17",3.13
"179","2020-09-18",3.14
"180","2020-09-21",3.135
"181","2020-09-22",2.87
"182","2020-09-23",2.64
"183","2020-09-24",2.295
"184","2020-09-25",2.58
"185","2020-09-28",2.73
"186","2020-09-29",2.52
"187","2020-09-30",2.63
"188","2020-10-01",2.74
"189","2020-10-02",2.91
"190","2020-10-05",2.84
"191","2020-10-06",2.76
"192","2020-10-07",2.97
"193","2020-10-08",2.98
"194","2020-10-09",2.98
"195","2020-10-12",3.02
"196","2020-10-13",2.9
"197","2020-10-14",3.14
"198","2020-10-15",3.17
"199","2020-10-16",2.99
"200","2020-10-19",2.87
"201","2020-10-20",3.02
"202","2020-10-21",3.1
"203","2020-10-22",3.29
"204","2020-10-23",3.08
"205","2020-10-26",2.85
"206","2020-10-27",2.83
"207","2020-10-28",2.43
"208","2020-10-29",2.46
"209","2020-10-30",2.66
"210","2020-11-02",2.7
"211","2020-11-03",2.82
"212","2020-11-04",2.89
"213","2020-11-05",2.79
"214","2020-11-06",2.67
"215","2020-11-09",2.52
"216","2020-11-10",2.62
"217","2020-11-11",2.7
"218","2020-11-12",2.69
"219","2020-11-13",2.69
"220","2020-11-16",2.67
"221","2020-11-17",2.64
"222","2020-11-18",2.6
"223","2020-11-19",2.55
"224","2020-11-20",2.57
"225","2020-11-23",2.51
"226","2020-11-24",2.52
"227","2020-11-25",2.51
"228","2020-11-27",2.5
