"","date","ZVO"
"127","2019-10-14",1.52
"128","2019-10-15",1.57
"129","2019-10-16",1.5
"130","2019-10-17",1.55
"131","2019-10-18",1.58
"132","2019-10-21",1.54
"133","2019-10-22",1.44
"134","2019-10-23",1.48
"135","2019-10-24",1.44
"136","2019-10-25",1.39
"137","2019-10-28",1.6
"138","2019-10-29",1.51
"139","2019-10-30",1.55
"140","2019-10-31",1.96
"141","2019-11-01",2.08
"142","2019-11-04",2.24
"143","2019-11-05",2.59
"144","2019-11-06",2.4
"145","2019-11-07",2.38
"146","2019-11-08",2.29
"147","2019-11-11",2.26
"148","2019-11-12",2.28
"149","2019-11-13",2.25
"150","2019-11-14",2.41
"151","2019-11-15",2.41
"152","2019-11-18",2.21
"153","2019-11-19",2.17
"154","2019-11-20",2.1
"155","2019-11-21",2.06
"156","2019-11-22",2.11
"157","2019-11-25",2.2
"158","2019-11-26",2.13
"159","2019-11-27",2.1
"160","2019-11-29",2.02
"161","2019-12-02",2.01
"162","2019-12-03",2.23
"163","2019-12-04",2.22
"164","2019-12-05",2.16
"165","2019-12-06",2.05
"166","2019-12-09",2.17
"167","2019-12-10",2.18
"168","2019-12-11",2.2
"169","2019-12-12",2.09
"170","2019-12-13",2.08
"171","2019-12-16",2.05
"172","2019-12-17",2.07
"173","2019-12-18",1.99
"174","2019-12-19",2.05
"175","2019-12-20",1.98
"176","2019-12-23",2.1
"177","2019-12-24",2.07
"178","2019-12-26",2.12
"179","2019-12-27",2.01
"180","2019-12-30",2.05
"181","2019-12-31",2.06
"182","2020-01-02",2.06
"183","2020-01-03",2.05
"184","2020-01-06",2.07
"185","2020-01-07",2.01
"186","2020-01-08",1.91
"187","2020-01-09",1.82
"188","2020-01-10",1.78
"189","2020-01-13",1.75
"190","2020-01-14",1.7
"191","2020-01-15",1.73
"192","2020-01-16",1.81
"193","2020-01-17",1.79
"194","2020-01-21",1.79
"195","2020-01-22",1.76
"196","2020-01-23",1.72
"197","2020-01-24",1.66
"198","2020-01-27",1.63
"199","2020-01-28",1.59
"200","2020-01-29",1.69
"201","2020-01-30",1.67
"202","2020-01-31",1.59
"203","2020-02-03",1.57
"204","2020-02-04",1.55
"205","2020-02-05",1.47
"206","2020-02-06",1.7
"207","2020-02-07",1.72
"208","2020-02-10",1.68
"209","2020-02-11",1.68
"210","2020-02-12",1.62
"211","2020-02-13",1.61
"212","2020-02-14",1.64
"213","2020-02-18",2.14
"214","2020-02-19",1.99
"215","2020-02-20",2.09
"216","2020-02-21",1.9
"217","2020-02-24",1.81
"218","2020-02-25",1.74
"219","2020-02-26",1.69
"220","2020-02-27",1.5
"221","2020-02-28",1.57
"222","2020-03-02",1.59
"223","2020-03-03",1.81
"224","2020-03-04",1.68
"225","2020-03-05",1.75
"226","2020-03-06",1.59
"227","2020-03-09",1.45
"228","2020-03-10",1.32
"229","2020-03-11",1.31
"230","2020-03-12",1.31
"231","2020-03-13",1.4
"232","2020-03-16",1.11
"233","2020-03-17",2.01
"234","2020-03-18",1.28
"235","2020-03-19",1.455
"236","2020-03-20",1.25
"237","2020-03-23",1.265
"238","2020-03-24",1.32
"239","2020-03-25",1.3
"240","2020-03-26",1.47
"241","2020-03-27",1.5
"242","2020-03-30",1.48
"243","2020-03-31",1.65
"244","2020-04-01",1.64
"245","2020-04-02",1.5
"246","2020-04-03",1.37
"247","2020-04-06",1.49
"248","2020-04-07",1.45
"249","2020-04-08",1.49
"250","2020-04-09",1.55
"251","2020-04-13",1.54
"252","2020-04-14",1.52
"253","2020-04-15",1.56
"254","2020-04-16",1.67
"255","2020-04-17",1.67
"256","2020-04-20",1.56
"257","2020-04-21",1.5
"258","2020-04-22",1.53
"259","2020-04-23",1.54
"260","2020-04-24",1.65
"261","2020-04-27",1.94
"262","2020-04-28",1.61
"263","2020-04-29",2.05
"264","2020-04-30",1.82
"265","2020-05-01",1.71
"266","2020-05-04",1.88
"267","2020-05-05",1.9
"268","2020-05-06",1.81
"269","2020-05-07",1.83
"270","2020-05-08",1.88
"271","2020-05-11",2.03
"272","2020-05-12",2.18
"273","2020-05-13",2.49
"274","2020-05-14",2.51
"275","2020-05-15",2.6
"276","2020-05-18",2.43
"277","2020-05-19",2.2
"278","2020-05-20",2.68
"279","2020-05-21",2.9
"280","2020-05-22",3.02
"281","2020-05-26",2.84
"282","2020-05-27",2.92
"283","2020-05-28",2.66
"284","2020-05-29",2.8
"285","2020-06-01",2.91
"286","2020-06-02",3.01
"287","2020-06-03",3
"288","2020-06-04",3.03
"289","2020-06-05",2.99
"290","2020-06-08",2.98
"291","2020-06-09",2.91
"292","2020-06-10",2.73
"293","2020-06-11",2.43
"294","2020-06-12",2.5
"295","2020-06-15",2.49
"296","2020-06-16",2.49
"297","2020-06-17",2.59
"298","2020-06-18",2.49
"299","2020-06-19",2.64
"300","2020-06-22",2.95
"301","2020-06-23",3.08
"302","2020-06-24",3
"303","2020-06-25",2.93
"304","2020-06-26",2.88
"305","2020-06-29",2.96
"306","2020-06-30",3.06
"307","2020-07-01",3.15
"308","2020-07-02",3.27
"309","2020-07-06",3.48
"310","2020-07-07",3.53
"311","2020-07-08",3.29
"312","2020-07-09",3.19
"313","2020-07-10",3.27
"314","2020-07-13",3.63
"315","2020-07-14",3.67
"316","2020-07-15",3.99
"317","2020-07-16",4.35
"318","2020-07-17",4.3
"319","2020-07-20",4.08
"320","2020-07-21",4.21
"321","2020-07-22",4.21
"322","2020-07-23",3.99
"323","2020-07-24",3.78
"324","2020-07-27",3.75
"325","2020-07-28",3.79
"326","2020-07-29",3.7
"327","2020-07-30",3.5
"328","2020-07-31",3.94
"329","2020-08-03",5.06
"330","2020-08-04",6.09
"331","2020-08-05",6.79
"332","2020-08-06",6.32
"333","2020-08-07",6.41
"334","2020-08-10",6.15
"335","2020-08-11",5.41
"336","2020-08-12",5.1
"337","2020-08-13",5.21
"338","2020-08-14",5.76
"339","2020-08-17",6
"340","2020-08-18",5.43
"341","2020-08-19",5.26
"342","2020-08-20",4.89
"343","2020-08-21",4.62
"344","2020-08-24",4.5
"345","2020-08-25",4.58
"346","2020-08-26",4.55
"347","2020-08-27",4.58
"348","2020-08-28",4.55
"349","2020-08-31",4.32
"350","2020-09-01",4.8
"351","2020-09-02",4.65
"352","2020-09-03",4.18
"353","2020-09-04",4.52
"354","2020-09-08",4.07
"355","2020-09-09",4.01
"356","2020-09-10",4.06
"357","2020-09-11",4.02
"358","2020-09-14",4.12
"359","2020-09-15",4.19
"360","2020-09-16",4.35
"361","2020-09-17",4.23
"362","2020-09-18",4.31
"363","2020-09-21",4.32
"364","2020-09-22",4.28
"365","2020-09-23",3.97
"366","2020-09-24",3.91
"367","2020-09-25",4.05
"368","2020-09-28",4.12
"369","2020-09-29",4.11
"370","2020-09-30",4
"371","2020-10-01",4.05
"372","2020-10-02",4.03
"373","2020-10-05",4.13
"374","2020-10-06",4.28
"375","2020-10-07",4.33
"376","2020-10-08",4.41
"377","2020-10-09",4.53
"378","2020-10-12",4.86
"379","2020-10-13",4.88
"380","2020-10-14",5.08
"381","2020-10-15",4.77
"382","2020-10-16",4.63
"383","2020-10-19",4.34
"384","2020-10-20",4.36
"385","2020-10-21",4.12
"386","2020-10-22",4.19
"387","2020-10-23",4.19
"388","2020-10-26",4.16
"389","2020-10-27",4.03
"390","2020-10-28",3.87
"391","2020-10-29",3.8
"392","2020-10-30",3.61
"393","2020-11-02",3.56
"394","2020-11-03",3.59
"395","2020-11-04",3.64
"396","2020-11-05",3.66
"397","2020-11-06",3.53
"398","2020-11-09",3.39
"399","2020-11-10",3.58
"400","2020-11-11",3.52
"401","2020-11-12",3.47
"402","2020-11-13",3.63
"403","2020-11-16",4.48
"404","2020-11-17",4.3
"405","2020-11-18",4.32
"406","2020-11-19",4.33
"407","2020-11-20",4.03
"408","2020-11-23",3.78
"409","2020-11-24",3.68
"410","2020-11-25",3.68
"411","2020-11-27",3.65
