"","date","AMAG"
"288","2008-02-25",48.040001
"289","2008-02-26",47.080002
"290","2008-02-27",47.18
"291","2008-02-28",44.580002
"292","2008-02-29",43.77
"293","2008-03-03",43.200001
"294","2008-03-04",41.470001
"295","2008-03-05",41.459999
"296","2008-03-06",40.360001
"297","2008-03-07",38.389999
"298","2008-03-10",36.540001
"299","2008-03-11",35.380001
"300","2008-03-12",36.810001
"301","2008-03-13",36.830002
"302","2008-03-14",35.860001
"303","2008-03-17",35.23
"304","2008-03-18",37.23
"305","2008-03-19",35.66
"306","2008-03-20",34.57
"307","2008-03-24",38.040001
"308","2008-03-25",38.529999
"309","2008-03-26",38.32
"310","2008-03-27",39.189999
"311","2008-03-28",39.34
"312","2008-03-31",40.43
"313","2008-04-01",40.880001
"314","2008-04-02",41.5
"315","2008-04-03",41.93
"316","2008-04-04",41.310001
"317","2008-04-07",42.599998
"318","2008-04-08",42.75
"319","2008-04-09",37.02
"320","2008-04-10",37.720001
"321","2008-04-11",37.369999
"322","2008-04-14",35.57
"323","2008-04-15",36.049999
"324","2008-04-16",36.549999
"325","2008-04-17",36.099998
"326","2008-04-18",36.400002
"327","2008-04-21",37.470001
"328","2008-04-22",37.02
"329","2008-04-23",38.040001
"330","2008-04-24",39.130001
"331","2008-04-25",39.549999
"332","2008-04-28",39.91
"333","2008-04-29",39.889999
"334","2008-04-30",41.029999
"335","2008-05-01",40.98
"336","2008-05-02",40.419998
"337","2008-05-05",40.689999
"338","2008-05-06",39.52
"339","2008-05-07",39.290001
"340","2008-05-08",39.720001
"341","2008-05-09",38.59
"342","2008-05-12",39.650002
"343","2008-05-13",39.700001
"344","2008-05-14",40.130001
"345","2008-05-15",40.09
"346","2008-05-16",40.060001
"347","2008-05-19",39.689999
"348","2008-05-20",39.720001
"349","2008-05-21",38.740002
"350","2008-05-22",38.93
"351","2008-05-23",38.619999
"352","2008-05-27",39
"353","2008-05-28",38.959999
"354","2008-05-29",39.889999
"355","2008-05-30",40
"356","2008-06-02",40.16
"357","2008-06-03",40.060001
"358","2008-06-04",39.25
"359","2008-06-05",40.07
"360","2008-06-06",39.73
"361","2008-06-09",37.720001
"362","2008-06-10",37.790001
"363","2008-06-11",37.560001
"364","2008-06-12",37.799999
"365","2008-06-13",38.080002
"366","2008-06-16",38.18
"367","2008-06-17",37.240002
"368","2008-06-18",36.950001
"369","2008-06-19",37.860001
"370","2008-06-20",37.400002
"371","2008-06-23",36.669998
"372","2008-06-24",35.630001
"373","2008-06-25",35.610001
"374","2008-06-26",34.75
"375","2008-06-27",35.189999
"376","2008-06-30",34.099998
"377","2008-07-01",36.599998
"378","2008-07-02",37.82
"379","2008-07-03",37.349998
"380","2008-07-07",37.299999
"381","2008-07-08",37.740002
"382","2008-07-09",35.849998
"383","2008-07-10",35.790001
"384","2008-07-11",34.959999
"385","2008-07-14",34.389999
"386","2008-07-15",33.59
"387","2008-07-16",34.639999
"388","2008-07-17",35.810001
"389","2008-07-18",34.470001
"390","2008-07-21",34.82
"391","2008-07-22",37.82
"392","2008-07-23",38.299999
"393","2008-07-24",36.700001
"394","2008-07-25",37.580002
"395","2008-07-28",37.470001
"396","2008-07-29",37.82
"397","2008-07-30",37.310001
"398","2008-07-31",41
"399","2008-08-01",41.560001
"400","2008-08-04",40.130001
"401","2008-08-05",41.57
"402","2008-08-06",43.5
"403","2008-08-07",44.23
"404","2008-08-08",46.389999
"405","2008-08-11",47.369999
"406","2008-08-12",46.209999
"407","2008-08-13",46.27
"408","2008-08-14",47.779999
"409","2008-08-15",48.470001
"410","2008-08-18",47.68
"411","2008-08-19",45.150002
"412","2008-08-20",43.369999
"413","2008-08-21",42
"414","2008-08-22",42.970001
"415","2008-08-25",41.41
"416","2008-08-26",40.080002
"417","2008-08-27",39
"418","2008-08-28",39.299999
"419","2008-08-29",38.689999
"420","2008-09-02",38.869999
"421","2008-09-03",39.169998
"422","2008-09-04",39.700001
"423","2008-09-05",39.310001
"424","2008-09-08",38.740002
"425","2008-09-09",40.349998
"426","2008-09-10",43.330002
"427","2008-09-11",41.709999
"428","2008-09-12",43.009998
"429","2008-09-15",42.27
"430","2008-09-16",43.299999
"431","2008-09-17",39.450001
"432","2008-09-18",42.709999
"433","2008-09-19",44.75
"434","2008-09-22",43.66
"435","2008-09-23",41.98
"436","2008-09-24",40
"437","2008-09-25",39.950001
"438","2008-09-26",40.34
"439","2008-09-29",39.130001
"440","2008-09-30",38.73
"441","2008-10-01",38.169998
"442","2008-10-02",38.169998
"443","2008-10-03",36.369999
"444","2008-10-06",34.439999
"445","2008-10-07",32.150002
"446","2008-10-08",34.849998
"447","2008-10-09",32.84
"448","2008-10-10",35.450001
"449","2008-10-13",38.34
"450","2008-10-14",37.400002
"451","2008-10-15",37.009998
"452","2008-10-16",36.75
"453","2008-10-17",36.75
"454","2008-10-20",32.240002
"455","2008-10-21",33.93
"456","2008-10-22",34.290001
"457","2008-10-23",33.400002
"458","2008-10-24",31.639999
"459","2008-10-27",28.82
"460","2008-10-28",26.43
"461","2008-10-29",27.799999
"462","2008-10-30",29.52
"463","2008-10-31",30.58
"464","2008-11-03",31.360001
"465","2008-11-04",26.879999
"466","2008-11-05",26.969999
"467","2008-11-06",25.879999
"468","2008-11-07",24.9
"469","2008-11-10",20.049999
"470","2008-11-11",20.870001
"471","2008-11-12",18.370001
"472","2008-11-13",37.32
"473","2008-11-14",35.459999
"474","2008-11-17",35.380001
"475","2008-11-18",33.549999
"476","2008-11-19",30.5
"477","2008-11-20",27.42
"478","2008-11-21",28.870001
"479","2008-11-24",30.23
"480","2008-11-25",32.34
"481","2008-11-26",33.07
"482","2008-11-28",33.68
"483","2008-12-01",30.129999
"484","2008-12-02",32.75
"485","2008-12-03",33.759998
"486","2008-12-04",32.830002
"487","2008-12-05",34.16
"488","2008-12-08",35.5
"489","2008-12-09",34.240002
"490","2008-12-10",33.830002
"491","2008-12-11",33.139999
"492","2008-12-12",32.5
"493","2008-12-15",32.18
"494","2008-12-16",34.220001
"495","2008-12-17",35.389999
"496","2008-12-18",34.169998
"497","2008-12-19",32.27
"498","2008-12-22",34.07
"499","2008-12-23",32.529999
"500","2008-12-24",32.34
"501","2008-12-26",33.700001
"502","2008-12-29",33.57
"503","2008-12-30",35.93
"504","2008-12-31",35.849998
"505","2009-01-02",35.869999
"506","2009-01-05",35.759998
"507","2009-01-06",33.939999
"508","2009-01-07",32.080002
"509","2009-01-08",33.349998
"510","2009-01-09",31.969999
"511","2009-01-12",30.809999
"512","2009-01-13",31.799999
"513","2009-01-14",32.599998
"514","2009-01-15",34.07
"515","2009-01-16",35
"516","2009-01-20",34.400002
"517","2009-01-21",35.650002
"518","2009-01-22",35.68
"519","2009-01-23",35.549999
"520","2009-01-26",36.080002
"521","2009-01-27",34.959999
"522","2009-01-28",35.549999
"523","2009-01-29",34.950001
"524","2009-01-30",35.25
"525","2009-02-02",35.880001
"526","2009-02-03",37
"527","2009-02-04",37.290001
"528","2009-02-05",37.799999
"529","2009-02-06",37.700001
"530","2009-02-09",38.75
"531","2009-02-10",37.25
"532","2009-02-11",38.700001
"533","2009-02-12",39.330002
"534","2009-02-13",38.599998
"535","2009-02-17",36.73
"536","2009-02-18",36.419998
"537","2009-02-19",36.349998
"538","2009-02-20",36.330002
"539","2009-02-23",35.18
"540","2009-02-24",35.830002
"541","2009-02-25",34.259998
"542","2009-02-26",29.02
"543","2009-02-27",27.049999
"544","2009-03-02",24.24
"545","2009-03-03",26.26
"546","2009-03-04",27
"547","2009-03-05",24.75
"548","2009-03-06",24.620001
"549","2009-03-09",25.35
"550","2009-03-10",26.530001
"551","2009-03-11",25.67
"552","2009-03-12",27.549999
"553","2009-03-13",29.83
"554","2009-03-16",30.25
"555","2009-03-17",33.110001
