"","date","JG"
"389","2020-02-11",2.99
"390","2020-02-12",2.99
"391","2020-02-13",3.07
"392","2020-02-14",3.08
"393","2020-02-18",3.1
"394","2020-02-19",3.06
"395","2020-02-20",2.98
"396","2020-02-21",3.02
"397","2020-02-24",2.94
"398","2020-02-25",2.7
"399","2020-02-26",2.59
"400","2020-02-27",2.41
"401","2020-02-28",2.68
"402","2020-03-02",2.86
"403","2020-03-03",2.87
"404","2020-03-04",2.77
"405","2020-03-05",2.75
"406","2020-03-06",2.75
"407","2020-03-09",2.66
"408","2020-03-10",2.58
"409","2020-03-11",2.63
"410","2020-03-12",2.46
"411","2020-03-13",2.58
"412","2020-03-16",2.4
"413","2020-03-17",2.4
"414","2020-03-18",1.5
"415","2020-03-19",2.02
"416","2020-03-20",2.19
"417","2020-03-23",2.35
"418","2020-03-24",2.34
"419","2020-03-25",2.24
"420","2020-03-26",2.27
"421","2020-03-27",2.29
"422","2020-03-30",2.29
"423","2020-03-31",2.3
"424","2020-04-01",2.3
"425","2020-04-02",2.29
"426","2020-04-03",2.23
"427","2020-04-06",2.3
"428","2020-04-07",2.4
"429","2020-04-08",2.47
"430","2020-04-09",2.39
"431","2020-04-13",2.35
"432","2020-04-14",2.42
"433","2020-04-15",2.3
"434","2020-04-16",2.33
"435","2020-04-17",2.35
"436","2020-04-20",2.37
"437","2020-04-21",2.33
"438","2020-04-22",2.3
"439","2020-04-23",2.38
"440","2020-04-24",2.38
"441","2020-04-27",2.38
"442","2020-04-28",2.28
"443","2020-04-29",2.34
"444","2020-04-30",2.43
"445","2020-05-01",2.3
"446","2020-05-04",2.29
"447","2020-05-05",2.2
"448","2020-05-06",2.22
"449","2020-05-07",2.3
"450","2020-05-08",2.3
"451","2020-05-11",2.28
"452","2020-05-12",2.28
"453","2020-05-13",2.24
"454","2020-05-14",2.06
"455","2020-05-15",1.83
"456","2020-05-18",1.77
"457","2020-05-19",1.78
"458","2020-05-20",1.8
"459","2020-05-21",1.81
"460","2020-05-22",1.77
"461","2020-05-26",1.76
"462","2020-05-27",1.76
"463","2020-05-28",1.77
"464","2020-05-29",1.62
"465","2020-06-01",1.59
"466","2020-06-02",1.55
"467","2020-06-03",1.55
"468","2020-06-04",1.56
"469","2020-06-05",1.62
"470","2020-06-08",1.62
"471","2020-06-09",1.58
"472","2020-06-10",1.76
"473","2020-06-11",1.58
"474","2020-06-12",1.58
"475","2020-06-15",1.54
"476","2020-06-16",1.46
"477","2020-06-17",1.54
"478","2020-06-18",1.58
"479","2020-06-19",1.58
"480","2020-06-22",1.54
"481","2020-06-23",1.55
"482","2020-06-24",1.5
"483","2020-06-25",1.54
"484","2020-06-26",1.53
"485","2020-06-29",1.54
"486","2020-06-30",1.59
"487","2020-07-01",1.55
"488","2020-07-02",1.55
"489","2020-07-06",1.6
"490","2020-07-07",1.6
"491","2020-07-08",1.67
"492","2020-07-09",1.65
"493","2020-07-10",1.66
"494","2020-07-13",1.78
"495","2020-07-14",1.79
"496","2020-07-15",1.87
"497","2020-07-16",1.79
"498","2020-07-17",1.74
"499","2020-07-20",1.69
"500","2020-07-21",1.85
"501","2020-07-22",1.79
"502","2020-07-23",1.76
"503","2020-07-24",1.69
"504","2020-07-27",1.79
"505","2020-07-28",1.78
"506","2020-07-29",1.76
"507","2020-07-30",1.77
"508","2020-07-31",1.83
"509","2020-08-03",1.86
"510","2020-08-04",1.84
"511","2020-08-05",1.83
"512","2020-08-06",1.81
"513","2020-08-07",1.74
"514","2020-08-10",1.79
"515","2020-08-11",1.77
"516","2020-08-12",1.73
"517","2020-08-13",1.65
"518","2020-08-14",1.67
"519","2020-08-17",1.64
"520","2020-08-18",1.64
"521","2020-08-19",1.67
"522","2020-08-20",1.67
"523","2020-08-21",1.69
"524","2020-08-24",1.71
"525","2020-08-25",1.72
"526","2020-08-26",1.7
"527","2020-08-27",1.83
"528","2020-08-28",1.78
"529","2020-08-31",1.74
"530","2020-09-01",1.76
"531","2020-09-02",1.7
"532","2020-09-03",1.66
"533","2020-09-04",1.66
"534","2020-09-08",1.76
"535","2020-09-09",1.72
"536","2020-09-10",1.75
"537","2020-09-11",1.74
"538","2020-09-14",1.74
"539","2020-09-15",1.7
"540","2020-09-16",1.71
"541","2020-09-17",1.71
"542","2020-09-18",1.61
"543","2020-09-21",1.6
"544","2020-09-22",1.6
"545","2020-09-23",1.54
"546","2020-09-24",1.56
"547","2020-09-25",1.51
"548","2020-09-28",1.51
"549","2020-09-29",1.5
"550","2020-09-30",1.54
"551","2020-10-01",1.49
"552","2020-10-02",1.46
"553","2020-10-05",1.53
"554","2020-10-06",1.51
"555","2020-10-07",1.45
"556","2020-10-08",1.5
"557","2020-10-09",1.5
"558","2020-10-12",1.47
"559","2020-10-13",1.45
"560","2020-10-14",1.54
"561","2020-10-15",1.72
"562","2020-10-16",1.82
"563","2020-10-19",2.16
"564","2020-10-20",1.8
"565","2020-10-21",1.71
"566","2020-10-22",1.74
"567","2020-10-23",1.88
"568","2020-10-26",1.76
"569","2020-10-27",1.73
"570","2020-10-28",1.88
"571","2020-10-29",1.77
"572","2020-10-30",1.71
"573","2020-11-02",1.77
"574","2020-11-03",1.85
"575","2020-11-04",1.8
"576","2020-11-05",1.78
"577","2020-11-06",1.87
"578","2020-11-09",1.93
"579","2020-11-10",1.95
"580","2020-11-11",1.9
"581","2020-11-12",1.81
"582","2020-11-13",2.07
"583","2020-11-16",2.07
"584","2020-11-17",2.15
"585","2020-11-18",2.18
"586","2020-11-19",2.3
"587","2020-11-20",2.52
"588","2020-11-23",3.6
"589","2020-11-24",3.65
"590","2020-11-25",3.16
"591","2020-11-27",3.9
